Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
KPITTECH.NS,2022-05-02,540.25,2022-06-01,532.7,18,-155.21,-1.59,Rotation,30
THERMAX.NS,2022-05-02,2119.95,2022-06-01,1992.0,4,-528.25,-6.22,Rotation,30
ADANIGREEN.NS,2022-05-02,2860.0,2022-06-01,1828.95,3,-3107.22,-36.18,Rotation,30
POONAWALLA.NS,2022-05-02,302.5,2022-06-01,261.45,33,-1373.26,-13.74,Rotation,30
BSE.NS,2022-05-02,296.7,2022-07-01,198.3167,33,-3262.99,-33.29,Rotation,60
GNFC.NS,2022-05-02,822.0,2022-07-01,566.0,12,-3088.66,-31.28,Rotation,60
SCHAEFFLER.NS,2022-05-02,2307.6001,2022-07-01,2289.0,4,-92.79,-1.0,Rotation,60
TIMKEN.NS,2022-06-01,2300.0,2022-07-01,2385.0,4,321.26,3.49,Rotation,30
FINEORG.NS,2022-06-01,4901.1001,2022-07-01,4804.4502,2,-212.71,-2.17,Rotation,30
TATAELXSI.NS,2022-06-01,8612.0,2022-08-01,8724.0,1,94.66,1.1,Rotation,61
HAL.NS,2022-06-01,924.0,2022-08-01,1015.0,10,890.61,9.63,Rotation,61
ADANIGREEN.NS,2022-07-01,1928.0,2022-08-01,2190.0,5,1289.41,13.36,Rotation,31
PVRINOX.NS,2022-07-01,1860.85,2022-08-01,2167.0,5,1510.61,16.22,Rotation,31
CREDITACC.NS,2022-05-02,1035.0,2022-09-01,996.75,9,-362.54,-3.89,Rotation,122
TVSMOTOR.NS,2022-07-01,837.5,2022-09-01,983.9,6,867.47,17.25,Rotation,62
TIMKEN.NS,2022-08-01,2980.0,2022-09-01,3025.25,3,117.73,1.32,Rotation,31
GNFC.NS,2022-08-01,725.45,2022-09-01,752.55,13,333.09,3.53,Rotation,31
BDL.NS,2022-05-02,371.0,2022-10-03,434.0,26,1617.07,16.75,Rotation,154
ADANIENSOL.NS,2022-07-01,2500.0,2022-10-03,3328.8999,3,2469.21,32.89,Rotation,94
ADANIENT.NS,2022-08-01,2575.8501,2022-10-03,3440.0,3,2574.4,33.28,Rotation,63
HAL.NS,2022-09-01,1135.5,2022-10-03,1177.425,8,316.9,3.49,Rotation,32
M&M.NS,2022-09-01,1280.0,2022-10-03,1269.95,7,-88.2,-0.98,Rotation,32
ADANIPOWER.NS,2022-05-02,56.0,2022-11-01,67.42,178,2010.79,20.15,Rotation,183
SCHAEFFLER.NS,2022-08-01,2789.0,2022-11-01,2754.6001,3,-119.83,-1.43,Rotation,92
CEATLTD.NS,2022-10-03,1565.0,2022-11-01,1549.6,6,-111.09,-1.18,Rotation,29
FINEORG.NS,2022-10-03,6977.0,2022-11-01,5694.9502,1,-1294.72,-18.54,Rotation,29
AMBUJACEM.NS,2022-10-03,516.1,2022-11-01,535.0,19,339.13,3.45,Rotation,29
INDIANB.NS,2022-11-01,255.0,2022-12-01,268.6,39,509.98,5.12,Rotation,30
HAL.NS,2022-11-01,1269.0,2022-12-01,1380.0,7,758.46,8.53,Rotation,30
TVSMOTOR.NS,2022-11-01,1150.0,2022-12-01,1058.85,8,-746.87,-8.11,Rotation,30
VBL.NS,2022-07-01,158.0,2023-01-02,267.89,63,6896.24,69.21,Rotation,185
COCHINSHIP.NS,2022-10-03,219.5,2023-01-02,265.475,45,2047.05,20.7,Rotation,91
ADANIENT.NS,2022-11-01,3361.8999,2023-01-02,3870.0,2,1001.74,14.88,Rotation,62
CEATLTD.NS,2022-12-01,1892.3,2023-01-02,1644.95,5,-1254.44,-13.25,Rotation,32
KIRLOSENG.NS,2022-09-01,225.0,2023-03-01,311.0,44,3760.42,37.95,Rotation,181
INDIANB.NS,2023-01-02,287.0,2023-03-01,257.9,34,-1007.93,-10.32,Rotation,58
RBLBANK.NS,2023-01-02,180.55,2023-03-01,155.7,55,-1385.24,-13.94,Rotation,58
MAZDOCK.NS,2022-09-01,193.5,2023-04-03,332.5,51,7062.17,71.49,Rotation,214
KARURVYSYA.NS,2022-10-03,67.75,2023-04-03,87.0,147,2807.0,28.16,Rotation,182
KALYANKJIL.NS,2022-11-01,103.3,2023-04-03,106.5,96,287.06,2.89,Rotation,153
KPITTECH.NS,2023-03-01,830.9,2023-04-03,928.45,12,1149.49,11.52,Rotation,33
PNBHOUSING.NS,2023-03-01,500.0087,2023-04-03,434.8262,19,-1256.23,-13.21,Rotation,33
PNB.NS,2023-03-01,48.35,2023-04-03,46.85,206,-328.61,-3.3,Rotation,33
INDIANB.NS,2023-04-03,289.0,2023-05-02,327.7,34,1294.83,13.16,Rotation,29
OIL.NS,2023-04-03,171.5667,2023-05-02,171.2667,58,-37.28,-0.37,Rotation,29
