Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
PVRINOX.NS,2022-07-18,1923.0,2022-09-22,1740.0,5,-933.32,-9.7,Exit rule,66
ADANIENSOL.NS,2022-07-15,2970.3999,2022-11-25,2790.8501,3,-555.93,-6.23,Exit rule,133
ABFRL.NS,2022-09-22,339.95,2022-12-23,289.0,29,-1495.79,-15.16,Exit rule,92
ABB.NS,2022-07-07,2540.0,2022-12-26,2685.0,3,419.33,5.5,Exit rule,172
ADANIENT.NS,2022-07-18,2424.0,2023-01-30,2850.0,4,1682.9,17.34,Exit rule,196
PHOENIXLTD.NS,2022-06-29,589.0,2023-02-20,652.25,16,992.14,10.52,Exit rule,236
M&M.NS,2022-06-28,1082.0,2023-03-14,1192.3,9,972.23,9.97,Exit rule,259
APLAPOLLO.NS,2022-12-05,1189.0,2023-05-19,1115.45,8,-606.84,-6.37,Exit rule,165
RADICO.NS,2023-02-03,1141.3,2023-09-26,1165.0,8,171.15,1.87,Exit rule,235
GODREJCP.NS,2023-03-21,961.15,2023-09-26,975.0,10,119.14,1.24,Exit rule,189
SIEMENS.NS,2022-07-11,1567.2886,2023-10-23,2020.3348,6,2696.75,28.65,Exit rule,469
M&MFIN.NS,2023-02-06,253.0,2023-10-27,272.0,39,720.53,7.3,Exit rule,263
ITC.NS,2022-07-04,275.0567,2024-02-09,394.8915,36,4289.93,43.28,Exit rule,585
CHOLAFIN.NS,2023-05-19,1043.0,2024-02-22,1088.7,9,392.11,4.17,Exit rule,279
YESBANK.NS,2024-02-09,30.2,2024-02-22,25.8,330,-1470.48,-14.74,Stop,13
RBLBANK.NS,2023-09-28,247.6,2024-03-14,226.85,40,-848.98,-8.56,Exit rule,168
TCS.NS,2024-03-15,4192.6001,2024-06-03,3732.8,2,-935.45,-11.14,Exit rule,80
ADANIENT.NS,2024-06-03,3725.0,2024-06-05,3030.0,2,-1403.51,-18.82,Stop,2
IOC.NS,2023-11-08,105.4,2024-10-23,154.9,94,4628.53,46.67,Exit rule,350
ABB.NS,2023-03-22,3413.05,2024-11-13,6940.0,2,7033.19,102.93,Exit rule,602
PIDILITIND.NS,2024-06-05,1532.0,2024-11-14,1500.0,6,-210.19,-2.28,Exit rule,162
THERMAX.NS,2024-02-22,3547.75,2024-11-22,4368.75,2,1626.17,22.9,Exit rule,274
CUMMINSIND.NS,2022-07-19,1157.0,2024-12-30,3274.7,8,16906.15,182.47,Exit rule,895
TVSMOTOR.NS,2022-06-28,798.9,2024-12-31,2359.8999,12,18694.09,194.8,Exit rule,917
SOLARINDS.NS,2023-11-01,5544.8999,2024-12-31,9529.3496,1,3969.38,71.51,Exit rule,426
SBIN.NS,2024-02-22,773.0,2025-01-07,779.85,12,63.57,0.68,Exit rule,320
ULTRACEMCO.NS,2023-03-28,7484.0,2025-01-14,10570.0,1,3067.95,40.95,Exit rule,658
CUB.NS,2024-10-30,132.6375,2025-01-14,122.2425,75,-798.74,-8.02,Exit rule,76
FEDERALBNK.NS,2023-09-28,150.9,2025-01-29,183.55,66,2132.83,21.39,Exit rule,489
MANKIND.NS,2024-12-19,2775.1001,2025-02-13,2448.0,3,-996.97,-11.96,Exit rule,56
BIOCON.NS,2025-01-17,394.0,2025-02-19,336.1,25,-1465.75,-14.87,Exit rule,33
JUBLFOOD.NS,2024-12-31,713.55,2025-03-03,626.95,14,-1231.17,-12.31,Exit rule,62
JKCEMENT.NS,2025-01-08,4840.0,2025-03-12,4356.1499,2,-986.09,-10.18,Exit rule,63
JSWSTEEL.NS,2025-03-25,1061.35,2025-04-08,949.35,9,-1026.1,-10.73,Exit rule,14
PATANJALI.NS,2025-04-17,668.1667,2025-05-20,580.7333,14,-1241.55,-13.26,Exit rule,33
KOTAKBANK.NS,2025-02-11,392.92,2025-07-29,393.4,25,-7.66,-0.08,Exit rule,168
BSE.NS,2025-05-20,2511.0,2025-09-01,2130.0,3,-1156.92,-15.34,Stop,104
SRF.NS,2025-02-04,2920.0,2025-09-29,2798.0,3,-383.15,-4.37,Exit rule,237
COROMANDEL.NS,2025-03-20,1983.5,2025-11-03,2115.5,5,639.51,6.44,Exit rule,228
JKCEMENT.NS,2025-04-03,4892.6001,2025-11-06,5780.0,2,1753.45,17.9,Exit rule,217
INDIGO.NS,2025-03-28,5149.8999,2025-12-08,5110.0,1,-50.16,-0.97,Exit rule,255
COFORGE.NS,2025-12-08,1980.0,2025-12-29,1711.0,5,-1363.45,-13.76,Exit rule,21
UPL.NS,2025-03-24,667.95,2026-01-22,699.05,14,416.26,4.45,Exit rule,304
MANAPPURAM.NS,2025-03-24,236.3,2026-03-05,270.25,42,1404.62,14.14,Exit rule,346
MUTHOOTFIN.NS,2025-09-05,2835.0,2026-03-12,3127.0,3,858.11,10.08,Exit rule,188
EICHERMOT.NS,2025-04-16,5549.0,2026-03-24,6800.0,1,1238.65,22.3,Exit rule,342
BANKINDIA.NS,2025-11-06,142.0,2026-04-01,142.81,70,36.76,0.37,Exit rule,146
VEDL.NS,2025-12-29,609.0,2026-05-01,271.55,16,-5413.29,-55.5,Exit rule,123
