Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
PVRINOX.NS,2022-07-18,1923.0,2022-08-16,2005.1,5,390.86,4.06,Trail,29
SIEMENS.NS,2022-07-11,1567.2886,2022-09-26,1656.5126,6,516.0,5.48,Trail,77
SKFINDIA.NS,2022-08-16,4550.0,2022-09-26,4474.7002,2,-168.65,-1.85,Trail,41
ABB.NS,2022-07-07,2540.0,2022-09-27,3001.0,3,1366.38,17.91,Trail,82
ITC.NS,2022-07-04,275.0567,2022-09-29,316.7991,36,1481.42,14.95,Trail,87
ADANIENSOL.NS,2022-07-15,2970.3999,2022-09-29,3647.0,3,2009.95,22.53,Trail,76
ADANIENT.NS,2022-07-18,2424.0,2022-09-30,3447.95,4,4072.31,41.96,Trail,74
ABFRL.NS,2022-10-03,348.0,2022-11-09,322.1,28,-743.96,-7.63,Trail,37
M&M.NS,2022-06-28,1082.0,2022-11-18,1250.05,9,1491.46,15.3,Trail,143
TVSMOTOR.NS,2022-06-28,798.9,2022-11-22,1048.0,12,2967.04,30.92,Trail,147
CIPLA.NS,2022-09-28,1101.0,2022-11-23,1108.9,9,51.21,0.52,Trail,56
SUNPHARMA.NS,2022-10-03,952.95,2022-12-09,980.8,10,259.16,2.72,Trail,67
PHOENIXLTD.NS,2022-06-29,589.0,2022-12-22,692.5,16,1635.5,17.34,Trail,176
ESCORTS.NS,2022-10-03,2133.0,2022-12-22,2180.0,4,170.75,2.0,Trail,80
APLAPOLLO.NS,2022-10-07,1140.3,2022-12-23,1061.95,8,-644.42,-7.06,Trail,77
CUMMINSIND.NS,2022-07-19,1157.0,2022-12-26,1365.0,8,1643.82,17.74,Trail,160
CANBK.NS,2022-11-09,62.3,2022-12-26,58.31,160,-657.7,-6.59,Trail,47
NLCINDIA.NS,2022-12-06,89.2,2022-12-26,78.0,111,-1261.76,-12.73,Trail,20
BHARTIARTL.NS,2022-10-03,803.4,2022-12-29,807.05,12,24.47,0.25,Trail,87
HINDUNILVR.NS,2022-12-12,2702.2,2022-12-30,2579.95,3,-382.6,-4.71,Trail,18
INDIANB.NS,2022-11-18,271.6,2023-02-23,274.8,36,95.53,0.98,Trail,97
M&MFIN.NS,2022-12-06,239.0,2023-03-13,245.05,41,228.2,2.33,Trail,97
RADICO.NS,2023-02-03,1141.3,2023-04-12,1086.05,8,-459.82,-5.03,Trail,68
ABB.NS,2023-03-22,3413.05,2023-04-24,3164.7,2,-509.86,-7.46,Trail,33
GODREJCP.NS,2023-03-21,961.15,2023-05-02,911.95,10,-510.73,-5.31,Trail,42
JBCHEPHARM.NS,2023-04-17,1111.95,2023-05-08,1020.15,8,-751.46,-8.44,Trail,21
KEC.NS,2023-05-08,515.0,2023-05-19,484.0,19,-607.98,-6.21,Trail,11
GMRAIRPORT.NS,2023-04-10,43.9,2023-05-30,40.75,227,-734.27,-7.36,Trail,50
IGL.NS,2023-04-10,234.675,2023-06-02,237.075,42,80.99,0.82,Trail,53
NAVINFLUOR.NS,2023-05-02,4866.2998,2023-06-12,4480.0498,2,-791.19,-8.12,Trail,41
DALBHARAT.NS,2023-04-03,1987.3,2023-07-11,2101.2,5,549.06,5.52,Trail,99
BDL.NS,2023-04-28,504.5,2023-07-11,541.975,19,692.14,7.21,Trail,74
CHOLAFIN.NS,2023-04-10,847.8,2023-08-03,1099.95,11,2752.22,29.48,Trail,115
MAXHEALTH.NS,2023-04-13,479.0,2023-08-04,550.05,20,1400.42,14.6,Trail,113
ULTRACEMCO.NS,2023-03-28,7484.0,2023-08-16,8004.9502,1,505.46,6.75,Trail,141
SYNGENE.NS,2023-04-28,655.0,2023-08-28,765.0,15,1628.7,16.56,Trail,122
CEATLTD.NS,2023-07-11,2495.0,2023-08-30,2249.6001,4,-1000.58,-10.02,Trail,50
CREDITACC.NS,2023-05-19,1192.5,2023-09-20,1331.5,8,1091.81,11.43,Trail,124
EXIDEIND.NS,2023-07-11,253.15,2023-09-22,258.3,39,180.9,1.83,Trail,73
COFORGE.NS,2023-08-16,1040.4,2023-09-27,1041.1899,9,-11.63,-0.12,Trail,42
