Date,Cash,Holdings,Equity,OpenPositions
2021-06-23,100000.0,0.0,100000.0,0
2021-06-24,100000.0,0.0,100000.0,0
2021-06-25,100000.0,0.0,100000.0,0
2021-06-28,100000.0,0.0,100000.0,0
2021-06-29,100000.0,0.0,100000.0,0
2021-06-30,100000.0,0.0,100000.0,0
2021-07-01,100000.0,0.0,100000.0,0
2021-07-02,100000.0,0.0,100000.0,0
2021-07-05,100000.0,0.0,100000.0,0
2021-07-06,100000.0,0.0,100000.0,0
2021-07-07,100000.0,0.0,100000.0,0
2021-07-08,100000.0,0.0,100000.0,0
2021-07-09,100000.0,0.0,100000.0,0
2021-07-12,100000.0,0.0,100000.0,0
2021-07-13,100000.0,0.0,100000.0,0
2021-07-14,100000.0,0.0,100000.0,0
2021-07-15,100000.0,0.0,100000.0,0
2021-07-16,100000.0,0.0,100000.0,0
2021-07-19,100000.0,0.0,100000.0,0
2021-07-20,100000.0,0.0,100000.0,0
2021-07-22,100000.0,0.0,100000.0,0
2021-07-23,63228.06,37610.44,100838.51,4
2021-07-26,73078.42,28677.3,101755.72,3
2021-07-27,45033.4,57116.6,102150.0,6
2021-07-28,53799.63,48634.4,102434.03,5
2021-07-29,62510.31,40596.55,103106.86,4
2021-07-30,73458.35,29745.65,103204.0,3
2021-08-02,36910.59,66233.55,103144.14,7
2021-08-03,17672.82,86243.19,103916.01,9
2021-08-04,37495.94,65888.11,103384.05,7
2021-08-05,27697.15,75196.49,102893.64,8
2021-08-06,16809.2,85197.73,102006.92,9
2021-08-09,17144.29,84512.29,101656.58,9
2021-08-10,54710.51,47016.8,101727.31,5
2021-08-11,64860.35,36985.8,101846.15,4
2021-08-12,73406.89,29031.3,102438.19,3
2021-08-13,63569.06,38525.7,102094.76,4
2021-08-16,63569.06,38095.0,101664.06,4
2021-08-17,73187.93,28362.45,101550.38,3
2021-08-18,73052.76,28046.9,101099.66,3
2021-08-20,37385.33,62707.5,100092.83,7
2021-08-23,65871.26,34063.9,99935.16,4
2021-08-24,65871.26,34136.35,100007.61,4
2021-08-25,46779.32,52792.0,99571.32,6
2021-08-26,17510.08,81597.7,99107.78,9
2021-08-27,5127.26,95127.1,100254.36,10
2021-08-30,6183.6,95614.65,101798.24,10
2021-08-31,6183.6,96996.25,103179.84,10
2021-09-01,6183.6,97204.55,103388.15,10
2021-09-02,5790.17,98414.35,104204.51,10
2021-09-03,5930.86,98556.95,104487.81,10
2021-09-06,5930.86,100345.9,106276.76,10
2021-09-07,5930.86,99041.2,104972.06,10
2021-09-08,5930.86,98724.15,104655.01,10
2021-09-09,26033.14,79456.7,105489.84,8
2021-09-13,66983.73,39356.7,106340.43,4
2021-09-14,96987.69,9850.0,106837.69,1
2021-09-15,88098.61,18929.05,107027.66,2
2021-09-16,78156.96,28853.07,107010.03,3
2021-09-17,78478.49,28059.45,106537.94,3
2021-09-20,87242.52,18887.6,106130.12,2
2021-09-21,96907.84,9639.5,106547.34,1
2021-09-22,89140.08,17377.9,106517.98,2
2021-09-23,60951.67,45570.6,106522.27,5
2021-09-24,32285.24,75057.1,107342.34,8
2021-09-27,51648.85,55933.3,107582.15,6
2021-09-28,49857.42,57031.65,106889.07,6
2021-09-29,49463.38,57784.85,107248.23,6
2021-09-30,20571.12,86488.2,107059.32,9
2021-10-01,30071.61,76917.25,106988.85,8
2021-10-04,20136.87,88857.32,108994.19,9
2021-10-05,10319.07,98329.22,108648.29,10
2021-10-06,10319.07,97365.8,107684.87,10
2021-10-07,19429.95,89194.25,108624.2,9
2021-10-08,12102.34,96286.55,108388.88,10
2021-10-11,12102.34,96427.64,108529.97,10
2021-10-12,12102.34,97220.81,109323.15,10
2021-10-13,21914.51,88274.3,110188.81,9
2021-10-14,12708.59,97074.04,109782.63,10
2021-10-18,17675.3,92027.99,109703.29,10
2021-10-19,17675.3,92037.67,109712.97,10
2021-10-20,45461.54,62358.92,107820.46,7
2021-10-21,34884.29,71683.25,106567.54,8
2021-10-22,53475.68,52659.0,106134.68,6
2021-10-25,61987.16,44049.95,106037.11,5
2021-10-26,61027.41,44455.65,105483.06,5
2021-10-27,52562.25,52290.05,104852.3,6
2021-10-28,13421.17,89072.14,102493.3,10
2021-10-29,50699.68,51573.3,102272.98,6
2021-11-01,57668.99,45482.55,103151.54,5
2021-11-02,20369.63,83354.94,103724.57,9
2021-11-03,13572.84,90650.66,104223.5,10
2021-11-04,12515.77,91817.64,104333.4,10
2021-11-08,12515.77,93124.48,105640.25,10
2021-11-09,16051.12,89401.93,105453.05,10
2021-11-10,16773.73,88866.8,105640.53,10
2021-11-11,16773.73,88418.21,105191.94,10
2021-11-12,27260.74,78431.03,105691.77,9
2021-11-15,18193.82,89046.68,107240.5,10
2021-11-16,27537.1,79505.79,107042.89,9
2021-11-17,34136.79,72912.78,107049.57,8
2021-11-18,24194.9,82517.58,106712.48,9
2021-11-22,23910.9,80117.83,104028.73,9
2021-11-23,59549.28,45084.36,104633.64,5
2021-11-24,49631.27,54936.96,104568.23,6
2021-11-25,50391.28,54758.34,105149.62,6
2021-11-26,21352.47,81035.37,102387.84,9
2021-11-29,80926.69,20319.82,101246.52,2
2021-11-30,71124.9,30190.73,101315.62,3
2021-12-01,24853.52,75144.94,99998.46,8
2021-12-02,15714.39,84830.47,100544.86,9
2021-12-03,7344.83,92843.47,100188.3,10
2021-12-06,7344.83,91640.52,98985.35,10
2021-12-07,25546.21,74536.24,100082.46,8
2021-12-08,5870.55,95602.7,101473.25,10
2021-12-09,5870.55,96512.57,102383.12,10
2021-12-10,7145.75,94965.39,102111.13,10
2021-12-13,10611.7,91951.16,102562.86,10
2021-12-14,30147.37,72998.46,103145.83,8
2021-12-15,20478.42,83084.2,103562.62,9
2021-12-16,20478.42,83234.4,103712.82,9
2021-12-17,21986.42,80593.19,102579.61,9
2021-12-20,45494.64,54031.25,99525.89,6
2021-12-21,63386.55,37442.7,100829.25,4
2021-12-22,53604.57,47666.76,101271.33,5
2021-12-23,43753.23,57511.52,101264.76,6
2021-12-24,34552.84,66915.19,101468.03,7
2021-12-27,51919.46,49277.83,101197.29,5
2021-12-28,51919.46,49502.22,101421.68,5
2021-12-29,51919.46,49473.8,101393.26,5
2021-12-30,42013.96,59636.19,101650.16,6
2021-12-31,22816.88,78758.41,101575.29,8
2022-01-03,3182.59,98926.18,102108.77,10
2022-01-04,4045.33,98518.81,102564.15,10
2022-01-05,4045.33,97876.02,101921.36,10
2022-01-06,3633.47,99070.15,102703.62,10
2022-01-07,14666.43,88446.65,103113.08,9
2022-01-10,54163.04,49183.35,103346.39,5
2022-01-11,55538.82,45793.17,101331.99,5
2022-01-12,55897.53,46105.74,102003.27,5
2022-01-13,55897.53,46066.44,101963.97,5
2022-01-14,55897.53,46379.6,102277.13,5
2022-01-17,65286.93,37224.35,102511.29,4
2022-01-18,65286.93,36841.68,102128.62,4
2022-01-19,65286.93,37177.05,102463.98,4
2022-01-20,65919.96,36741.88,102661.83,4
2022-01-21,56182.23,45653.18,101835.41,5
2022-01-24,65676.73,34578.54,100255.27,4
2022-01-25,91132.94,8867.2,100000.14,1
2022-01-27,92516.74,7467.3,99984.04,1
2022-01-28,72740.98,27547.3,100288.28,3
2022-01-31,72740.98,27784.6,100525.58,3
2022-02-01,65431.68,35238.4,100670.08,4
2022-02-02,39188.01,62313.59,101501.6,7
2022-02-03,19849.74,81356.14,101205.88,9
2022-02-04,6675.92,94435.1,101111.02,10
2022-02-07,6675.92,93842.35,100518.27,10
2022-02-08,7329.95,92978.05,100307.99,10
2022-02-09,9005.25,91900.03,100905.28,10
2022-02-10,9005.25,92677.8,101683.05,10
2022-02-11,11521.52,88898.05,100419.57,10
2022-02-14,11521.52,84216.72,95738.24,10
2022-02-15,71004.83,25653.0,96657.83,3
2022-02-16,61076.24,35747.61,96823.85,4
2022-02-17,80564.53,16359.47,96924.0,2
2022-02-18,87307.78,9081.6,96389.38,1
2022-02-21,96357.39,0.0,96357.39,0
2022-02-22,86425.87,10020.27,96446.14,1
2022-02-23,96664.82,0.0,96664.82,0
2022-02-24,47505.54,47968.74,95474.29,5
2022-02-25,96452.8,0.0,96452.8,0
2022-02-28,28792.69,68349.0,97141.69,7
2022-03-02,1389.75,96841.67,98231.42,10
2022-03-03,1389.75,97343.52,98733.27,10
2022-03-04,10455.67,85987.3,96442.97,9
2022-03-07,9513.64,86859.91,96373.55,9
2022-03-08,53840.67,42527.28,96367.95,4
2022-03-09,44333.77,51603.62,95937.39,5
2022-03-10,17392.2,77796.78,95188.99,8
2022-03-11,7762.58,88824.06,96586.64,9
2022-03-14,25.45,96707.17,96732.62,10
2022-03-15,18167.58,77030.68,95198.26,8
2022-03-16,28117.62,68259.7,96377.32,7
2022-03-17,18142.66,78754.6,96897.26,8
2022-03-21,56027.24,41005.05,97032.29,4
2022-03-22,56027.24,41559.85,97587.09,4
2022-03-23,56027.24,42004.0,98031.24,4
2022-03-24,56027.24,42499.35,98526.59,4
