Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
SCHAEFFLER.NS,2021-07-23,1193.8,2021-07-26,1349.0,8,1221.26,12.77,Exit rule,3
ICICIGI.NS,2021-07-23,1510.0,2021-07-26,1495.0,6,-108.03,-1.19,Exit rule,3
SKFINDIA.NS,2021-07-23,2737.0,2021-07-28,2925.0,3,547.01,6.66,Exit rule,5
WHIRLPOOL.NS,2021-07-27,2236.0,2021-07-29,2179.8501,4,-242.26,-2.71,Exit rule,2
SAIL.NS,2021-07-23,127.1,2021-07-30,140.5,78,1024.33,10.32,Exit rule,7
GNFC.NS,2021-07-26,366.0,2021-08-04,387.5,27,560.16,5.66,Exit rule,9
FORTIS.NS,2021-07-27,247.1,2021-08-04,255.3,40,307.9,3.11,Exit rule,8
DEEPAKNTR.NS,2021-08-02,2060.0,2021-08-04,2112.0,4,191.31,2.32,Exit rule,2
INDUSINDBK.NS,2021-08-04,1029.0,2021-08-06,1005.0,9,-234.31,-2.53,Exit rule,2
AXISBANK.NS,2021-08-05,753.0,2021-08-09,741.0,13,-175.42,-1.79,Exit rule,4
DABUR.NS,2021-08-02,605.9,2021-08-10,584.65,16,-359.05,-3.7,Exit rule,8
METROPOLIS.NS,2021-08-03,725.0,2021-08-10,703.025,13,-304.24,-3.22,Exit rule,7
BLUESTARCO.NS,2021-08-06,432.0,2021-08-10,415.5,23,-398.99,-4.01,Exit rule,4
NCC.NS,2021-08-06,89.0,2021-08-10,85.3,112,-433.92,-4.35,Exit rule,4
ESCORTS.NS,2021-08-02,1184.0,2021-08-11,1270.0,8,668.37,7.05,Exit rule,9
SBICARD.NS,2021-07-27,1021.0,2021-08-12,1032.0,9,80.52,0.88,Exit rule,16
FINEORG.NS,2021-08-02,3034.95,2021-08-12,2910.0,3,-392.68,-4.31,Exit rule,10
TORNTPOWER.NS,2021-08-13,468.0,2021-08-17,458.5,21,-218.96,-2.23,Exit rule,4
INDUSINDBK.NS,2021-08-09,1031.0,2021-08-18,1003.0,9,-270.31,-2.91,Exit rule,9
KEI.NS,2021-08-03,753.35,2021-08-23,711.95,13,-557.25,-5.68,Exit rule,20
BHARATFORG.NS,2021-08-12,787.0,2021-08-23,762.0,12,-318.59,-3.37,Exit rule,11
ASIANPAINT.NS,2021-08-18,3048.0,2021-08-23,3159.05,3,314.53,3.44,Exit rule,5
BDL.NS,2021-08-20,190.05,2021-08-23,188.0,52,-126.26,-1.28,Exit rule,3
PIDILITIND.NS,2021-08-23,1139.975,2021-08-25,1105.25,8,-295.76,-3.24,Exit rule,2
ULTRACEMCO.NS,2021-08-20,7596.6001,2021-08-27,7330.6001,1,-280.93,-3.69,Exit rule,7
SBICARD.NS,2021-08-26,1067.0,2021-08-30,1091.1,9,197.48,2.05,Exit rule,4
UBL.NS,2021-08-20,1472.0,2021-09-02,1562.0,6,521.8,5.9,Exit rule,13
SKFINDIA.NS,2021-08-25,2830.0,2021-09-02,3130.0,3,882.12,10.38,Exit rule,8
ACC.NS,2021-08-20,2330.1499,2021-09-03,2483.3,4,593.35,6.36,Exit rule,14
CYIENT.NS,2021-08-25,956.0,2021-09-09,1030.0,10,720.14,7.53,Exit rule,15
SYNGENE.NS,2021-08-27,617.9,2021-09-09,613.9,16,-83.71,-0.85,Exit rule,13
JSL.NS,2021-08-25,149.2,2021-09-13,164.4,66,982.5,9.97,Exit rule,19
HINDALCO.NS,2021-08-26,431.5,2021-09-13,476.0,23,1002.63,10.09,Exit rule,18
CROMPTON.NS,2021-08-26,462.5,2021-09-13,492.2,21,603.65,6.21,Exit rule,18
SOLARINDS.NS,2021-08-30,1749.0,2021-09-13,1820.0,5,337.16,3.85,Exit rule,14
VEDL.NS,2021-09-03,305.4,2021-09-13,302.4,32,-115.45,-1.18,Exit rule,10
GODREJPROP.NS,2021-09-02,1568.3,2021-09-14,1614.0,6,255.11,2.71,Exit rule,12
DLF.NS,2021-09-02,334.75,2021-09-14,341.0,29,161.65,1.66,Exit rule,12
IIFL.NS,2021-09-13,300.0,2021-09-14,317.0,33,540.64,5.46,Exit rule,1
POWERGRID.NS,2021-09-16,134.2125,2021-09-17,134.6625,74,13.4,0.13,Exit rule,1
AJANTPHARM.NS,2021-09-15,1480.0333,2021-09-20,1462.1333,6,-125.05,-1.41,Exit rule,5
BDL.NS,2021-08-27,196.0,2021-09-21,193.5,50,-144.47,-1.47,Exit rule,25
KPITTECH.NS,2021-09-23,344.5,2021-09-27,369.75,28,687.0,7.12,Exit rule,4
MUTHOOTFIN.NS,2021-09-23,1559.0,2021-09-27,1505.0,6,-342.38,-3.66,Exit rule,4
NAVINFLUOR.NS,2021-09-22,3880.0,2021-09-28,3815.0,2,-145.39,-1.87,Exit rule,6
BHARATFORG.NS,2021-09-28,783.7,2021-09-29,752.7,12,-390.44,-4.15,Exit rule,1
PIIND.NS,2021-09-30,3243.55,2021-10-01,3170.0,3,-239.89,-2.46,Exit rule,1
