Date,Cash,Holdings,Equity,OpenPositions
2021-06-23,100000.0,0.0,100000.0,0
2021-06-24,100000.0,0.0,100000.0,0
2021-06-25,100000.0,0.0,100000.0,0
2021-06-28,100000.0,0.0,100000.0,0
2021-06-29,100000.0,0.0,100000.0,0
2021-06-30,100000.0,0.0,100000.0,0
2021-07-01,100000.0,0.0,100000.0,0
2021-07-02,100000.0,0.0,100000.0,0
2021-07-05,100000.0,0.0,100000.0,0
2021-07-06,100000.0,0.0,100000.0,0
2021-07-07,100000.0,0.0,100000.0,0
2021-07-08,100000.0,0.0,100000.0,0
2021-07-09,100000.0,0.0,100000.0,0
2021-07-12,100000.0,0.0,100000.0,0
2021-07-13,100000.0,0.0,100000.0,0
2021-07-14,100000.0,0.0,100000.0,0
2021-07-15,100000.0,0.0,100000.0,0
2021-07-16,100000.0,0.0,100000.0,0
2021-07-19,100000.0,0.0,100000.0,0
2021-07-20,100000.0,0.0,100000.0,0
2021-07-22,100000.0,0.0,100000.0,0
2021-07-23,100000.0,0.0,100000.0,0
2021-07-26,100000.0,0.0,100000.0,0
2021-07-27,100000.0,0.0,100000.0,0
2021-07-28,90189.2,9849.67,100038.87,1
2021-07-29,90189.2,9855.72,100044.92,1
2021-07-30,90189.2,9603.55,99792.75,1
2021-08-02,90189.2,9753.97,99943.17,1
2021-08-03,90189.2,9897.25,100086.45,1
2021-08-04,80436.26,19364.83,99801.08,2
2021-08-05,80436.26,19191.78,99628.03,2
2021-08-06,80436.26,19236.03,99672.28,2
2021-08-09,70823.35,29041.63,99864.98,3
2021-08-10,70823.35,29281.05,100104.4,3
2021-08-11,60868.41,38965.98,99834.38,4
2021-08-12,60868.41,39093.9,99962.31,4
2021-08-13,60868.41,38799.0,99667.41,4
2021-08-16,60868.41,38573.6,99442.01,4
2021-08-17,60868.41,38503.92,99372.33,4
2021-08-18,60868.41,38285.88,99154.28,4
2021-08-20,60868.41,37526.8,98395.21,4
2021-08-23,60868.41,37045.27,97913.68,4
2021-08-24,78057.8,20072.95,98130.75,2
2021-08-25,78057.8,20339.65,98397.45,2
2021-08-26,78057.8,20447.75,98505.55,2
2021-08-27,78057.8,20561.2,98619.0,2
2021-08-30,78057.8,21123.85,99181.65,2
2021-08-31,59340.05,40049.25,99389.3,4
2021-09-01,33420.36,65168.85,98589.21,7
2021-09-02,14238.61,85138.88,99377.5,9
2021-09-03,4578.96,96687.85,101266.81,10
2021-09-06,4578.96,99644.4,104223.36,10
2021-09-07,4578.96,98429.32,103008.28,10
2021-09-08,4578.96,97897.25,102476.21,10
2021-09-09,4578.96,97672.23,102251.2,10
2021-09-13,4578.96,99134.35,103713.31,10
2021-09-14,4578.96,99928.77,104507.73,10
2021-09-15,4578.96,99865.42,104444.38,10
2021-09-16,4578.96,99335.22,103914.18,10
2021-09-17,4578.96,97949.23,102528.2,10
2021-09-20,4578.96,94688.5,99267.46,10
2021-09-21,30634.18,69653.95,100288.13,7
2021-09-22,30634.18,70588.2,101222.38,7
2021-09-23,30634.18,72054.55,102688.73,7
2021-09-24,30634.18,71254.4,101888.58,7
2021-09-27,30634.18,72078.95,102713.13,7
2021-09-28,30634.18,71991.37,102625.55,7
2021-09-29,30634.18,71868.33,102502.51,7
2021-09-30,38116.69,64736.3,102852.99,6
2021-10-01,38116.69,64836.1,102952.79,6
2021-10-04,38116.69,65787.35,103904.04,6
2021-10-05,38116.69,65333.22,103449.91,6
2021-10-06,28195.78,73483.63,101679.41,7
2021-10-07,28195.78,74650.95,102846.73,7
2021-10-08,18365.46,84279.07,102644.53,8
2021-10-11,11666.77,92173.23,103840.0,9
2021-10-12,11666.77,92426.98,104093.75,9
2021-10-13,11666.77,92431.0,104097.77,9
2021-10-14,11666.77,93009.18,104675.95,9
2021-10-18,1950.56,104170.46,106121.02,10
2021-10-19,1950.56,101572.42,103522.99,10
2021-10-20,1950.56,99195.79,101146.35,10
2021-10-21,10986.52,89821.28,100807.8,9
2021-10-22,10986.52,89278.05,100264.57,9
2021-10-25,20921.12,78534.35,99455.47,8
2021-10-26,30578.95,70248.56,100827.51,7
2021-10-27,30578.95,69101.07,99680.02,7
2021-10-28,30578.95,67973.27,98552.22,7
2021-10-29,40475.05,58648.97,99124.02,6
2021-11-01,39596.96,59457.85,99054.81,6
2021-11-02,19779.56,80028.91,99808.47,8
2021-11-03,19779.56,80211.54,99991.1,8
2021-11-04,19779.56,81841.44,101621.0,8
2021-11-08,19779.56,84180.33,103959.89,8
2021-11-09,19779.56,85379.23,105158.79,8
2021-11-10,10726.32,93448.58,104174.9,9
2021-11-11,10726.32,92387.71,103114.03,9
2021-11-12,10726.32,94130.56,104856.88,9
2021-11-15,10726.32,94020.87,104747.18,9
2021-11-16,1093.41,102269.31,103362.72,10
2021-11-17,1093.41,102829.29,103922.7,10
2021-11-18,1093.41,103049.23,104142.64,10
2021-11-22,1093.41,99954.93,101048.34,10
2021-11-23,27469.87,74252.17,101722.04,7
2021-11-24,27469.87,73818.96,101288.83,7
2021-11-25,38355.22,63826.29,102181.51,6
2021-11-26,28660.54,71952.65,100613.18,7
2021-11-29,47731.86,52528.66,100260.52,5
2021-11-30,47731.86,53257.16,100989.02,5
2021-12-01,47731.86,52871.12,100602.98,5
2021-12-02,47731.86,53344.59,101076.45,5
2021-12-03,38218.36,62393.92,100612.28,6
2021-12-06,38218.36,61494.05,99712.41,6
2021-12-07,38218.36,61977.47,100195.83,6
2021-12-08,38218.36,62503.42,100721.78,6
2021-12-09,38218.36,62543.82,100762.18,6
2021-12-10,28240.39,72201.2,100441.59,7
2021-12-13,28240.39,72648.26,100888.65,7
2021-12-14,28240.39,72215.16,100455.55,7
2021-12-15,28240.39,72474.7,100715.09,7
2021-12-16,28240.39,72150.26,100390.65,7
2021-12-17,28240.39,70292.71,98533.1,7
2021-12-20,37790.83,58698.19,96489.02,6
2021-12-21,56018.59,40787.8,96806.39,4
2021-12-22,56018.59,41404.1,97422.69,4
2021-12-23,56018.59,41526.6,97545.19,4
2021-12-24,56018.59,41549.2,97567.79,4
2021-12-27,56018.59,41492.0,97510.59,4
2021-12-28,56018.59,42384.2,98402.79,4
2021-12-29,56018.59,42532.0,98550.59,4
2021-12-30,56018.59,42582.9,98601.49,4
2021-12-31,46028.61,52746.3,98774.91,5
2022-01-03,46028.61,52858.8,98887.41,5
2022-01-04,26663.51,72238.4,98901.91,7
2022-01-05,16747.2,81880.0,98627.2,8
2022-01-06,76.85,98301.55,98378.4,10
2022-01-07,76.85,99427.0,99503.85,10
2022-01-10,76.85,100411.55,100488.4,10
2022-01-11,76.85,101305.05,101381.9,10
2022-01-12,76.85,102589.4,102666.25,10
2022-01-13,76.85,103194.75,103271.6,10
2022-01-14,76.85,103756.35,103833.2,10
2022-01-17,76.85,104319.75,104396.6,10
2022-01-18,76.85,102072.78,102149.63,10
2022-01-19,9827.09,91552.45,101379.54,9
2022-01-20,9827.09,91375.52,101202.62,9
2022-01-21,78.26,99286.54,99364.8,10
2022-01-24,26120.64,71402.6,97523.24,7
2022-01-25,36414.33,62073.6,98487.93,6
2022-01-27,36414.33,62211.67,98626.0,6
2022-01-28,36414.33,61673.73,98088.06,6
2022-01-31,36414.33,62409.38,98823.72,6
2022-02-01,43766.97,54794.94,98561.91,5
2022-02-02,43766.97,55358.07,99125.05,5
2022-02-03,43766.97,55925.65,99692.62,5
2022-02-04,34257.0,65225.08,99482.08,6
2022-02-07,34257.0,65384.8,99641.8,6
2022-02-08,34257.0,64801.62,99058.62,6
2022-02-09,34257.0,65622.81,99879.81,6
2022-02-10,44890.75,55237.57,100128.32,5
2022-02-11,35040.91,65248.04,100288.95,6
2022-02-14,35040.91,63060.67,98101.58,6
2022-02-15,35040.91,64149.04,99189.96,6
2022-02-16,35040.91,65311.55,100352.46,6
2022-02-17,35040.91,65435.07,100475.98,6
2022-02-18,35040.91,65098.26,100139.18,6
2022-02-21,35040.91,64457.38,99498.29,6
2022-02-22,35040.91,63266.48,98307.39,6
2022-02-23,35040.91,63471.78,98512.7,6
2022-02-24,35040.91,60657.71,95698.62,6
2022-02-25,65820.45,31159.47,96979.92,3
2022-02-28,65820.45,31519.45,97339.9,3
2022-03-02,65820.45,32368.8,98189.25,3
2022-03-03,65820.45,32393.75,98214.2,3
2022-03-04,55854.49,41882.05,97736.54,4
2022-03-07,55854.49,41167.32,97021.82,4
2022-03-08,55854.49,40803.4,96657.89,4
2022-03-09,55854.49,40974.35,96828.84,4
2022-03-10,36815.47,58802.1,95617.57,6
2022-03-11,26955.62,68821.07,95776.7,7
2022-03-14,7718.4,88123.03,95841.43,9
2022-03-15,7718.4,86238.6,93957.01,9
2022-03-16,7718.4,87074.9,94793.3,9
2022-03-17,1925.02,91899.13,93824.14,10
2022-03-21,3254.07,90487.68,93741.74,10
2022-03-22,3254.07,91503.12,94757.19,10
2022-03-23,3254.07,91643.5,94897.57,10
2022-03-24,3254.07,93207.0,96461.07,10
