Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
APLAPOLLO.NS,2021-07-28,891.0,2021-08-24,753.0,11,-1536.08,-15.66,Exit rule,27
LAURUSLABS.NS,2021-08-09,685.95,2021-08-24,637.4,14,-698.23,-7.26,Exit rule,15
DALBHARAT.NS,2021-08-31,2193.0,2021-09-21,2223.0,4,102.34,1.17,Exit rule,21
NATIONALUM.NS,2021-08-31,87.85,2021-09-21,86.1,113,-217.41,-2.19,Exit rule,21
NAVINFLUOR.NS,2021-09-01,4053.8999,2021-09-21,3730.0,2,-663.37,-8.17,Exit rule,20
ULTRACEMCO.NS,2021-09-01,7832.0,2021-09-30,7490.0,1,-357.32,-4.56,Exit rule,29
LAURUSLABS.NS,2021-10-08,654.7,2021-10-21,603.0,15,-794.37,-8.08,Exit rule,13
HINDALCO.NS,2021-09-01,474.0,2021-10-25,473.55,21,-29.35,-0.29,Exit rule,54
AMBER.NS,2021-09-02,3060.0,2021-10-26,3222.5,3,468.65,5.1,Exit rule,54
AXISBANK.NS,2021-08-11,765.0,2021-10-29,762.0,13,-58.85,-0.59,Exit rule,79
WIPRO.NS,2021-10-18,359.5,2021-11-01,325.55,27,-935.15,-9.62,Exit rule,14
CESC.NS,2021-10-06,93.5,2021-11-23,83.35,106,-1094.65,-11.03,Exit rule,48
AMBUJACEM.NS,2021-11-02,410.0,2021-11-23,387.0,24,-571.13,-5.8,Exit rule,21
MCX.NS,2021-11-16,400.97,2021-11-23,344.99,24,-1361.42,-14.13,Exit rule,7
PRESTIGE.NS,2021-09-03,386.0,2021-11-25,435.85,25,1225.7,12.69,Exit rule,83
BEL.NS,2021-09-02,63.5833,2021-11-29,65.4167,157,267.58,2.68,Exit rule,88
UNITDSPR.NS,2021-11-01,964.95,2021-11-29,882.0,10,-847.97,-8.78,Exit rule,28
APOLLOHOSP.NS,2021-11-10,4522.1001,2021-12-20,4780.0,2,497.2,5.49,Exit rule,40
VBL.NS,2021-11-02,122.9333,2021-12-21,110.6667,81,-1012.52,-10.16,Exit rule,49
SONACOMS.NS,2021-11-26,745.0,2021-12-21,714.0,13,-421.97,-4.35,Exit rule,25
HCLTECH.NS,2021-12-03,1188.0,2022-01-19,1220.0,8,236.74,2.49,Exit rule,47
CYIENT.NS,2022-01-04,1073.0,2022-01-24,963.8,9,-1001.13,-10.36,Exit rule,20
AMBUJACEM.NS,2022-01-04,387.55,2022-01-24,368.0,25,-507.64,-5.23,Exit rule,20
BAJAJFINSV.NS,2022-01-06,1770.1,2022-01-24,1638.85,5,-673.29,-7.6,Exit rule,18
FEDERALBNK.NS,2022-01-05,88.45,2022-01-25,92.0,112,377.39,3.81,Exit rule,20
SKFINDIA.NS,2021-10-11,3346.0,2022-02-01,3680.0,2,653.95,9.76,Exit rule,113
TRIDENT.NS,2021-12-10,56.0,2022-02-10,59.8,178,655.79,6.57,Exit rule,62
ESCORTS.NS,2021-08-04,1217.9,2022-02-25,1811.0,8,4720.57,48.4,Exit rule,205
SBIN.NS,2022-01-06,487.7,2022-02-25,480.0,16,-138.68,-1.78,Exit rule,50
BSE.NS,2022-01-21,237.5389,2022-02-25,210.7889,41,-1115.13,-11.44,Exit rule,35
OIL.NS,2021-12-31,133.0667,2022-03-21,148.6667,75,1148.87,11.5,Exit rule,80
JSWENERGY.NS,2022-02-11,328.0,2022-03-30,299.4,30,-876.82,-8.9,Exit rule,47
LTTS.NS,2022-03-11,4925.0,2022-04-12,4775.0,2,-319.4,-3.24,Exit rule,32
TECHM.NS,2022-03-10,1525.0,2022-04-13,1418.1,6,-659.06,-7.2,Exit rule,34
BSOFT.NS,2022-03-10,470.0,2022-04-19,435.0,21,-754.0,-7.63,Exit rule,40
CDSL.NS,2022-03-14,762.5,2022-04-28,702.5,13,-799.04,-8.05,Exit rule,45
BATAINDIA.NS,2022-03-17,1929.2,2022-05-06,1855.0,3,-233.95,-4.04,Exit rule,50
BLUESTARCO.NS,2022-02-04,500.025,2022-05-09,537.0,19,682.82,7.18,Exit rule,94
FORTIS.NS,2022-03-04,262.0,2022-05-09,246.6,38,-604.53,-6.07,Exit rule,66
PRESTIGE.NS,2022-03-21,490.0,2022-05-11,434.0,20,-1138.48,-11.61,Exit rule,51
360ONE.NS,2022-04-04,421.5,2022-05-12,385.3875,23,-849.15,-8.75,Exit rule,38
TATACHEM.NS,2022-03-14,930.55,2022-05-13,946.0,10,135.73,1.46,Exit rule,60
ADANIPOWER.NS,2022-05-23,64.33,2022-06-14,52.32,155,-1879.63,-18.83,Exit rule,22
SUZLON.NS,2022-06-02,8.5853,2022-06-17,7.0243,1163,-1833.56,-18.35,Exit rule,15
VINATIORGA.NS,2022-05-18,2097.8999,2022-06-20,1861.2,4,-962.64,-11.46,Exit rule,33
ONGC.NS,2022-06-30,153.0,2022-07-04,129.95,65,-1516.64,-15.24,Exit rule,4
SCHAEFFLER.NS,2022-05-31,2318.6001,2022-09-21,3330.0,4,4023.01,43.33,Exit rule,113
HDFCBANK.NS,2022-09-14,747.025,2022-09-26,712.675,13,-465.53,-4.79,Exit rule,12
THERMAX.NS,2022-07-22,2187.0,2022-09-27,2215.0,4,94.39,1.08,Exit rule,67
VBL.NS,2022-09-07,218.75,2022-09-29,210.0,45,-413.04,-4.19,Exit rule,22
CGPOWER.NS,2022-09-20,242.5,2022-10-04,232.0,41,-449.95,-4.52,Exit rule,14
COALINDIA.NS,2022-10-07,233.0,2022-11-16,233.35,42,-4.89,-0.05,Exit rule,40
JSWENERGY.NS,2022-10-10,340.6,2022-11-21,304.2,29,-1074.3,-10.87,Exit rule,42
SOLARINDS.NS,2022-10-04,4034.95,2022-11-28,3750.0,2,-585.47,-7.25,Exit rule,55
POONAWALLA.NS,2022-10-20,332.2,2022-12-07,299.85,30,-989.46,-9.92,Exit rule,48
COLPAL.NS,2022-12-12,1660.0,2022-12-16,1558.95,6,-625.61,-6.27,Exit rule,4
