Date,Cash,Holdings,Equity,OpenPositions
2021-06-23,100000.0,0.0,100000.0,0
2021-06-24,100000.0,0.0,100000.0,0
2021-06-25,100000.0,0.0,100000.0,0
2021-06-28,100000.0,0.0,100000.0,0
2021-06-29,100000.0,0.0,100000.0,0
2021-06-30,100000.0,0.0,100000.0,0
2021-07-01,100000.0,0.0,100000.0,0
2021-07-02,100000.0,0.0,100000.0,0
2021-07-05,100000.0,0.0,100000.0,0
2021-07-06,100000.0,0.0,100000.0,0
2021-07-07,100000.0,0.0,100000.0,0
2021-07-08,100000.0,0.0,100000.0,0
2021-07-09,100000.0,0.0,100000.0,0
2021-07-12,100000.0,0.0,100000.0,0
2021-07-13,100000.0,0.0,100000.0,0
2021-07-14,100000.0,0.0,100000.0,0
2021-07-15,100000.0,0.0,100000.0,0
2021-07-16,100000.0,0.0,100000.0,0
2021-07-19,100000.0,0.0,100000.0,0
2021-07-20,100000.0,0.0,100000.0,0
2021-07-22,100000.0,0.0,100000.0,0
2021-07-23,24023.56,76925.21,100948.77,8
2021-07-26,7360.06,94564.76,101924.82,10
2021-07-27,7360.06,93988.27,101348.33,10
2021-07-28,7360.06,94199.93,101560.0,10
2021-07-29,7360.06,95758.6,103118.67,10
2021-07-30,7360.06,96876.49,104236.55,10
2021-08-02,7360.06,96506.32,103866.38,10
2021-08-03,7360.06,96965.4,104325.46,10
2021-08-04,7360.06,96183.26,103543.32,10
2021-08-05,6736.53,96768.02,103504.55,10
2021-08-06,6736.53,98457.3,105193.83,10
2021-08-09,6736.53,97989.16,104725.69,10
2021-08-10,6773.83,97970.6,104744.44,10
2021-08-11,6773.83,97366.62,104140.45,10
2021-08-12,6773.83,99378.86,106152.7,10
2021-08-13,6773.83,99955.03,106728.87,10
2021-08-16,6773.83,98654.26,105428.1,10
2021-08-17,6773.83,100171.7,106945.53,10
2021-08-18,7086.67,100485.96,107572.63,10
2021-08-20,7086.67,98578.42,105665.08,10
2021-08-23,7426.67,98149.95,105576.62,10
2021-08-24,7426.67,98127.89,105554.56,10
2021-08-25,8501.04,97149.87,105650.91,10
2021-08-26,8254.06,97216.62,105470.68,10
2021-08-27,9333.84,97388.38,106722.22,10
2021-08-30,9333.84,98434.61,107768.45,10
2021-08-31,9333.84,100482.62,109816.46,10
2021-09-01,9333.84,99836.99,109170.83,10
2021-09-02,9333.84,100754.76,110088.6,10
2021-09-03,9333.84,101627.31,110961.15,10
2021-09-06,9333.84,102401.88,111735.72,10
2021-09-07,9333.84,102913.77,112247.61,10
2021-09-08,9333.84,104175.89,113509.73,10
2021-09-09,9333.84,103956.01,113289.85,10
2021-09-13,9333.84,104379.44,113713.28,10
2021-09-14,9333.84,105952.41,115286.25,10
2021-09-15,10128.48,105338.02,115466.5,10
2021-09-16,10128.48,106045.05,116173.53,10
2021-09-17,11667.61,103301.46,114969.07,10
2021-09-20,12105.39,101308.01,113413.4,10
2021-09-21,13614.6,100980.48,114595.07,10
2021-09-22,14239.1,101541.12,115780.21,10
2021-09-23,14239.1,102564.95,116804.04,10
2021-09-24,12897.71,105201.2,118098.91,10
2021-09-27,12897.71,105154.27,118051.98,10
2021-09-28,12897.71,104308.23,117205.94,10
2021-09-29,11586.23,107504.0,119090.23,10
2021-09-30,11989.48,107720.66,119710.14,10
2021-10-01,11892.75,108582.66,120475.4,10
2021-10-04,11892.75,109184.85,121077.6,10
2021-10-05,11892.75,112102.67,123995.42,10
2021-10-06,11892.75,112336.91,124229.66,10
2021-10-07,20679.35,104708.82,125388.17,9
2021-10-08,10719.0,114844.16,125563.16,10
2021-10-11,10719.0,117625.73,128344.73,10
2021-10-12,10719.0,117484.23,128203.23,10
2021-10-13,10719.0,119539.21,130258.21,10
2021-10-14,10579.59,121424.28,132003.86,10
2021-10-18,10579.59,125112.67,135692.26,10
2021-10-19,11911.37,116650.61,128561.97,10
2021-10-20,16474.84,107166.7,123641.55,10
2021-10-21,26182.2,96628.65,122810.84,9
2021-10-22,9585.14,112952.88,122538.01,10
2021-10-25,10497.58,108227.36,118724.94,10
2021-10-26,15173.39,105245.9,120419.29,10
2021-10-27,15173.39,105227.8,120401.19,10
2021-10-28,15173.39,100949.85,116123.24,10
2021-10-29,15136.27,101014.95,116151.22,10
2021-11-01,15136.27,102226.95,117363.22,10
2021-11-02,15136.27,105122.95,120259.22,10
2021-11-03,15136.27,104227.35,119363.62,10
2021-11-04,15136.27,106169.95,121306.22,10
2021-11-08,15136.27,108864.35,124000.62,10
2021-11-09,15136.27,110270.1,125406.37,10
2021-11-10,15136.27,108856.5,123992.77,10
2021-11-11,15136.27,107927.6,123063.87,10
2021-11-12,14566.77,109415.3,123982.07,10
2021-11-15,14566.77,109429.7,123996.47,10
2021-11-16,14559.24,109976.8,124536.04,10
2021-11-17,15799.23,108630.59,124429.82,10
2021-11-18,15799.23,104734.88,120534.11,10
2021-11-22,15799.23,103165.68,118964.91,10
2021-11-23,47765.15,70599.8,118364.95,7
2021-11-24,18448.67,98769.65,117218.32,10
2021-11-25,37062.79,82154.65,119217.44,8
2021-11-26,28163.4,88157.8,116321.2,9
2021-11-29,29801.96,86104.85,115906.81,9
2021-11-30,29111.02,86371.43,115482.45,9
2021-12-01,21544.46,95683.98,117228.44,10
2021-12-02,21544.46,95665.07,117209.53,10
2021-12-03,21544.46,97055.55,118600.01,10
2021-12-06,20747.58,96840.22,117587.81,10
2021-12-07,39348.46,78774.45,118122.91,8
2021-12-08,39348.46,79264.45,118612.91,8
2021-12-09,19458.59,102063.65,121522.24,10
2021-12-10,19458.59,102499.75,121958.34,10
2021-12-13,19458.59,101479.95,120938.54,10
2021-12-14,19771.62,100655.7,120427.32,10
2021-12-15,19771.62,99671.8,119443.42,10
2021-12-16,22185.25,95982.8,118168.04,10
2021-12-17,24587.06,91991.5,116578.56,10
2021-12-20,24587.06,88836.15,113423.21,10
2021-12-21,74779.92,39571.15,114351.07,4
2021-12-22,64879.03,50295.35,115174.38,5
2021-12-23,64879.03,50148.0,115027.03,5
2021-12-24,48972.21,65569.83,114542.04,7
2021-12-27,67444.47,47241.63,114686.1,5
2021-12-28,39121.34,76348.14,115469.48,8
2021-12-29,29271.5,86510.63,115782.13,9
2021-12-30,19271.51,96773.62,116045.12,10
2021-12-31,19271.51,97213.43,116484.94,10
2022-01-03,19271.51,98236.06,117507.57,10
2022-01-04,19271.51,97280.62,116552.12,10
2022-01-05,19271.51,96860.8,116132.31,10
2022-01-06,19271.51,97591.92,116863.43,10
2022-01-07,17552.63,99913.17,117465.8,10
2022-01-10,17211.6,102849.0,120060.6,10
2022-01-11,17211.6,101480.55,118692.15,10
2022-01-12,17211.6,102077.25,119288.85,10
2022-01-13,17211.6,101417.2,118628.8,10
2022-01-14,19458.98,99623.1,119082.08,10
2022-01-17,19043.74,100315.79,119359.53,10
2022-01-18,19043.74,97862.6,116906.34,10
2022-01-19,28610.16,87921.5,116531.66,9
2022-01-20,20245.5,96558.59,116804.09,10
2022-01-21,20245.5,93446.59,113692.1,10
2022-01-24,57994.74,53785.67,111780.4,6
2022-01-25,66118.75,45704.92,111823.67,5
2022-01-27,57454.1,54073.9,111528.0,6
2022-01-28,27736.97,83138.49,110875.45,9
2022-01-31,17787.03,95205.07,112992.09,10
2022-02-01,17787.03,95269.84,113056.87,10
2022-02-02,17787.03,96239.07,114026.09,10
2022-02-03,18458.53,94820.99,113279.52,10
2022-02-04,18458.53,93476.04,111934.57,10
2022-02-07,19624.93,92855.6,112480.52,10
2022-02-08,18830.8,93638.03,112468.83,10
2022-02-09,18830.8,94213.22,113044.02,10
2022-02-10,18830.8,94125.78,112956.58,10
2022-02-11,18023.83,93453.43,111477.26,10
2022-02-14,24410.24,81229.99,105640.23,9
2022-02-15,49505.36,56956.95,106462.31,6
2022-02-16,58420.84,48784.85,107205.69,5
2022-02-17,58420.84,48821.55,107242.39,5
2022-02-18,69252.0,37548.69,106800.69,4
2022-02-21,69252.0,36111.51,105363.51,4
2022-02-22,69252.0,36193.27,105445.27,4
2022-02-23,78644.6,27275.02,105919.62,3
2022-02-24,78644.6,25153.36,103797.96,3
2022-02-25,104700.51,0.0,104700.51,0
2022-02-28,87843.67,16690.0,104533.67,2
2022-03-02,59938.55,45606.7,105545.25,5
2022-03-03,10501.46,94581.49,105082.95,10
2022-03-04,10501.46,91623.95,102125.41,10
2022-03-07,28416.76,73638.96,102055.72,8
2022-03-08,24138.08,76464.78,100602.86,8
2022-03-09,24138.08,75494.34,99632.42,8
2022-03-10,24138.08,75342.55,99480.63,8
2022-03-11,14319.94,85922.14,100242.07,9
2022-03-14,4412.04,96902.02,101314.06,10
2022-03-15,3379.92,94716.12,98096.03,10
2022-03-16,21661.52,78048.58,99710.1,8
2022-03-17,2088.36,98543.03,100631.39,10
2022-03-21,2088.36,97159.04,99247.4,10
2022-03-22,364.87,99161.82,99526.68,10
2022-03-23,9750.47,90365.45,100115.92,9
2022-03-24,32.77,100406.71,100439.48,10
