Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
MAZDOCK.NS,2021-07-23,136.325,2021-08-05,124.85,73,-856.74,-8.6,Exit rule,13
BDL.NS,2021-07-23,203.5,2021-08-10,196.95,49,-340.57,-3.41,Exit rule,18
JSL.NS,2021-07-23,148.0,2021-08-18,153.0,67,314.83,3.17,Exit rule,26
GLAND.NS,2021-07-23,4150.0,2021-08-23,4088.0,2,-140.48,-1.69,Exit rule,31
JUBLFOOD.NS,2021-07-23,681.6,2021-08-25,743.75,14,850.15,8.9,Exit rule,33
360ONE.NS,2021-08-05,388.75,2021-08-26,375.0,25,-362.84,-3.73,Exit rule,21
BHARTIARTL.NS,2021-07-23,537.6064,2021-08-27,577.949,18,706.09,7.29,Exit rule,35
SBICARD.NS,2021-08-26,1067.0,2021-09-15,1065.0,9,-37.19,-0.39,Exit rule,20
SCHAEFFLER.NS,2021-07-23,1193.8,2021-09-17,1439.2,8,1942.14,20.32,Exit rule,56
KAJARIACER.NS,2021-08-27,1162.95,2021-09-20,1155.0,8,-82.14,-0.88,Exit rule,24
TECHM.NS,2021-07-23,1123.95,2021-09-21,1439.0,8,2499.9,27.77,Exit rule,60
MAXHEALTH.NS,2021-08-18,342.0,2021-09-22,365.45,29,659.53,6.64,Exit rule,35
BRITANNIA.NS,2021-08-23,3910.0,2021-09-24,4040.0,2,244.1,3.12,Exit rule,32
PERSISTENT.NS,2021-07-26,1518.475,2021-09-29,1749.5,6,1366.54,14.98,Exit rule,65
INDIGO.NS,2021-09-20,2196.05,2021-09-29,2023.05,4,-708.88,-8.06,Exit rule,9
NAUKRI.NS,2021-08-25,1164.8,2021-09-30,1292.0,8,997.95,10.7,Exit rule,36
MPHASIS.NS,2021-07-26,2512.0,2021-10-01,3109.0,3,1774.14,23.52,Exit rule,67
ESCORTS.NS,2021-09-15,1462.0,2021-10-07,1465.9,6,5.83,0.07,Exit rule,22
OIL.NS,2021-09-29,154.9333,2021-10-14,153.3333,64,-122.13,-1.23,Exit rule,15
INDUSTOWER.NS,2021-09-17,269.0,2021-10-19,303.7,37,1262.71,12.67,Exit rule,32
OBEROIRLTY.NS,2021-09-24,854.9,2021-10-20,904.8,11,529.54,5.63,Exit rule,26
COALINDIA.NS,2021-09-29,174.5,2021-10-21,182.0,57,407.18,4.09,Exit rule,22
UNITDSPR.NS,2021-10-01,855.0,2021-10-21,847.0,11,-106.72,-1.13,Exit rule,20
NATIONALUM.NS,2021-10-19,123.55,2021-10-22,106.9,80,-1350.44,-13.65,Stop,3
LTTS.NS,2021-10-20,5374.0,2021-10-22,4751.2002,1,-632.93,-11.77,Exit rule,2
GMRAIRPORT.NS,2021-09-21,30.9018,2021-10-25,36.0822,323,1651.61,16.53,Exit rule,34
NLCINDIA.NS,2021-10-08,69.1,2021-10-25,64.05,144,-746.37,-7.49,Exit rule,17
IRCTC.NS,2021-08-10,533.0,2021-10-26,813.6,18,5026.56,52.34,Exit rule,77
ONGC.NS,2021-09-22,134.5,2021-10-29,149.9,74,1118.55,11.23,Exit rule,37
BHEL.NS,2021-10-14,77.0,2021-10-29,67.4,129,-1257.03,-12.64,Exit rule,15
INDIANB.NS,2021-10-25,184.25,2021-11-12,173.35,54,-607.91,-6.1,Exit rule,18
ICICIBANK.NS,2021-10-26,828.7,2021-11-12,772.7,12,-691.22,-6.94,Exit rule,17
UNIONBANK.NS,2021-10-22,51.2,2021-11-16,48.95,195,-458.28,-4.59,Exit rule,25
BANKBARODA.NS,2021-10-22,96.2,2021-11-17,96.0,103,-40.4,-0.41,Exit rule,26
RVNL.NS,2021-10-22,36.5,2021-11-17,36.75,273,48.25,0.48,Exit rule,26
FEDERALBNK.NS,2021-10-25,105.0,2021-11-17,97.4,95,-741.23,-7.42,Exit rule,23
TATAPOWER.NS,2021-09-30,152.5,2021-11-23,223.95,65,4619.78,46.56,Exit rule,54
CDSL.NS,2021-11-16,794.475,2021-11-23,705.5,12,-1085.7,-11.38,Exit rule,7
MOTHERSON.NS,2021-11-17,68.3042,2021-11-23,61.4738,146,-1016.19,-10.18,Exit rule,6
TVSMOTOR.NS,2021-10-29,653.0,2021-11-25,702.0,15,714.68,7.29,Exit rule,27
ABB.NS,2021-10-29,1997.95,2021-11-25,2094.1499,5,460.54,4.61,Exit rule,27
MARUTI.NS,2021-11-17,8035.0,2021-11-25,7640.0,1,-410.67,-5.11,Exit rule,8
DEVYANI.NS,2021-10-21,126.0,2021-11-29,144.3,79,1424.35,14.29,Exit rule,39
TIMKEN.NS,2021-11-12,1985.0,2021-11-30,1826.6,5,-811.06,-8.16,Exit rule,18
CIPLA.NS,2021-11-29,974.0,2021-12-06,915.1,10,-607.89,-6.23,Exit rule,7
VEDL.NS,2021-11-24,344.9,2021-12-07,340.0,28,-156.38,-1.62,Exit rule,13
LALPATHLAB.NS,2021-11-30,1961.0,2021-12-07,1819.9,5,-724.4,-7.38,Exit rule,7
LODHA.NS,2021-11-17,704.95,2021-12-14,689.5,14,-235.82,-2.39,Exit rule,27
THERMAX.NS,2021-11-12,1540.0,2021-12-16,1717.0,6,1042.46,11.27,Exit rule,34
BIOCON.NS,2021-12-09,383.0,2021-12-17,365.4,26,-477.06,-4.79,Exit rule,8
BSOFT.NS,2021-11-24,510.0,2021-12-21,477.5,19,-636.26,-6.56,Exit rule,27
ADANIGREEN.NS,2021-11-24,1420.0,2021-12-21,1385.0,7,-264.63,-2.66,Exit rule,27
ABCAPITAL.NS,2021-12-06,118.2,2021-12-21,111.9,84,-548.53,-5.52,Exit rule,15
CREDITACC.NS,2021-12-14,717.0,2021-12-21,628.0,13,-1174.48,-12.59,Stop,7
FINEORG.NS,2021-12-16,3935.1001,2021-12-21,3640.0,2,-605.35,-7.68,Exit rule,5
JKCEMENT.NS,2021-12-17,3541.0,2021-12-21,3316.0,2,-463.71,-6.54,Exit rule,4
IDEA.NS,2021-11-25,11.0,2021-12-24,13.85,908,2565.24,25.66,Exit rule,29
TORNTPHARM.NS,2021-11-26,1481.75,2021-12-27,1523.125,6,230.22,2.59,Exit rule,31
DEVYANI.NS,2021-12-09,177.0,2021-12-27,167.0,56,-579.26,-5.84,Exit rule,18
NAVINFLUOR.NS,2021-12-01,3779.5,2022-01-07,4044.0,2,513.35,6.78,Exit rule,37
JBCHEPHARM.NS,2021-12-24,854.4,2022-01-10,827.5,11,-314.4,-3.34,Exit rule,17
UNOMINDA.NS,2021-12-22,549.5,2022-01-14,573.4,18,409.99,4.14,Exit rule,23
RADICO.NS,2021-12-24,1181.15,2022-01-17,1194.45,8,87.39,0.92,Exit rule,24
BSOFT.NS,2021-12-24,533.0,2022-01-19,532.0,18,-37.17,-0.39,Exit rule,26
AJANTPHARM.NS,2021-12-28,1464.7,2022-01-20,1443.3334,6,-145.65,-1.66,Exit rule,23
KPRMILL.NS,2021-12-28,682.0,2022-01-24,707.95,14,343.84,3.6,Exit rule,27
GMRAIRPORT.NS,2021-12-28,41.6679,2022-01-24,42.3,239,130.99,1.31,Exit rule,27
DEEPAKNTR.NS,2021-12-29,2460.0,2022-01-24,2500.95,4,143.96,1.46,Exit rule,26
SJVN.NS,2021-12-30,30.0,2022-01-24,30.2,333,46.55,0.47,Exit rule,25
POLYCAB.NS,2022-01-14,2685.1499,2022-01-24,2509.95,3,-541.19,-6.71,Exit rule,10
KPITTECH.NS,2022-01-10,725.0,2022-01-25,625.55,13,-1310.41,-13.89,Exit rule,15
NLCINDIA.NS,2022-01-20,71.0,2022-01-28,65.85,140,-740.16,-7.44,Exit rule,8
BIOCON.NS,2022-01-24,377.1,2022-01-28,361.4,26,-427.4,-4.35,Exit rule,4
POONAWALLA.NS,2022-01-07,251.0,2022-02-03,272.9,39,833.67,8.51,Exit rule,27
NTPC.NS,2022-01-31,142.0,2022-02-07,134.2,70,-565.33,-5.68,Exit rule,7
JBCHEPHARM.NS,2022-01-28,912.5,2022-02-08,867.5,10,-467.8,-5.12,Exit rule,11
BDL.NS,2022-01-28,247.5,2022-02-11,230.0,40,-719.1,-7.26,Exit rule,14
MOTHERSON.NS,2022-01-17,84.3333,2022-02-14,73.9333,118,-1245.88,-12.51,Exit rule,28
FINEORG.NS,2022-02-07,4105.0,2022-02-14,3822.3999,2,-581.05,-7.07,Exit rule,7
TATAELXSI.NS,2022-01-20,7059.0,2022-02-15,7020.0,1,-53.08,-0.75,Exit rule,26
MARUTI.NS,2022-01-27,8656.0,2022-02-15,8410.0,1,-263.07,-3.04,Exit rule,19
CANBK.NS,2022-01-28,48.45,2022-02-15,47.04,206,-310.13,-3.1,Exit rule,18
NLCINDIA.NS,2022-02-14,74.3,2022-02-16,66.6,134,-1050.68,-10.54,Exit rule,2
BANKBARODA.NS,2022-01-28,104.45,2022-02-18,105.3,95,60.82,0.61,Exit rule,21
KARURVYSYA.NS,2022-02-03,46.5,2022-02-18,42.5,214,-875.05,-8.78,Exit rule,15
AXISBANK.NS,2022-01-28,778.1,2022-02-23,783.5,12,46.06,0.49,Exit rule,26
CREDITACC.NS,2022-02-08,727.0,2022-02-25,678.0,13,-655.26,-6.93,Exit rule,17
ADANIPOWER.NS,2022-02-11,24.54,2022-02-25,24.0,407,-239.54,-2.4,Exit rule,14
ADANIGREEN.NS,2022-02-18,2060.0,2022-02-25,1875.0,4,-755.74,-9.16,Exit rule,7
HINDZINC.NS,2022-03-03,360.0,2022-03-07,322.1,27,-1041.72,-10.71,Exit rule,4
VBL.NS,2022-03-03,131.0667,2022-03-07,121.5333,76,-743.73,-7.46,Exit rule,4
FINEORG.NS,2022-02-28,4290.0,2022-03-08,3893.3999,2,-809.57,-9.43,Exit rule,8
TIMKEN.NS,2022-02-28,2065.0,2022-03-08,1941.1,4,-511.62,-6.19,Exit rule,8
OIL.NS,2022-03-03,168.1667,2022-03-15,150.6667,59,-1051.31,-10.59,Exit rule,12
HINDALCO.NS,2022-03-02,575.25,2022-03-16,568.7,17,-130.8,-1.34,Exit rule,14
ONGC.NS,2022-03-08,190.0,2022-03-16,166.0,52,-1266.51,-12.81,Exit rule,8
GAIL.NS,2022-03-08,107.7667,2022-03-22,96.6667,92,-1040.01,-10.48,Exit rule,14
PATANJALI.NS,2022-03-15,353.6667,2022-03-22,303.3333,28,-1427.73,-14.4,Stop,7
APOLLOHOSP.NS,2022-03-02,4827.0,2022-03-23,4697.5,2,-278.05,-2.88,Exit rule,21
COALINDIA.NS,2022-03-03,189.6,2022-03-31,184.15,52,-302.84,-3.07,Exit rule,28
BSE.NS,2022-03-11,297.2222,2022-04-06,302.0,33,137.89,1.4,Exit rule,26
TATASTEEL.NS,2022-03-03,130.6,2022-04-13,133.495,76,199.95,2.01,Exit rule,41
CUMMINSIND.NS,2022-03-22,1059.3,2022-04-18,1071.0,9,86.13,0.9,Exit rule,27
TATAELXSI.NS,2022-03-31,9000.0,2022-04-19,7944.0,1,-1072.94,-11.91,Exit rule,19
ABCAPITAL.NS,2022-04-13,119.8,2022-04-20,110.0,83,-832.47,-8.36,Exit rule,7
ANGELONE.NS,2022-03-17,143.4,2022-04-21,175.03,69,2160.5,21.81,Exit rule,35
GNFC.NS,2022-03-14,707.0,2022-04-25,846.4,14,1929.85,19.48,Exit rule,42
360ONE.NS,2022-03-22,397.5,2022-04-27,432.25,24,814.09,8.52,Exit rule,36
SYNGENE.NS,2022-03-24,606.75,2022-04-28,615.0,16,112.45,1.16,Exit rule,35
BDL.NS,2022-04-19,433.975,2022-04-28,383.5,22,-1128.43,-11.81,Stop,9
HAL.NS,2022-03-17,743.0,2022-05-02,789.0,13,578.08,5.98,Exit rule,46
POONAWALLA.NS,2022-04-18,328.8,2022-05-02,302.5,30,-807.94,-8.18,Exit rule,14
BAJAJ-AUTO.NS,2022-04-27,3870.0,2022-05-02,3720.0,2,-315.18,-4.07,Exit rule,5
TVSMOTOR.NS,2022-04-27,679.85,2022-05-04,649.0,14,-450.5,-4.73,Exit rule,7
ANGELONE.NS,2022-04-22,191.0,2022-05-05,174.0,52,-902.98,-9.08,Exit rule,13
ABCAPITAL.NS,2022-04-28,121.9,2022-05-05,114.8,81,-594.27,-6.01,Exit rule,7
INDUSINDBK.NS,2022-05-04,1025.5,2022-05-06,919.0,9,-976.0,-10.56,Exit rule,2
ADANIENT.NS,2022-04-06,2153.75,2022-05-09,2229.5,4,285.47,3.31,Exit rule,33
ADANIENSOL.NS,2022-03-02,2111.0,2022-05-10,2703.0,4,2348.74,27.79,Exit rule,69
AMBER.NS,2022-05-02,3699.45,2022-05-10,3590.0,2,-233.48,-3.15,Exit rule,8
NLCINDIA.NS,2022-04-20,76.75,2022-05-11,77.05,121,17.69,0.19,Exit rule,21
TATACHEM.NS,2022-05-04,1040.45,2022-05-11,969.2,9,-659.34,-7.03,Exit rule,7
SCHAEFFLER.NS,2022-04-28,2240.0,2022-05-12,2043.3,4,-803.93,-8.96,Exit rule,14
POWERGRID.NS,2022-05-10,184.35,2022-05-19,167.25,54,-942.39,-9.46,Exit rule,9
PATANJALI.NS,2022-05-19,391.8333,2022-05-26,349.8333,25,-1068.54,-10.9,Exit rule,7
COROMANDEL.NS,2022-05-25,979.0,2022-05-26,907.45,10,-734.36,-7.49,Exit rule,1
ITC.NS,2022-05-20,266.7275,2022-06-09,257.8687,37,-347.19,-3.51,Exit rule,20
ASHOKLEY.NS,2022-05-24,69.0,2022-06-14,65.375,144,-541.35,-5.44,Exit rule,21
SKFINDIA.NS,2022-05-31,3529.0,2022-06-14,3299.0,2,-473.66,-6.7,Exit rule,14
METROBRAND.NS,2022-05-31,572.2,2022-06-16,567.0,17,-107.77,-1.11,Exit rule,16
HAL.NS,2022-05-23,886.5,2022-06-17,887.5,11,-8.51,-0.09,Exit rule,25
CREDITACC.NS,2022-06-01,1081.8,2022-06-17,1008.0,8,-607.12,-7.01,Exit rule,16
TORNTPHARM.NS,2022-05-27,1457.5,2022-06-20,1365.25,6,-570.44,-6.52,Exit rule,24
M&M.NS,2022-05-31,997.95,2022-06-20,1005.0,10,50.47,0.51,Exit rule,20
OIL.NS,2022-06-10,198.2,2022-06-20,164.0,50,-1728.11,-17.42,Exit rule,10
TIMKEN.NS,2022-05-31,2180.0,2022-06-21,2332.1001,4,590.35,6.76,Exit rule,21
FINEORG.NS,2022-06-01,4901.1001,2022-06-21,4627.1001,2,-567.06,-5.78,Exit rule,20
METROBRAND.NS,2022-07-01,600.0,2022-07-14,563.0,16,-610.61,-6.35,Exit rule,13
DELHIVERY.NS,2022-07-08,604.0,2022-08-03,622.65,11,191.66,2.88,Exit rule,26
SHRIRAMFIN.NS,2022-07-01,253.24,2022-08-04,275.4,39,843.62,8.53,Exit rule,34
SIEMENS.NS,2022-07-05,1487.4567,2022-08-04,1552.4669,6,371.82,4.16,Exit rule,30
KEC.NS,2022-07-14,445.1,2022-08-05,447.8,21,37.95,0.41,Exit rule,22
COROMANDEL.NS,2022-07-05,985.2,2022-08-22,1034.55,10,473.3,4.8,Exit rule,48
DEVYANI.NS,2022-08-04,187.7,2022-08-24,187.7,53,-19.9,-0.2,Exit rule,20
APLAPOLLO.NS,2022-08-05,1052.8,2022-08-26,1035.0,9,-178.99,-1.89,Exit rule,21
YESBANK.NS,2022-08-03,17.3,2022-09-05,16.25,399,-432.34,-6.26,Exit rule,33
CUB.NS,2022-08-26,142.875,2022-09-07,131.175,69,-826.21,-8.37,Exit rule,12
ADANIPOWER.NS,2022-08-04,68.99,2022-09-14,77.15,144,1154.0,11.6,Exit rule,41
SKFINDIA.NS,2022-07-01,3620.0,2022-09-16,4797.9502,2,2339.06,32.28,Exit rule,77
NLCINDIA.NS,2022-09-07,81.8,2022-09-16,76.2,110,-633.38,-7.03,Exit rule,9
ABB.NS,2022-07-07,2540.0,2022-09-19,3188.0,3,1926.82,25.26,Exit rule,74
SCHAEFFLER.NS,2022-07-06,2334.5,2022-09-21,3330.0,4,3959.34,42.36,Exit rule,77
ADANIENSOL.NS,2022-06-30,2355.95,2022-09-22,3877.95,4,6063.06,64.27,Exit rule,84
SRF.NS,2022-09-14,2789.8501,2022-09-23,2620.0,3,-525.78,-6.28,Exit rule,9
ADANIPORTS.NS,2022-08-22,876.2,2022-09-27,861.0,11,-186.31,-1.93,Exit rule,36
NHPC.NS,2022-09-05,39.5,2022-09-27,37.35,168,-374.11,-5.63,Exit rule,22
APOLLOTYRE.NS,2022-09-16,299.5,2022-09-27,275.05,33,-825.81,-8.35,Exit rule,11
360ONE.NS,2022-09-19,457.0625,2022-09-27,429.6625,21,-594.02,-6.18,Exit rule,8
RVNL.NS,2022-09-23,36.25,2022-09-27,33.75,275,-706.75,-7.08,Exit rule,4
ITC.NS,2022-07-04,275.0567,2022-09-29,316.7991,36,1481.42,14.95,Exit rule,87
LALPATHLAB.NS,2022-09-29,1358.45,2022-10-04,1195.95,7,-1155.38,-12.14,Exit rule,5
MARICO.NS,2022-09-22,537.0,2022-10-06,531.45,18,-119.13,-1.23,Exit rule,14
CEATLTD.NS,2022-09-16,1700.0,2022-10-12,1560.0,5,-716.3,-8.42,Exit rule,26
DRREDDY.NS,2022-09-30,876.51,2022-10-13,849.99,11,-310.71,-3.22,Exit rule,13
ERIS.NS,2022-10-04,735.95,2022-10-14,711.5,13,-336.67,-3.52,Exit rule,10
RVNL.NS,2022-10-04,36.7,2022-10-21,35.95,272,-223.76,-2.24,Exit rule,17
APLAPOLLO.NS,2022-10-07,1140.3,2022-10-24,1100.0,8,-340.32,-3.73,Exit rule,17
KALYANKJIL.NS,2022-08-24,77.45,2022-10-27,100.45,128,2921.23,29.44,Exit rule,64
SOLARINDS.NS,2022-10-03,3943.8,2022-10-27,3905.8999,2,-91.5,-1.16,Exit rule,24
KIRLOSENG.NS,2022-10-13,285.7,2022-10-31,258.7,34,-936.51,-9.63,Exit rule,18
AXISBANK.NS,2022-10-24,916.0,2022-11-11,847.0,10,-707.63,-7.72,Exit rule,18
BDL.NS,2022-10-27,498.0,2022-11-15,475.05,20,-478.46,-4.8,Exit rule,19
BHEL.NS,2022-10-19,68.2,2022-11-16,70.65,146,337.43,3.39,Exit rule,28
FEDERALBNK.NS,2022-10-17,132.0,2022-11-17,133.0,75,55.12,0.56,Exit rule,31
SUNPHARMA.NS,2022-09-30,933.95,2022-11-21,1003.0,10,671.13,7.18,Exit rule,52
GRANULES.NS,2022-10-03,348.0,2022-11-21,360.0,28,316.18,3.24,Exit rule,49
KARURVYSYA.NS,2022-11-01,87.0417,2022-11-30,83.5,114,-423.19,-4.26,Exit rule,29
COCHINSHIP.NS,2022-09-21,212.0,2022-12-07,323.0,47,5191.86,52.05,Exit rule,77
CANBK.NS,2022-10-21,52.0,2022-12-08,63.1,192,2109.1,21.1,Exit rule,48
RVNL.NS,2022-11-15,55.95,2022-12-12,66.5,178,1856.1,18.62,Exit rule,27
