Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
BHARATFORG.NS,2017-05-02,574.5,2017-06-01,588.0,17,209.74,2.15,Rotation,30
BEL.NS,2017-05-02,54.9394,2017-06-01,52.5455,181,-452.76,-4.55,Rotation,30
RECLTD.NS,2017-05-02,152.6625,2017-06-01,146.0625,65,-448.42,-4.51,Rotation,30
IOC.NS,2017-05-02,147.0,2017-06-01,142.8,67,-300.82,-3.05,Rotation,30
HINDALCO.NS,2017-05-02,200.85,2017-06-01,200.5,49,-36.82,-0.37,Rotation,30
GAIL.NS,2017-05-02,106.0,2017-06-01,103.5,94,-254.69,-2.55,Rotation,30
BAJAJFINSV.NS,2017-05-02,458.075,2017-07-03,412.5,21,-975.36,-10.13,Rotation,62
HAVELLS.NS,2017-06-01,491.65,2017-07-03,460.0,20,-652.03,-6.62,Rotation,32
MOTHERSON.NS,2017-06-01,54.6676,2017-07-03,56.5377,182,320.1,3.21,Rotation,32
TITAN.NS,2017-06-01,475.95,2017-08-01,546.5,20,1390.55,14.59,Rotation,61
DLF.NS,2017-06-01,179.95,2017-08-01,194.5,55,779.66,7.87,Rotation,61
ADANIENT.NS,2017-05-02,59.8574,2017-09-01,72.3356,166,2049.44,20.61,Rotation,122
JINDALSTEL.NS,2017-05-02,114.8,2017-09-01,138.0,87,1996.41,19.97,Rotation,122
ZYDUSLIFE.NS,2017-07-03,525.3,2017-09-01,503.9,19,-426.15,-4.27,Rotation,60
MUTHOOTFIN.NS,2017-07-03,458.0,2017-09-01,476.0,19,324.25,3.72,Rotation,60
RELIANCE.NS,2017-08-01,370.9333,2017-09-01,365.6988,26,-155.25,-1.61,Rotation,31
BAJAJFINSV.NS,2017-08-01,502.5,2017-10-03,521.0,19,332.05,3.47,Rotation,63
HINDUNILVR.NS,2017-09-01,1216.25,2017-10-03,1176.5,8,-337.14,-3.46,Rotation,32
TITAN.NS,2017-09-01,618.9,2017-10-03,588.0,16,-513.71,-5.18,Rotation,32
INDIGO.NS,2017-09-01,1230.0,2017-10-03,1094.6,8,-1101.8,-11.19,Rotation,32
GRASIM.NS,2017-07-03,958.2222,2017-11-01,1227.0709,10,2666.63,27.8,Rotation,121
MOTHERSON.NS,2017-10-03,61.9291,2017-11-01,67.0292,161,800.35,8.02,Rotation,29
JSWSTEEL.NS,2017-10-03,252.0,2017-11-01,265.0,39,486.84,4.95,Rotation,29
VBL.NS,2017-10-03,30.2222,2017-11-01,29.9674,330,-103.95,-1.04,Rotation,29
BAJFINANCE.NS,2017-06-01,133.4,2017-12-01,173.7,74,2959.47,29.95,Rotation,183
BHARTIARTL.NS,2017-11-01,467.3019,2017-12-01,449.6372,21,-390.21,-3.97,Rotation,30
VEDL.NS,2017-11-01,334.75,2017-12-01,297.45,29,-1100.03,-11.32,Rotation,30
BAJAJHLDNG.NS,2017-09-01,2876.1499,2018-01-01,2868.0,3,-41.68,-0.48,Rotation,122
TATASTEEL.NS,2017-10-03,62.5472,2018-01-01,69.788,159,1130.25,11.35,Rotation,90
RELIANCE.NS,2017-12-01,422.6274,2018-01-01,421.8274,23,-37.82,-0.39,Rotation,31
NAUKRI.NS,2017-12-01,257.6,2018-01-01,278.94,38,790.53,8.07,Rotation,31
TVSMOTOR.NS,2017-06-01,537.0,2018-02-01,696.0,18,2839.81,29.35,Rotation,245
UNITDSPR.NS,2017-11-01,611.0,2018-02-01,659.18,16,750.56,7.67,Rotation,92
ADANIPOWER.NS,2018-01-01,8.32,2018-02-01,7.34,1200,-1194.79,-11.96,Rotation,31
TRENT.NS,2018-01-01,340.0,2018-02-01,318.5,29,-642.6,-6.51,Rotation,31
HINDALCO.NS,2018-01-01,273.0,2018-02-01,257.8,36,-566.31,-5.76,Rotation,31
JSWSTEEL.NS,2018-02-01,296.0,2018-03-01,315.0,33,606.84,6.21,Rotation,28
VBL.NS,2018-02-01,40.9452,2018-03-01,38.7556,243,-551.45,-5.54,Rotation,28
NAUKRI.NS,2018-02-01,270.2,2018-04-02,235.07,36,-1282.87,-13.18,Rotation,60
BHARATFORG.NS,2018-03-01,791.8,2018-04-02,703.0,12,-1083.54,-11.39,Rotation,32
COALINDIA.NS,2018-03-01,310.8,2018-04-02,283.35,32,-897.41,-9.01,Rotation,32
ADANIENSOL.NS,2017-05-02,78.25,2018-05-02,170.95,127,11741.25,118.03,Rotation,365
ADANIENT.NS,2018-02-01,116.064,2018-05-02,90.0515,86,-2254.79,-22.57,Rotation,90
