Date,Cash,Holdings,Equity,OpenPositions
2021-06-23,100000.0,0.0,100000.0,0
2021-06-24,100000.0,0.0,100000.0,0
2021-06-25,100000.0,0.0,100000.0,0
2021-06-28,100000.0,0.0,100000.0,0
2021-06-29,100000.0,0.0,100000.0,0
2021-06-30,100000.0,0.0,100000.0,0
2021-07-01,100000.0,0.0,100000.0,0
2021-07-02,100000.0,0.0,100000.0,0
2021-07-05,100000.0,0.0,100000.0,0
2021-07-06,100000.0,0.0,100000.0,0
2021-07-07,100000.0,0.0,100000.0,0
2021-07-08,100000.0,0.0,100000.0,0
2021-07-09,100000.0,0.0,100000.0,0
2021-07-12,100000.0,0.0,100000.0,0
2021-07-13,100000.0,0.0,100000.0,0
2021-07-14,100000.0,0.0,100000.0,0
2021-07-15,100000.0,0.0,100000.0,0
2021-07-16,100000.0,0.0,100000.0,0
2021-07-19,100000.0,0.0,100000.0,0
2021-07-20,100000.0,0.0,100000.0,0
2021-07-22,100000.0,0.0,100000.0,0
2021-07-23,90930.94,8908.8,99839.74,1
2021-07-26,99891.97,0.0,99891.97,0
2021-07-27,90693.78,9147.6,99841.38,1
2021-07-28,90693.78,9155.25,99849.03,1
2021-07-29,90693.78,9157.05,99850.83,1
2021-07-30,90693.78,9330.75,100024.53,1
2021-08-02,80989.69,18950.2,99939.89,2
2021-08-03,80989.69,19269.0,100258.69,2
2021-08-04,71719.43,27910.0,99629.43,3
2021-08-05,61920.64,37434.25,99354.89,4
2021-08-06,70956.59,28164.35,99120.94,3
2021-08-09,71291.68,27937.55,99229.23,3
2021-08-10,80636.73,18547.2,99183.92,2
2021-08-11,80636.73,18664.2,99300.92,2
2021-08-12,80461.99,19248.15,99710.14,2
2021-08-13,80461.99,19053.75,99515.74,2
2021-08-16,80461.99,18823.2,99285.19,2
2021-08-17,80461.99,18731.4,99193.39,2
2021-08-18,80326.82,18639.45,98966.27,2
2021-08-20,72722.63,25866.4,98589.03,3
2021-08-23,82196.23,16260.2,98456.44,2
2021-08-24,82196.23,16287.95,98484.18,2
2021-08-25,91029.39,7382.35,98411.74,1
2021-08-26,71482.37,26853.85,98336.22,3
2021-08-27,78805.63,19890.7,98696.33,2
2021-08-30,71136.85,28033.75,99170.6,3
2021-08-31,71136.85,28708.55,99845.4,3
2021-09-01,61171.32,38304.06,99475.37,4
2021-09-02,51453.86,48476.1,99929.96,5
2021-09-03,41671.29,58799.76,100471.04,6
2021-09-06,42632.11,58182.82,100814.93,6
2021-09-07,42632.11,57704.37,100336.48,6
2021-09-08,32652.14,66891.68,99543.81,7
2021-09-09,32652.14,67244.43,99896.57,7
2021-09-13,53256.31,47280.01,100536.32,5
2021-09-14,90515.02,10196.21,100711.23,1
2021-09-15,100748.17,0.0,100748.17,0
2021-09-16,90806.51,9959.47,100765.99,1
2021-09-17,100761.57,0.0,100761.57,0
2021-09-20,100761.57,0.0,100761.57,0
2021-09-21,100761.57,0.0,100761.57,0
2021-09-22,100761.57,0.0,100761.57,0
2021-09-23,91398.22,9119.7,100517.92,1
2021-09-24,72511.55,28037.95,100549.5,3
2021-09-27,81532.52,19240.6,100773.12,2
2021-09-28,72118.72,28084.05,100202.77,3
2021-09-29,71724.68,28522.2,100246.88,3
2021-09-30,71724.68,28499.75,100224.43,3
2021-10-01,71724.68,28415.95,100140.63,3
2021-10-04,71598.8,28539.42,100138.22,3
2021-10-05,53016.65,47047.41,100064.06,5
2021-10-06,52652.8,46822.2,99475.0,5
2021-10-07,61763.68,38139.47,99903.15,4
2021-10-08,33349.29,65990.95,99340.24,7
2021-10-11,23605.31,76374.89,99980.2,8
2021-10-12,23605.31,77017.73,100623.04,8
2021-10-13,33417.49,67575.76,100993.25,7
2021-10-14,23948.58,77650.29,101598.87,8
2021-10-18,34031.62,67479.04,101510.66,7
2021-10-19,26255.06,74474.57,100729.63,8
2021-10-20,62482.05,37382.47,99864.52,4
2021-10-21,80883.6,18831.1,99714.7,2
2021-10-22,90499.98,9104.7,99604.68,1
2021-10-25,90499.98,9144.6,99644.58,1
2021-10-26,81148.64,18212.55,99361.19,2
2021-10-27,89926.7,9407.1,99333.8,1
2021-10-28,60982.47,37299.99,98282.45,4
2021-10-29,79881.97,18728.1,98610.07,2
2021-11-01,79449.3,19571.2,99020.5,2
2021-11-02,59713.98,39454.29,99168.27,4
2021-11-03,59713.98,39706.61,99420.59,4
2021-11-04,49848.13,49543.23,99391.36,5
2021-11-08,49848.13,50669.38,100517.51,5
2021-11-09,42840.94,57614.48,100455.43,6
2021-11-10,33143.75,67505.13,100648.88,7
2021-11-11,33143.75,67764.98,100908.73,7
2021-11-12,43630.76,59078.53,102709.29,6
2021-11-15,44965.97,57551.23,102517.21,6
2021-11-16,46785.74,56216.31,103002.05,6
2021-11-17,46785.74,56369.93,103155.66,6
2021-11-18,36803.97,65875.56,102679.52,7
2021-11-22,26839.66,73209.95,100049.62,8
2021-11-23,62643.87,37600.81,100244.68,4
2021-11-24,62643.87,37515.56,100159.43,4
2021-11-25,63403.88,36765.04,100168.92,4
2021-11-26,54283.65,44135.45,98419.1,5
2021-11-29,98228.42,0.0,98228.42,0
2021-11-30,98228.42,0.0,98228.42,0
2021-12-01,98228.42,0.0,98228.42,0
2021-12-02,98228.42,0.0,98228.42,0
2021-12-03,98228.42,0.0,98228.42,0
2021-12-06,98228.42,0.0,98228.42,0
2021-12-07,98228.42,0.0,98228.42,0
2021-12-08,78606.59,19629.85,98236.44,2
2021-12-09,40287.34,57737.57,98024.91,6
2021-12-10,11736.84,87260.79,98997.63,9
2021-12-13,12147.43,86172.92,98320.35,9
2021-12-14,39530.57,58554.88,98085.45,6
2021-12-15,49261.61,48490.22,97751.83,5
2021-12-16,59523.83,38049.78,97573.61,4
2021-12-17,78483.35,18263.44,96746.79,2
2021-12-20,96141.03,0.0,96141.03,0
2021-12-21,96141.03,0.0,96141.03,0
2021-12-22,96141.03,0.0,96141.03,0
2021-12-23,96141.03,0.0,96141.03,0
2021-12-24,96141.03,0.0,96141.03,0
2021-12-27,96141.03,0.0,96141.03,0
2021-12-28,96141.03,0.0,96141.03,0
2021-12-29,96141.03,0.0,96141.03,0
2021-12-30,96141.03,0.0,96141.03,0
2021-12-31,86165.16,9965.9,96131.06,1
2022-01-03,86328.15,9906.6,96234.75,1
2022-01-04,77770.1,18581.57,96351.67,2
2022-01-05,77770.1,18885.4,96655.5,2
2022-01-06,77770.1,18859.15,96629.25,2
2022-01-07,86798.56,9740.5,96539.06,1
2022-01-10,96534.26,0.0,96534.26,0
2022-01-11,86955.25,9506.57,96461.83,1
2022-01-12,86955.25,9652.24,96607.49,1
2022-01-13,86955.25,9697.64,96652.89,1
2022-01-14,86955.25,9839.2,96794.45,1
2022-01-17,86955.25,9784.75,96740.01,1
2022-01-18,86955.25,9552.18,96507.44,1
2022-01-19,86955.25,9780.85,96736.1,1
2022-01-20,86955.25,9849.68,96804.93,1
2022-01-21,86955.25,9631.28,96586.54,1
2022-01-24,86955.25,9166.14,96121.4,1
2022-01-25,96087.81,0.0,96087.81,0
2022-01-27,96087.81,0.0,96087.81,0
2022-01-28,86286.01,9928.2,96214.21,1
2022-01-31,86286.01,10014.0,96300.01,1
2022-02-01,86286.01,10701.0,96987.01,1
2022-02-02,60042.34,36749.09,96791.43,4
2022-02-03,67495.88,28939.19,96435.07,3
2022-02-04,56365.41,40205.4,96570.81,4
2022-02-07,56365.41,39342.15,95707.56,4
2022-02-08,57721.72,38306.2,96027.92,4
2022-02-09,67054.37,29286.2,96340.57,3
2022-02-10,67054.37,29344.6,96398.97,3
2022-02-11,69570.64,26613.6,96184.24,3
2022-02-14,49714.67,44352.23,94066.9,5
2022-02-15,75909.85,18494.13,94403.98,2
2022-02-16,65981.26,28389.67,94370.93,3
2022-02-17,74764.27,19475.8,94240.07,2
2022-02-18,74764.27,19255.47,94019.74,2
2022-02-21,83813.88,10028.8,93842.68,1
2022-02-22,83813.88,9787.2,93601.08,1
2022-02-23,83813.88,9830.93,93644.81,1
2022-02-24,73898.48,19128.46,93026.94,2
2022-02-25,93173.65,0.0,93173.65,0
2022-02-28,63806.16,29730.4,93536.57,3
2022-03-02,43620.87,50625.4,94246.27,5
2022-03-03,43620.87,51489.6,95110.47,5
2022-03-04,43620.87,49966.9,93587.77,5
2022-03-07,42678.84,52181.41,94860.25,5
2022-03-08,52062.05,42527.28,94589.33,4
2022-03-09,42555.15,51603.62,94158.77,5
2022-03-10,32827.68,61299.78,94127.46,6
2022-03-11,32827.68,62289.01,95116.69,6
2022-03-14,32827.68,62142.34,94970.02,6
2022-03-15,43403.39,50530.25,93933.64,5
2022-03-16,53353.43,41081.9,94435.33,4
2022-03-17,53353.43,41749.3,95102.73,4
2022-03-21,73738.52,21588.05,95326.57,2
2022-03-22,73738.52,21863.6,95602.12,2
2022-03-23,73738.52,21992.3,95730.82,2
2022-03-24,73738.52,22401.65,96140.17,2
