Date,Cash,Holdings,Equity,OpenPositions
2021-06-23,100000.0,0.0,100000.0,0
2021-06-24,100000.0,0.0,100000.0,0
2021-06-25,100000.0,0.0,100000.0,0
2021-06-28,100000.0,0.0,100000.0,0
2021-06-29,100000.0,0.0,100000.0,0
2021-06-30,100000.0,0.0,100000.0,0
2021-07-01,100000.0,0.0,100000.0,0
2021-07-02,100000.0,0.0,100000.0,0
2021-07-05,100000.0,0.0,100000.0,0
2021-07-06,100000.0,0.0,100000.0,0
2021-07-07,100000.0,0.0,100000.0,0
2021-07-08,100000.0,0.0,100000.0,0
2021-07-09,100000.0,0.0,100000.0,0
2021-07-12,100000.0,0.0,100000.0,0
2021-07-13,100000.0,0.0,100000.0,0
2021-07-14,100000.0,0.0,100000.0,0
2021-07-15,100000.0,0.0,100000.0,0
2021-07-16,100000.0,0.0,100000.0,0
2021-07-19,100000.0,0.0,100000.0,0
2021-07-20,100000.0,0.0,100000.0,0
2021-07-22,100000.0,0.0,100000.0,0
2021-07-23,81312.82,18735.52,100048.33,2
2021-07-26,71411.86,28333.36,99745.22,3
2021-07-27,53963.63,45465.28,99428.91,5
2021-07-28,44316.99,55441.75,99758.74,6
2021-07-29,44316.99,56337.43,100654.42,6
2021-07-30,6191.95,94579.88,100771.84,10
2021-08-02,6295.1,95086.42,101381.51,10
2021-08-03,6295.1,96210.03,102505.13,10
2021-08-04,6295.1,95793.48,102088.58,10
2021-08-05,6295.1,96260.24,102555.34,10
2021-08-06,6295.1,96309.74,102604.83,10
2021-08-09,6295.1,95923.55,102218.65,10
2021-08-10,6295.1,95841.3,102136.4,10
2021-08-11,25182.79,77856.82,103039.61,8
2021-08-12,16253.65,87658.62,103912.27,9
2021-08-13,6296.9,98189.6,104486.5,10
2021-08-16,6296.9,98670.32,104967.22,10
2021-08-17,6296.9,99107.59,105404.5,10
2021-08-18,15350.84,89063.22,104414.06,9
2021-08-20,25382.11,77559.0,102941.11,8
2021-08-23,8139.89,94590.82,102730.71,10
2021-08-24,16870.66,86587.12,103457.79,9
2021-08-25,7542.95,95681.16,103224.11,10
2021-08-26,7542.95,95526.63,103069.58,10
2021-08-27,17935.63,85965.95,103901.58,9
2021-08-30,8512.21,96339.1,104851.31,10
2021-08-31,8512.21,97842.32,106354.53,10
2021-09-01,8512.21,98299.25,106811.46,10
2021-09-02,8512.21,99331.05,107843.26,10
2021-09-03,8512.21,99477.97,107990.19,10
2021-09-06,8512.21,99298.11,107810.32,10
2021-09-07,8512.21,98807.72,107319.93,10
2021-09-08,17596.33,90231.29,107827.62,9
2021-09-09,7700.09,100171.98,107872.07,10
2021-09-13,7214.69,101210.77,108425.46,10
2021-09-14,7214.69,101289.61,108504.29,10
2021-09-15,7214.69,101233.78,108448.47,10
2021-09-16,7214.69,101028.04,108242.72,10
2021-09-17,7214.69,99938.46,107153.14,10
2021-09-20,8878.82,97616.41,106495.23,10
2021-09-21,20955.78,86742.79,107698.57,9
2021-09-22,10992.82,97040.79,108033.61,10
2021-09-23,10992.82,99226.23,110219.05,10
2021-09-24,28553.24,80497.24,109050.49,8
2021-09-27,28553.24,80418.64,108971.88,8
2021-09-28,20742.3,87930.69,108672.99,9
2021-09-29,8873.58,100677.03,109550.61,10
2021-09-30,9276.83,101155.81,110432.64,10
2021-10-01,9276.83,101276.12,110552.95,10
2021-10-04,10191.4,101989.16,112180.56,10
2021-10-05,10191.4,104556.22,114747.62,10
2021-10-06,10191.4,103547.75,113739.15,10
2021-10-07,10191.4,104755.58,114946.98,10
2021-10-08,10191.4,104373.58,114564.98,10
2021-10-11,10191.4,106760.88,116952.28,10
2021-10-12,10191.4,107130.62,117322.02,10
2021-10-13,10191.4,109322.52,119513.92,10
2021-10-14,19692.79,99647.97,119340.76,9
2021-10-18,9976.59,111790.91,121767.49,10
2021-10-19,9976.59,108635.81,118612.4,10
2021-10-20,9976.59,106945.49,116922.08,10
2021-10-21,41725.8,74872.6,116598.4,7
2021-10-22,21884.84,93524.34,115409.18,9
2021-10-25,18865.85,95414.5,114280.35,9
2021-10-26,8911.51,107265.9,116177.4,10
2021-10-27,19844.56,96097.5,115942.06,9
2021-10-28,19844.56,93702.4,113546.96,9
2021-10-29,39803.56,73371.89,113175.45,7
2021-11-01,31521.7,82867.06,114388.76,8
2021-11-02,31521.7,84394.05,115915.75,8
2021-11-03,31521.7,84307.83,115829.53,8
2021-11-04,22012.2,94576.92,116589.12,9
2021-11-08,22012.2,96157.15,118169.35,9
2021-11-09,12036.9,106850.11,118887.01,10
2021-11-10,12036.9,104955.06,116991.96,10
2021-11-11,12036.9,104178.06,116214.96,10
2021-11-12,30644.22,86602.89,117247.11,8
2021-11-15,12647.24,104410.97,117058.22,10
2021-11-16,12647.24,103723.94,116371.19,10
2021-11-17,12646.19,103768.87,116415.06,10
2021-11-18,12646.19,101894.85,114541.04,10
2021-11-22,22116.71,90273.28,112389.99,9
2021-11-23,64277.25,47756.61,112033.86,5
2021-11-24,44660.46,67589.76,112250.21,7
2021-11-25,64831.69,48849.55,113681.24,5
2021-11-26,55932.3,56042.95,111975.25,6
2021-11-29,46182.56,65348.65,111531.21,7
2021-11-30,46182.56,64738.2,110920.76,7
2021-12-01,53013.92,57808.25,110822.17,6
2021-12-02,53013.92,57113.4,110127.32,6
2021-12-03,53013.92,56951.6,109965.52,6
2021-12-06,71968.15,37890.25,109858.4,4
2021-12-07,81478.63,28961.7,110440.33,3
2021-12-08,81478.63,29235.25,110713.88,3
2021-12-09,81478.63,29130.55,110609.18,3
2021-12-10,81478.63,28843.85,110322.48,3
2021-12-13,62866.31,47581.83,110448.14,5
2021-12-14,72509.66,39015.09,111524.75,4
2021-12-15,72509.66,39075.26,111584.92,4
2021-12-16,72509.66,38443.33,110952.99,4
2021-12-17,72509.66,37871.11,110380.77,4
2021-12-20,53803.0,55550.48,109353.48,6
2021-12-21,63488.3,46904.09,110392.39,5
2021-12-22,63488.3,47071.02,110559.32,5
2021-12-23,63488.3,47933.35,111421.65,5
2021-12-24,63488.3,47462.83,110951.13,5
2021-12-27,72617.91,38804.23,111422.15,4
2021-12-28,72617.91,39305.05,111922.96,4
2021-12-29,72617.91,39487.54,112105.45,4
2021-12-30,72617.91,39610.87,112228.78,4
2021-12-31,80919.23,31289.77,112209.0,3
2022-01-03,73381.7,39054.85,112436.55,4
2022-01-04,63387.71,49569.9,112957.62,5
2022-01-05,44317.71,68229.32,112547.04,7
2022-01-06,25666.08,86828.25,112494.33,9
2022-01-07,34734.25,78060.23,112794.48,8
2022-01-10,14801.96,98084.19,112886.15,10
2022-01-11,14801.96,98308.91,113110.87,10
2022-01-12,15338.21,98163.68,113501.9,10
2022-01-13,16782.33,97164.08,113946.4,10
2022-01-14,16782.33,99691.65,116473.98,10
2022-01-17,16782.33,101499.12,118281.45,10
2022-01-18,16782.33,100618.23,117400.55,10
2022-01-19,16782.33,101182.04,117964.37,10
2022-01-20,16782.33,100611.3,117393.63,10
2022-01-21,15589.15,100404.14,115993.29,10
2022-01-24,32687.04,81768.19,114455.23,8
2022-01-25,51894.91,62662.69,114557.6,6
2022-01-27,52146.33,62356.7,114503.03,6
2022-01-28,22876.44,91622.22,114498.66,9
2022-01-31,22876.44,92796.29,115672.72,9
2022-02-01,22876.44,93423.41,116299.85,9
2022-02-02,13076.65,104263.15,117339.8,10
2022-02-03,13076.65,103370.52,116447.17,10
2022-02-04,13076.65,103593.34,116669.99,10
2022-02-07,23131.58,93987.11,117118.7,9
2022-02-08,23131.58,93854.01,116985.6,9
2022-02-09,23131.58,94101.22,117232.8,9
2022-02-10,23588.71,93746.8,117335.51,9
2022-02-11,13590.95,102415.43,116006.37,10
2022-02-14,24743.72,86748.09,111491.81,9
2022-02-15,63522.39,49340.83,112863.22,5
2022-02-16,63522.39,49650.65,113173.04,5
2022-02-17,63522.39,49803.45,113325.84,5
2022-02-18,65267.65,47916.84,113184.49,5
2022-02-21,65267.65,46464.61,111732.26,5
2022-02-22,74454.45,37424.37,111878.82,4
2022-02-23,83847.05,28433.67,112280.72,3
2022-02-24,83847.05,26164.36,110011.41,3
2022-02-25,110972.89,0.0,110972.89,0
2022-02-28,110972.89,0.0,110972.89,0
2022-03-02,83067.77,28888.4,111956.17,3
2022-03-03,33412.96,79256.44,112669.4,8
2022-03-04,23568.13,86365.61,109933.74,9
2022-03-07,32795.42,78139.37,110934.8,8
2022-03-08,22905.54,86473.2,109378.74,9
2022-03-09,22905.54,85772.41,108677.95,9
2022-03-10,22905.54,85837.22,108742.76,9
2022-03-11,22905.54,86450.02,109355.56,9
2022-03-14,13491.14,95296.92,108788.06,10
2022-03-15,13491.14,92336.68,105827.82,10
2022-03-16,50343.92,57179.4,107523.32,6
2022-03-17,40675.26,66843.22,107518.48,7
2022-03-21,23464.06,83240.17,106704.23,9
2022-03-22,32734.78,73768.78,106503.56,8
2022-03-23,42120.39,64708.95,106829.34,7
