Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
ADANIGREEN.NS,2022-05-02,2860.0,2022-06-01,1828.95,3,-3107.22,-36.18,Rotation,30
POONAWALLA.NS,2022-05-02,302.5,2022-06-01,261.45,33,-1373.26,-13.74,Rotation,30
RAYMOND.NS,2022-05-02,820.0,2022-06-01,987.0,12,1982.32,20.13,Rotation,30
GNFC.NS,2022-05-02,822.0,2022-06-01,666.05,12,-1889.26,-19.13,Rotation,30
BSE.NS,2022-05-02,296.7,2022-06-01,263.0,33,-1130.57,-11.54,Rotation,30
RENUKA.NS,2022-05-02,52.75,2022-07-01,46.5,189,-1200.01,-12.02,Rotation,60
GMDCLTD.NS,2022-05-02,179.5,2022-08-01,161.1,55,-1030.73,-10.43,Rotation,91
SHARDACROP.NS,2022-05-02,596.5,2022-08-01,520.0,16,-1241.86,-13.0,Rotation,91
DEEPAKFERT.NS,2022-06-01,644.0,2022-08-01,746.25,15,1512.9,15.65,Rotation,61
MRPL.NS,2022-06-01,82.0,2022-08-01,74.0,121,-986.88,-9.94,Rotation,61
GHCL.NS,2022-06-01,659.1,2022-08-01,647.0,15,-201.09,-2.03,Rotation,61
CREDITACC.NS,2022-06-01,1081.8,2022-09-01,996.75,9,-784.16,-8.05,Rotation,92
SHOPERSTOP.NS,2022-08-01,591.9,2022-09-01,622.0,16,462.18,4.88,Rotation,31
GNFC.NS,2022-08-01,725.45,2022-09-01,752.55,13,333.09,3.53,Rotation,31
BDL.NS,2022-06-01,404.0,2022-10-03,434.0,14,408.27,7.21,Rotation,124
TNPL.NS,2022-07-01,185.1,2022-10-03,229.05,49,2133.26,23.5,Rotation,94
ADANIENSOL.NS,2022-08-01,3129.8999,2022-10-03,3328.8999,3,577.62,6.15,Rotation,63
JKPAPER.NS,2022-08-01,351.0,2022-10-03,379.0,24,654.48,7.76,Rotation,63
ADANIENT.NS,2022-09-01,3200.0,2022-10-03,3440.0,3,700.08,7.29,Rotation,32
HSCL.NS,2022-09-01,98.6,2022-10-03,99.5,101,70.89,0.71,Rotation,32
RELINFRA.NS,2022-09-01,161.0,2022-10-03,137.5,58,-1380.31,-14.77,Rotation,32
ADANIPOWER.NS,2022-05-02,56.0,2022-11-01,67.42,178,2010.79,20.15,Rotation,183
CHENNPETRO.NS,2022-05-02,290.0,2022-11-01,210.0,34,-2737.0,-27.73,Rotation,183
JAICORPLTD.NS,2022-10-03,187.35,2022-11-01,176.0,53,-620.81,-6.25,Rotation,29
VBL.NS,2022-10-03,209.0,2022-11-01,212.0,23,59.32,1.23,Rotation,29
TATAINVEST.NS,2022-10-03,231.23,2022-12-01,235.795,43,176.21,1.77,Rotation,59
KALYANKJIL.NS,2022-11-01,103.3,2022-12-01,106.95,96,330.22,3.33,Rotation,30
TVSMOTOR.NS,2022-11-01,1150.0,2022-12-01,1058.85,8,-746.87,-8.11,Rotation,30
KRBL.NS,2022-10-03,367.55,2023-01-02,392.05,27,640.99,6.45,Rotation,91
COCHINSHIP.NS,2022-11-01,269.95,2023-01-02,265.475,16,-80.17,-1.85,Rotation,62
PCJEWELLER.NS,2022-08-01,4.88,2023-02-01,4.795,2047,-193.8,-1.94,Rotation,184
KARURVYSYA.NS,2022-10-03,67.75,2023-03-01,83.8333,147,2341.97,23.49,Rotation,149
KIRLOSENG.NS,2022-10-03,242.0,2023-03-01,311.0,41,2806.33,28.26,Rotation,149
UNIONBANK.NS,2022-12-01,82.1,2023-03-01,67.2,121,-1820.97,-18.31,Rotation,90
J&KBANK.NS,2023-02-01,55.65,2023-03-01,49.15,177,-1169.05,-11.86,Rotation,28
MAZDOCK.NS,2022-10-03,243.15,2023-04-03,332.5,41,3639.75,36.47,Rotation,182
PNBHOUSING.NS,2023-03-01,500.0087,2023-04-03,434.8262,19,-1256.23,-13.21,Rotation,33
TRITURBINE.NS,2023-03-01,320.3,2023-04-03,337.5,31,512.81,5.16,Rotation,33
GODFRYPHLP.NS,2023-03-01,591.8333,2023-04-03,607.6667,16,234.14,2.47,Rotation,33
SOUTHBANK.NS,2022-11-01,13.75,2023-05-02,16.6,726,2047.07,20.49,Rotation,182
KTKBANK.NS,2022-12-01,145.4,2023-05-02,137.0,61,-529.63,-5.97,Rotation,152
J&KBANK.NS,2023-04-03,49.0,2023-05-02,59.0,203,2008.08,20.17,Rotation,29
KIRLOSENG.NS,2023-04-03,401.8,2023-05-02,395.0,24,-182.32,-1.89,Rotation,29
RVNL.NS,2022-12-01,73.6,2023-06-01,122.95,135,6635.72,66.72,Rotation,182
UCOBANK.NS,2023-01-02,31.8,2023-06-01,26.3,314,-1745.24,-17.46,Rotation,150
FINCABLES.NS,2023-04-03,823.3,2023-06-01,800.95,12,-287.69,-2.91,Rotation,59
PFC.NS,2023-05-02,136.88,2023-06-01,145.6,72,607.5,6.16,Rotation,30
IRCON.NS,2023-05-02,75.0,2023-06-01,81.15,133,797.18,7.98,Rotation,30
NFL.NS,2023-05-02,79.25,2023-06-01,67.15,126,-1543.05,-15.44,Rotation,30
JSL.NS,2023-01-02,241.0,2023-07-03,333.8,20,1844.5,38.23,Rotation,182
NCC.NS,2023-05-02,120.9,2023-07-03,123.8,82,217.73,2.19,Rotation,62
KPITTECH.NS,2023-06-01,1060.0,2023-07-03,1096.05,9,305.05,3.19,Rotation,32
SONATSOFTW.NS,2023-04-03,422.5,2023-08-01,531.475,23,2484.48,25.54,Rotation,120
PAYTM.NS,2023-06-01,697.35,2023-08-01,802.8,14,1455.3,14.89,Rotation,61
CYIENT.NS,2023-06-01,1308.35,2023-08-01,1472.0,7,1126.09,12.28,Rotation,61
CHENNPETRO.NS,2023-06-01,377.5,2023-08-01,405.45,26,706.34,7.19,Rotation,61
CHOLAFIN.NS,2023-07-03,1146.55,2023-08-01,1135.9,8,-103.46,-1.13,Rotation,29
RVNL.NS,2023-07-03,122.9,2023-08-01,125.9,81,222.85,2.24,Rotation,29
ZENSARTECH.NS,2023-06-01,370.75,2023-09-01,531.45,26,4154.74,43.06,Rotation,92
GLENMARK.NS,2023-08-01,796.0,2023-09-01,772.0,12,-306.82,-3.21,Rotation,31
POLICYBZR.NS,2023-08-01,735.0,2023-09-01,782.0,13,591.28,6.18,Rotation,31
FINCABLES.NS,2023-08-01,1058.55,2023-09-01,1103.25,9,382.84,4.01,Rotation,31
AUROPHARMA.NS,2023-08-01,827.3,2023-09-01,830.0,12,12.51,0.13,Rotation,31
INOXWIND.NS,2023-08-01,53.025,2023-09-01,51.5375,188,-299.31,-3.0,Rotation,31
JINDALSAW.NS,2023-03-01,75.075,2023-10-03,173.925,133,13113.93,131.21,Rotation,216
RKFORGE.NS,2023-06-01,389.8,2023-10-03,647.0,25,6404.08,65.65,Rotation,124
ADANIPOWER.NS,2023-09-01,63.0,2023-10-03,75.38,158,1934.18,19.41,Rotation,32
JISLJALEQS.NS,2023-09-01,63.3,2023-10-03,63.25,157,-27.72,-0.28,Rotation,32
IRFC.NS,2023-10-03,76.85,2023-11-01,72.95,129,-522.42,-5.26,Rotation,29
BOMDYEING.NS,2023-10-03,143.65,2023-11-01,160.25,69,1124.43,11.33,Rotation,29
IRCON.NS,2023-10-03,145.0,2023-11-01,139.65,68,-383.16,-3.88,Rotation,29
DBCORP.NS,2023-09-01,227.95,2023-12-01,271.15,43,1836.14,18.71,Rotation,91
HSCL.NS,2023-09-01,225.3,2023-12-01,275.0,44,2164.79,21.82,Rotation,91
PARAGMILK.NS,2023-09-01,194.85,2023-12-01,225.0,51,1516.24,15.24,Rotation,91
JINDALSAW.NS,2023-11-01,223.4,2023-12-01,231.45,44,334.19,3.4,Rotation,30
MAZDOCK.NS,2023-08-01,955.0,2024-01-01,1143.85,10,1867.51,19.54,Rotation,153
SJVN.NS,2023-12-01,85.8,2024-01-01,94.0,116,930.34,9.34,Rotation,31
PFC.NS,2023-12-01,340.0,2024-01-01,383.9,29,1252.11,12.69,Rotation,31
GMDCLTD.NS,2023-10-03,313.0,2024-02-01,455.95,31,4407.61,45.38,Rotation,121
KALYANKJIL.NS,2023-11-01,289.0,2024-02-01,358.5,34,2340.99,23.8,Rotation,92
RECLTD.NS,2023-12-01,354.9,2024-02-01,503.45,28,4135.37,41.57,Rotation,62
INOXWIND.NS,2024-01-01,126.0,2024-02-01,119.6625,79,-520.07,-5.22,Rotation,31
SUZLON.NS,2023-07-03,15.75,2024-03-01,45.6,634,18886.0,188.95,Rotation,242
JPASSOCIAT.NS,2023-12-01,17.75,2024-03-01,19.8,562,1131.0,11.33,Rotation,91
