Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
JAMNAAUTO.NS,2022-07-01,122.2,2022-08-17,116.0,81,-521.49,-5.26,Trail,47
JKPAPER.NS,2022-08-17,447.95,2022-09-22,394.9,22,-1185.64,-12.02,Trail,36
SIEMENS.NS,2022-07-11,1567.2886,2022-09-26,1656.5126,6,516.0,5.48,Trail,77
ABB.NS,2022-07-07,2540.0,2022-09-27,3001.0,3,1366.38,17.91,Trail,82
ITC.NS,2022-07-04,275.0567,2022-09-29,316.7991,36,1481.42,14.95,Trail,87
BLUEDART.NS,2022-06-30,7850.0,2022-10-19,8530.0,1,663.62,8.45,Trail,111
EIDPARRY.NS,2022-07-13,568.8,2022-10-31,593.5,17,400.14,4.13,Trail,110
ABFRL.NS,2022-09-22,339.95,2022-11-09,322.1,29,-536.85,-5.44,Trail,48
HSCL.NS,2022-07-12,89.5,2022-11-14,96.15,111,717.54,7.22,Trail,125
TIINDIA.NS,2022-09-26,2737.75,2022-11-15,2510.3501,3,-697.94,-8.49,Trail,50
M&M.NS,2022-06-28,1082.0,2022-11-18,1250.05,9,1491.46,15.3,Trail,143
TVSMOTOR.NS,2022-06-28,798.9,2022-11-22,1048.0,12,2967.04,30.92,Trail,147
CIPLA.NS,2022-09-28,1101.0,2022-11-23,1108.9,9,51.21,0.52,Trail,56
ALLCARGO.NS,2022-11-15,119.325,2022-12-07,105.5,83,-1166.14,-11.76,Trail,22
SUNPHARMA.NS,2022-10-03,952.95,2022-12-09,980.8,10,259.16,2.72,Trail,67
PHOENIXLTD.NS,2022-06-29,589.0,2022-12-22,692.5,16,1635.5,17.34,Trail,176
RCF.NS,2022-11-24,117.25,2022-12-23,113.25,85,-359.59,-3.6,Trail,29
CANBK.NS,2022-11-09,62.3,2022-12-26,58.31,160,-657.7,-6.59,Trail,47
GODFRYPHLP.NS,2022-11-14,571.6667,2022-12-26,556.6667,17,-274.18,-2.82,Trail,42
NLCINDIA.NS,2022-12-08,93.5,2022-12-26,78.0,106,-1661.18,-16.74,Trail,18
BHARTIARTL.NS,2022-11-18,849.95,2022-12-29,807.05,11,-490.13,-5.24,Trail,41
HINDUNILVR.NS,2022-12-12,2702.2,2022-12-30,2579.95,3,-382.6,-4.71,Trail,18
ICRA.NS,2022-11-30,4426.0,2023-01-16,4653.9502,2,437.74,4.94,Trail,47
INDIANB.NS,2022-10-31,246.5,2023-02-23,274.8,40,1111.15,11.26,Trail,115
CERA.NS,2023-02-10,5930.7002,2023-03-09,6077.7002,1,134.99,2.27,Trail,27
M&MFIN.NS,2023-02-06,253.0,2023-03-13,245.05,39,-329.47,-3.34,Trail,35
IRB.NS,2023-02-23,15.925,2023-03-16,13.25,627,-1695.52,-16.96,Trail,21
RADICO.NS,2023-02-03,1141.3,2023-04-12,1086.05,8,-459.82,-5.03,Trail,68
NFL.NS,2023-04-13,86.0,2023-04-21,74.6,116,-1341.03,-13.43,Trail,8
ABB.NS,2023-03-22,3413.05,2023-04-24,3164.7,2,-509.86,-7.46,Trail,33
AIAENG.NS,2023-02-02,2830.5,2023-04-25,2741.95,3,-282.37,-3.32,Trail,82
GODREJCP.NS,2023-03-21,961.15,2023-05-02,911.95,10,-510.73,-5.31,Trail,42
LINDEINDIA.NS,2023-03-10,4024.05,2023-05-17,3880.0,2,-303.91,-3.77,Trail,68
BLUESTARCO.NS,2022-10-19,605.75,2023-05-24,696.5,16,1431.16,14.75,Trail,217
GMRAIRPORT.NS,2023-04-26,44.85,2023-05-30,40.75,222,-929.2,-9.32,Trail,34
DALBHARAT.NS,2023-04-06,1985.0,2023-07-11,2101.2,5,560.57,5.64,Trail,96
CHOLAFIN.NS,2023-05-02,874.75,2023-08-03,1099.95,11,2455.48,25.49,Trail,93
MAXHEALTH.NS,2023-05-24,555.55,2023-08-04,550.05,17,-112.3,-1.19,Trail,72
CARBORUNIV.NS,2023-01-27,941.45,2023-08-09,1167.75,10,2241.91,23.79,Trail,194
ULTRACEMCO.NS,2023-03-28,7484.0,2023-08-16,8004.9502,1,505.46,6.75,Trail,141
CEATLTD.NS,2023-07-11,2495.0,2023-08-30,2249.6001,4,-1000.58,-10.02,Trail,50
POONAWALLA.NS,2023-08-09,448.0,2023-08-31,406.0,22,-942.79,-9.56,Trail,22
FINPIPE.NS,2023-08-03,203.9,2023-09-14,226.9,48,1083.32,11.06,Trail,42
ENGINERSIN.NS,2023-05-17,100.75,2023-09-22,143.6,99,4217.96,42.25,Trail,128
COFORGE.NS,2023-08-16,1040.4,2023-09-27,1041.1899,9,-11.63,-0.12,Trail,42
RKFORGE.NS,2023-01-24,284.0,2023-10-05,634.65,35,12240.6,123.02,Trail,254
IRFC.NS,2023-08-04,46.8,2023-10-10,71.4,213,5214.62,52.26,Trail,67
BANKINDIA.NS,2023-09-14,105.1,2023-10-23,100.0,95,-503.98,-5.04,Trail,39
MGL.NS,2023-10-05,1129.6,2023-10-23,1030.0,8,-814.08,-9.0,Trail,18
MHRIL.NS,2023-04-24,303.7,2023-10-25,407.2,32,3289.25,33.81,Trail,184
STARCEMENT.NS,2023-05-30,134.2,2023-10-25,154.4,74,1473.44,14.82,Trail,148
BALRAMCHIN.NS,2023-09-28,447.8,2023-10-25,406.9,22,-918.6,-9.32,Trail,27
GODFRYPHLP.NS,2023-10-11,753.3333,2023-11-13,696.6833,13,-755.3,-7.7,Trail,33
IOC.NS,2023-11-08,105.4,2023-11-13,98.3,94,-686.55,-6.92,Trail,5
SOLARINDS.NS,2023-08-30,4893.8501,2023-11-30,6554.9502,2,3299.3,33.67,Trail,92
