Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
SCHAEFFLER.NS,2021-07-23,1193.8,2021-07-26,1349.0,8,1221.26,12.77,Exit rule,3
CERA.NS,2021-07-23,4496.0498,2021-07-26,4444.0,2,-121.98,-1.36,Exit rule,3
ICICIGI.NS,2021-07-23,1510.0,2021-07-26,1495.0,6,-108.03,-1.19,Exit rule,3
SKFINDIA.NS,2021-07-23,2737.0,2021-07-28,2925.0,3,547.01,6.66,Exit rule,5
IOB.NS,2021-07-26,25.75,2021-07-28,24.5,387,-503.2,-5.04,Exit rule,2
WHIRLPOOL.NS,2021-07-27,2236.0,2021-07-29,2179.8501,4,-242.26,-2.71,Exit rule,2
SAIL.NS,2021-07-23,127.1,2021-07-30,140.5,78,1024.33,10.32,Exit rule,7
BALRAMCHIN.NS,2021-07-28,349.0,2021-07-30,376.0,28,735.7,7.52,Exit rule,2
GSFC.NS,2021-07-23,114.55,2021-08-02,123.8,87,784.01,7.86,Exit rule,10
STAR.NS,2021-07-30,773.9,2021-08-02,776.0,12,6.6,0.07,Exit rule,3
GNFC.NS,2021-07-26,366.0,2021-08-04,387.5,27,560.16,5.66,Exit rule,9
FORTIS.NS,2021-07-27,247.1,2021-08-04,255.3,40,307.9,3.11,Exit rule,8
DEEPAKNTR.NS,2021-08-02,2060.0,2021-08-04,2112.0,4,191.31,2.32,Exit rule,2
DEEPAKFERT.NS,2021-08-02,448.0,2021-08-05,486.05,22,816.55,8.28,Exit rule,3
INDUSINDBK.NS,2021-08-04,1029.0,2021-08-06,1005.0,9,-234.31,-2.53,Exit rule,2
LINDEINDIA.NS,2021-07-27,1755.0,2021-08-09,1769.2,5,53.38,0.61,Exit rule,13
AXISBANK.NS,2021-08-05,753.0,2021-08-09,741.0,13,-175.42,-1.79,Exit rule,4
DABUR.NS,2021-08-02,605.9,2021-08-10,584.65,16,-359.05,-3.7,Exit rule,8
BLUESTARCO.NS,2021-08-06,432.0,2021-08-10,415.5,23,-398.99,-4.01,Exit rule,4
IRB.NS,2021-08-04,8.565,2021-08-11,7.9,1166,-794.59,-7.95,Exit rule,7
KRBL.NS,2021-08-05,280.2,2021-08-11,259.55,35,-741.64,-7.55,Exit rule,6
SBICARD.NS,2021-07-27,1021.0,2021-08-12,1032.0,9,80.52,0.88,Exit rule,16
FINEORG.NS,2021-08-02,3034.95,2021-08-12,2910.0,3,-392.68,-4.31,Exit rule,10
CERA.NS,2021-08-02,4520.0,2021-08-13,4680.0,2,301.6,3.33,Exit rule,11
SHOPERSTOP.NS,2021-08-13,244.4,2021-08-16,241.25,40,-145.43,-1.49,Exit rule,3
VIPIND.NS,2021-08-13,479.0,2021-08-17,468.0,20,-238.94,-2.49,Exit rule,4
TORNTPOWER.NS,2021-08-13,468.0,2021-08-17,458.5,21,-218.96,-2.23,Exit rule,4
INDUSINDBK.NS,2021-08-09,1031.0,2021-08-18,1003.0,9,-270.31,-2.91,Exit rule,9
HERITGFOOD.NS,2021-07-28,254.5704,2021-08-23,231.2432,39,-928.71,-9.34,Exit rule,26
PNCINFRA.NS,2021-08-10,305.2,2021-08-23,296.0,32,-313.64,-3.21,Exit rule,13
BHARATFORG.NS,2021-08-12,787.0,2021-08-23,762.0,12,-318.59,-3.37,Exit rule,11
ASIANPAINT.NS,2021-08-18,3048.0,2021-08-23,3159.05,3,314.53,3.44,Exit rule,5
REDINGTON.NS,2021-08-09,168.25,2021-08-24,148.0,59,-1213.41,-12.21,Exit rule,15
RAJESHEXPO.NS,2021-08-23,619.0,2021-08-25,594.95,16,-404.22,-4.08,Exit rule,2
PIDILITIND.NS,2021-08-23,1139.975,2021-08-25,1105.25,8,-295.76,-3.24,Exit rule,2
STARCEMENT.NS,2021-08-16,117.0,2021-08-26,109.7,85,-639.77,-6.43,Exit rule,10
TRITURBINE.NS,2021-08-17,124.1,2021-08-27,123.9,80,-35.84,-0.36,Exit rule,10
LUXIND.NS,2021-08-23,4201.0,2021-08-27,3900.0,2,-618.2,-7.35,Exit rule,4
SBICARD.NS,2021-08-26,1067.0,2021-08-30,1091.1,9,197.48,2.05,Exit rule,4
JKLAKSHMI.NS,2021-08-12,681.9,2021-09-01,714.7,14,439.65,4.6,Exit rule,20
BAJAJELEC.NS,2021-08-25,1085.9132,2021-09-01,1150.8422,9,564.23,5.77,Exit rule,7
UBL.NS,2021-08-20,1472.0,2021-09-02,1562.0,6,521.8,5.9,Exit rule,13
PNCINFRA.NS,2021-08-24,305.8,2021-09-06,363.8,32,1834.57,18.73,Exit rule,13
BRIGADE.NS,2021-09-01,250.8375,2021-09-07,294.0,39,1662.09,16.97,Exit rule,6
ZYDUSWELL.NS,2021-08-27,460.6,2021-09-08,471.8,21,215.62,2.23,Exit rule,12
SOLARINDS.NS,2021-08-30,1749.0,2021-09-13,1820.0,5,337.16,3.85,Exit rule,14
JKPAPER.NS,2021-08-25,240.0,2021-09-14,253.5,41,533.27,5.41,Exit rule,20
GALAXYSURF.NS,2021-08-25,3219.7,2021-09-14,3250.0,3,71.49,0.74,Exit rule,20
JAMNAAUTO.NS,2021-08-27,87.0,2021-09-14,85.2,114,-224.83,-2.26,Exit rule,18
BHARATFORG.NS,2021-09-06,799.95,2021-09-14,776.0,12,-306.31,-3.19,Exit rule,8
JINDALSTEL.NS,2021-09-08,398.8,2021-09-14,405.0,25,134.91,1.35,Exit rule,6
IIFL.NS,2021-09-13,300.0,2021-09-14,317.0,33,540.64,5.46,Exit rule,1
ITC.NS,2021-09-01,203.1751,2021-09-15,209.0489,49,267.62,2.69,Exit rule,14
JBCHEPHARM.NS,2021-09-07,893.975,2021-09-16,870.825,11,-274.06,-2.78,Exit rule,9
POWERGRID.NS,2021-09-16,134.2125,2021-09-17,134.6625,74,13.4,0.13,Exit rule,1
CHAMBLFERT.NS,2021-09-14,317.0,2021-09-20,311.5,31,-189.98,-1.93,Exit rule,6
AJANTPHARM.NS,2021-09-15,1480.0333,2021-09-20,1462.1333,6,-125.05,-1.41,Exit rule,5
LUXIND.NS,2021-09-02,4054.0,2021-09-21,3865.25,2,-393.34,-4.85,Exit rule,19
CERA.NS,2021-09-20,4470.0,2021-09-21,4417.75,2,-122.28,-1.37,Exit rule,1
SONATSOFTW.NS,2021-09-17,323.625,2021-09-22,327.3,30,90.72,0.93,Exit rule,5
BIRLACORPN.NS,2021-09-23,1335.0,2021-09-24,1310.0,7,-193.51,-2.07,Exit rule,1
KPITTECH.NS,2021-09-23,344.5,2021-09-27,369.75,28,687.0,7.12,Exit rule,4
MUTHOOTFIN.NS,2021-09-23,1559.0,2021-09-27,1505.0,6,-342.38,-3.66,Exit rule,4
NAVINFLUOR.NS,2021-09-22,3880.0,2021-09-28,3815.0,2,-145.39,-1.87,Exit rule,6
DEEPAKFERT.NS,2021-09-27,427.0,2021-09-28,417.4,23,-240.22,-2.44,Exit rule,1
BERGEPAINT.NS,2021-09-27,705.5833,2021-09-29,684.125,14,-319.87,-3.23,Exit rule,2
BHARATFORG.NS,2021-09-28,783.7,2021-09-29,752.7,12,-390.44,-4.15,Exit rule,1
ECLERX.NS,2021-08-13,713.2833,2021-09-30,733.3333,14,260.45,2.61,Exit rule,48
