Date,Cash,Holdings,Equity,OpenPositions
2021-06-23,100000.0,0.0,100000.0,0
2021-06-24,100000.0,0.0,100000.0,0
2021-06-25,100000.0,0.0,100000.0,0
2021-06-28,100000.0,0.0,100000.0,0
2021-06-29,100000.0,0.0,100000.0,0
2021-06-30,100000.0,0.0,100000.0,0
2021-07-01,90002.51,9348.3,99350.81,1
2021-07-02,90002.51,9747.8,99750.31,1
2021-07-05,90002.51,9268.4,99270.91,1
2021-07-06,90002.51,8868.9,98871.41,1
2021-07-07,90002.51,8469.4,98471.91,1
2021-07-08,98064.34,0.0,98064.34,0
2021-07-09,98064.34,0.0,98064.34,0
2021-07-12,98064.34,0.0,98064.34,0
2021-07-13,98064.34,0.0,98064.34,0
2021-07-14,98064.34,0.0,98064.34,0
2021-07-15,98064.34,0.0,98064.34,0
2021-07-16,98064.34,0.0,98064.34,0
2021-07-19,98064.34,0.0,98064.34,0
2021-07-20,98064.34,0.0,98064.34,0
2021-07-22,98064.34,0.0,98064.34,0
2021-07-23,98064.34,0.0,98064.34,0
2021-07-26,98064.34,0.0,98064.34,0
2021-07-27,98064.34,0.0,98064.34,0
2021-07-28,88253.54,9849.67,98103.22,1
2021-07-29,88253.54,9855.72,98109.27,1
2021-07-30,88253.54,9603.55,97857.09,1
2021-08-02,88253.54,9753.97,98007.52,1
2021-08-03,88253.54,9897.25,98150.79,1
2021-08-04,78500.6,19364.83,97865.42,2
2021-08-05,78500.6,19191.78,97692.37,2
2021-08-06,78500.6,19236.03,97736.62,2
2021-08-09,68887.7,29041.63,97929.32,3
2021-08-10,68887.7,29281.05,98168.74,3
2021-08-11,58932.75,38965.98,97898.73,4
2021-08-12,58932.75,39093.9,98026.65,4
2021-08-13,50123.95,47563.9,97687.85,5
2021-08-16,50123.95,47450.5,97574.45,5
2021-08-17,40137.97,56868.57,97006.55,6
2021-08-18,30212.06,66314.78,96526.83,7
2021-08-20,30212.06,65083.05,95295.11,7
2021-08-23,30212.06,63612.37,93824.43,7
2021-08-24,47401.45,47243.05,94644.5,5
2021-08-25,47401.45,47283.35,94684.8,5
2021-08-26,38509.53,56109.04,94618.57,6
2021-08-27,38509.53,56366.09,94875.62,6
2021-08-30,38509.53,57286.81,95796.35,6
2021-08-31,10152.51,86834.67,96987.18,9
2021-09-01,2036.6,94683.21,96719.81,10
2021-09-02,2036.6,95712.61,97749.2,10
2021-09-03,2036.6,96693.12,98729.72,10
2021-09-06,2036.6,99177.24,101213.83,10
2021-09-07,2036.6,98717.43,100754.03,10
2021-09-08,2036.6,99127.74,101164.34,10
2021-09-09,2036.6,98685.7,100722.3,10
2021-09-13,2036.6,99404.11,101440.71,10
2021-09-14,2036.6,100427.81,102464.41,10
2021-09-15,2036.6,100475.49,102512.09,10
2021-09-16,2036.6,100419.34,102455.93,10
2021-09-17,2036.6,99634.08,101670.68,10
2021-09-20,2036.6,97598.3,99634.9,10
2021-09-21,28091.82,72359.23,100451.04,7
2021-09-22,28091.82,73078.79,101170.61,7
2021-09-23,28091.82,74559.48,102651.3,7
2021-09-24,18414.25,82388.02,100802.27,8
2021-09-27,18414.25,81833.98,100248.23,8
2021-09-28,18414.25,81939.09,100353.34,8
2021-09-29,18414.25,81606.32,100020.57,8
2021-09-30,18414.25,83040.98,101455.23,8
2021-10-01,28240.49,74329.25,102569.74,7
2021-10-04,28240.49,77333.65,105574.14,7
2021-10-05,22984.74,82168.05,105152.79,8
2021-10-06,13063.83,90584.15,103647.98,9
2021-10-07,13063.83,90987.7,104051.53,9
2021-10-08,3233.51,100487.2,103720.71,10
2021-10-11,3233.51,101572.55,104806.06,10
2021-10-12,3233.51,103311.95,106545.46,10
2021-10-13,3233.51,104219.05,107452.56,10
2021-10-14,3233.51,105646.45,108879.96,10
2021-10-18,3233.51,107078.85,110312.36,10
2021-10-19,3233.51,105045.45,108278.96,10
2021-10-20,3233.51,103585.2,106818.71,10
2021-10-21,12269.46,95758.4,108027.86,9
2021-10-22,12269.46,95445.0,107714.46,9
2021-10-25,12269.46,94435.2,106704.66,9
2021-10-26,12269.46,95566.65,107836.11,9
2021-10-27,12269.46,94582.65,106852.11,9
2021-10-28,12269.46,93512.25,105781.71,9
2021-10-29,22165.56,84959.35,107124.91,8
2021-11-01,32003.89,76494.95,108498.84,7
2021-11-02,12186.49,96841.39,109027.88,9
2021-11-03,12186.49,95712.21,107898.7,9
2021-11-04,12186.49,96509.51,108696.0,9
2021-11-08,12186.49,97956.86,110143.35,9
2021-11-09,599.93,110568.63,111168.56,10
2021-11-10,599.93,110076.35,110676.27,10
2021-11-11,599.93,109366.56,109966.49,10
2021-11-12,599.93,110611.31,111211.24,10
2021-11-15,599.93,110030.68,110630.61,10
2021-11-16,599.93,107473.01,108072.93,10
2021-11-17,599.93,106055.63,106655.56,10
2021-11-18,599.93,106909.42,107509.35,10
2021-11-22,599.93,103637.72,104237.65,10
2021-11-23,40257.26,64533.54,104790.8,6
2021-11-24,40257.26,65055.76,105313.02,6
2021-11-25,40257.26,64973.89,105231.15,6
2021-11-26,30562.58,73728.93,104291.51,7
2021-11-29,39373.76,64735.46,104109.22,6
2021-11-30,39373.76,65123.36,104497.12,6
2021-12-01,39373.76,65632.27,105006.03,6
2021-12-02,39373.76,65977.04,105350.8,6
2021-12-03,29860.25,74990.97,104851.22,7
2021-12-06,29860.25,73965.05,103825.3,7
2021-12-07,29860.25,74731.22,104591.47,7
2021-12-08,29860.25,75479.32,105339.57,7
2021-12-09,29860.25,75512.32,105372.57,7
2021-12-10,19882.28,85197.7,105079.98,8
2021-12-13,19882.28,85551.86,105434.14,8
2021-12-14,10127.27,94248.91,104376.18,9
2021-12-15,139.14,105479.49,105618.62,10
2021-12-16,6033.74,100168.38,106202.12,9
2021-12-17,6033.74,99197.1,105230.84,9
2021-12-20,361.07,101383.82,101744.89,10
2021-12-21,18588.83,82952.61,101541.43,8
2021-12-22,18588.83,85009.72,103598.55,8
2021-12-23,18588.83,84789.45,103378.27,8
2021-12-24,18588.83,84972.47,103561.3,8
2021-12-27,18588.83,84885.49,103474.32,8
2021-12-28,18588.83,86376.59,104965.41,8
2021-12-29,18588.83,86394.04,104982.87,8
2021-12-30,9492.74,94854.74,104347.47,9
2021-12-31,35.56,105400.96,105436.51,10
2022-01-03,35.56,105646.2,105681.76,10
2022-01-04,35.56,105575.17,105610.72,10
2022-01-05,35.56,104123.88,104159.44,10
2022-01-06,35.56,105101.05,105136.61,10
2022-01-07,35.56,106410.79,106446.34,10
2022-01-10,35.56,106063.97,106099.52,10
2022-01-11,35.56,106428.86,106464.42,10
2022-01-12,35.56,107786.0,107821.56,10
2022-01-13,207.44,107663.28,107870.72,10
2022-01-14,207.44,108332.94,108540.38,10
2022-01-17,207.44,108766.31,108973.75,10
2022-01-18,207.44,106472.64,106680.08,10
2022-01-19,9957.68,96931.93,106889.61,9
2022-01-20,9957.68,97877.5,107835.18,9
2022-01-21,208.85,106032.37,106241.21,10
2022-01-24,208.85,102161.34,102370.18,10
2022-01-25,208.85,103981.37,104190.22,10
2022-01-27,208.85,103510.67,103719.52,10
2022-01-28,208.85,103814.75,104023.6,10
2022-01-31,9703.34,95082.77,104786.12,9
2022-02-01,9703.34,95164.31,104867.66,9
2022-02-02,505.75,105729.67,106235.42,10
2022-02-03,505.75,105757.29,106263.04,10
2022-02-04,505.75,105254.49,105760.24,10
2022-02-07,505.75,104900.99,105406.74,10
2022-02-08,505.75,104173.17,104678.92,10
2022-02-09,5879.37,98611.39,104490.76,9
2022-02-10,16513.12,87562.88,104076.0,8
2022-02-11,15054.88,88790.68,103845.56,8
2022-02-14,15054.88,86195.81,101250.7,8
2022-02-15,15054.88,87465.07,102519.96,8
2022-02-16,15054.88,88364.1,103418.99,8
2022-02-17,15054.88,88599.89,103654.77,8
2022-02-18,15054.88,88274.93,103329.81,8
2022-02-21,15054.88,86639.66,101694.54,8
2022-02-22,22637.29,77261.47,99898.77,7
2022-02-23,37098.17,62666.25,99764.42,6
2022-02-24,46167.85,51326.22,97494.07,5
2022-02-25,69275.07,29200.82,98475.89,3
2022-02-28,69275.07,29331.67,98606.74,3
2022-03-02,69275.07,30472.56,99747.63,3
2022-03-03,69275.07,30279.34,99554.4,3
2022-03-04,59309.11,40000.0,99309.11,4
2022-03-07,59309.11,39444.67,98753.78,4
2022-03-08,59309.11,38740.37,98049.48,4
2022-03-09,59309.11,39346.66,98655.77,4
2022-03-10,31042.87,66284.77,97327.64,7
2022-03-11,2336.34,95730.99,98067.34,10
2022-03-14,2336.34,96439.34,98775.69,10
2022-03-15,2336.34,94156.63,96492.97,10
2022-03-16,2336.34,94859.29,97195.64,10
2022-03-17,2336.34,93920.51,96256.85,10
2022-03-21,3071.32,93580.89,96652.21,10
2022-03-22,3071.32,94726.89,97798.21,10
2022-03-23,3071.32,93875.2,96946.52,10
2022-03-24,3071.32,94749.72,97821.04,10
2022-03-25,3071.32,93665.66,96736.98,10
