Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
INDIACEM.NS,2021-07-23,201.0,2021-07-28,194.1,49,-357.46,-3.63,Exit rule,5
INTELLECT.NS,2021-07-23,819.0,2021-07-29,755.7,12,-778.5,-7.91,Exit rule,6
MAZDOCK.NS,2021-07-23,136.325,2021-08-05,124.85,73,-856.74,-8.6,Exit rule,13
BDL.NS,2021-07-23,203.5,2021-08-10,196.95,49,-340.57,-3.41,Exit rule,18
JSL.NS,2021-07-23,148.0,2021-08-18,153.0,67,314.83,3.17,Exit rule,26
INOXWIND.NS,2021-07-28,30.3625,2021-08-18,31.0,329,189.55,1.9,Exit rule,21
GHCL.NS,2021-07-29,366.0,2021-08-18,350.0,27,-451.33,-4.56,Exit rule,20
GLAND.NS,2021-07-23,4150.0,2021-08-23,4088.0,2,-140.48,-1.69,Exit rule,31
ALLCARGO.NS,2021-07-23,42.75,2021-08-24,49.875,233,1638.54,16.43,Exit rule,32
JUBLFOOD.NS,2021-07-23,681.6,2021-08-25,743.75,14,850.15,8.9,Exit rule,33
360ONE.NS,2021-08-05,388.75,2021-08-26,375.0,25,-362.84,-3.73,Exit rule,21
SONATSOFTW.NS,2021-08-18,336.75,2021-09-01,316.125,29,-617.06,-6.31,Exit rule,14
SBICARD.NS,2021-08-26,1067.0,2021-09-15,1065.0,9,-37.19,-0.39,Exit rule,20
SCHAEFFLER.NS,2021-07-23,1193.8,2021-09-17,1439.2,8,1942.14,20.32,Exit rule,56
VBL.NS,2021-08-24,111.6,2021-09-20,117.6133,89,514.79,5.18,Exit rule,27
TECHM.NS,2021-07-23,1123.95,2021-09-21,1439.0,8,2499.9,27.77,Exit rule,60
MAXHEALTH.NS,2021-08-18,342.0,2021-09-22,365.45,29,659.53,6.64,Exit rule,35
BRITANNIA.NS,2021-08-23,3910.0,2021-09-24,4040.0,2,244.1,3.12,Exit rule,32
BAJFINANCE.NS,2021-09-01,752.5,2021-09-29,752.9,13,-14.37,-0.15,Exit rule,28
INDIGO.NS,2021-09-20,2196.05,2021-09-29,2023.05,4,-708.88,-8.06,Exit rule,9
ZENSARTECH.NS,2021-08-18,460.0,2021-09-30,490.5,21,620.54,6.42,Exit rule,43
NAUKRI.NS,2021-08-25,1164.8,2021-09-30,1292.0,8,997.95,10.7,Exit rule,36
OIL.NS,2021-09-29,154.9333,2021-10-14,153.3333,64,-122.13,-1.23,Exit rule,15
INDUSTOWER.NS,2021-09-17,269.0,2021-10-19,303.7,37,1262.71,12.67,Exit rule,32
OBEROIRLTY.NS,2021-09-24,854.9,2021-10-20,904.8,11,529.54,5.63,Exit rule,26
HATSUN.NS,2021-09-15,1464.6478,2021-10-21,1339.6816,6,-766.62,-8.71,Exit rule,36
GODFRYPHLP.NS,2021-09-30,388.6667,2021-10-22,405.5667,25,402.64,4.14,Exit rule,22
