Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
GHCL.NS,2023-09-01,627.9,2023-11-10,528.5,15,-1508.35,-16.0,Stop,70
AUBANK.NS,2024-09-02,684.95,2024-11-11,581.0,14,-1473.02,-15.35,Stop,70
GNFC.NS,2023-11-01,693.7,2024-11-13,587.0,14,-1511.73,-15.55,Stop,378
ADANIENT.NS,2024-01-01,2852.3,2024-11-22,2101.0,3,-2268.76,-26.49,Stop,326
JKPAPER.NS,2024-05-02,383.15,2025-02-13,326.0,26,-1504.34,-15.09,Stop,287
INTELLECT.NS,2025-06-02,1176.0,2025-08-04,975.0,8,-1625.21,-17.26,Stop,63
UNIONBANK.NS,2025-06-02,149.0,2025-09-01,125.5,67,-1592.89,-15.94,Stop,91
LICI.NS,2025-06-02,477.0,2025-10-01,450.175,20,-555.04,-5.81,Exit rule,121
JBCHEPHARM.NS,2025-08-01,1769.3,2025-11-03,1690.9,3,-245.58,-4.62,Exit rule,94
KIOCL.NS,2025-09-01,412.0,2025-11-25,335.2,24,-1861.13,-18.8,Stop,85
VMART.NS,2025-11-03,826.0,2025-12-01,785.4,8,-337.69,-5.11,Exit rule,28
HAL.NS,2025-10-01,4732.0,2026-02-25,3970.0,2,-1541.4,-16.27,Stop,147
