Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
ICICIBANK.NS,2017-07-14,299.4,2017-10-06,272.15,33,-918.11,-9.28,Exit rule,84
HCLTECH.NS,2017-07-20,449.5,2017-10-31,420.0,22,-668.13,-6.75,Exit rule,103
HEROMOTOCO.NS,2017-09-04,4084.0,2017-11-10,3605.0,2,-973.38,-11.91,Exit rule,67
BPCL.NS,2017-08-07,260.0,2018-01-17,239.5,38,-797.98,-8.07,Exit rule,163
NTPC.NS,2017-10-26,152.7083,2018-01-31,141.6667,65,-736.84,-7.42,Exit rule,97
BHARTIARTL.NS,2017-08-24,390.2444,2018-02-02,394.5704,25,88.53,0.91,Exit rule,162
CIPLA.NS,2017-10-18,631.0,2018-02-05,576.0,15,-843.1,-8.9,Exit rule,110
BAJAJ-AUTO.NS,2017-10-04,3152.45,2018-02-20,3032.0,3,-379.9,-4.01,Exit rule,139
ICICIBANK.NS,2017-11-02,313.45,2018-03-07,293.3,31,-643.46,-6.62,Exit rule,125
BAJAJHLDNG.NS,2017-07-17,2226.1001,2018-03-19,2633.0,4,1608.16,18.04,Exit rule,245
GAIL.NS,2017-10-05,109.0,2018-03-27,106.6667,91,-231.96,-2.34,Exit rule,173
ADANIENT.NS,2017-11-10,84.1055,2018-04-05,85.3356,118,125.16,1.26,Exit rule,146
INDIGO.NS,2018-02-27,1346.95,2018-05-04,1211.1,7,-968.86,-10.27,Exit rule,66
HCLTECH.NS,2018-04-20,510.0,2018-05-18,452.5,19,-1110.79,-11.45,Exit rule,28
TRENT.NS,2017-08-02,273.8,2018-06-13,311.8,36,1346.92,13.65,Exit rule,315
COLPAL.NS,2018-05-21,1225.0,2018-07-19,1106.45,8,-967.05,-9.86,Exit rule,59
CHOLAFIN.NS,2018-02-14,275.6,2018-09-07,277.13,36,35.18,0.35,Exit rule,205
INDUSINDBK.NS,2018-04-02,1801.6,2018-09-21,1820.0,5,73.89,0.82,Exit rule,172
ADANIENT.NS,2018-09-07,165.25,2018-09-24,138.45,60,-1626.22,-16.39,Stop,17
M&M.NS,2018-02-02,798.75,2018-10-04,780.15,12,-242.15,-2.52,Exit rule,244
BAJAJFINSV.NS,2018-05-23,594.9,2018-10-04,566.0,12,-360.73,-5.05,Exit rule,134
BAJFINANCE.NS,2018-05-18,206.99,2018-10-08,199.2,48,-393.42,-3.96,Exit rule,143
HAVELLS.NS,2018-07-24,613.2,2018-10-09,572.0,16,-678.16,-6.91,Exit rule,77
HCLTECH.NS,2018-09-25,551.0,2018-10-22,482.0,18,-1260.59,-12.7,Exit rule,27
DABUR.NS,2018-05-17,376.5,2018-11-01,384.75,26,194.71,1.99,Exit rule,168
TCS.NS,2018-01-17,1435.0,2019-01-15,1810.0,6,2230.53,25.88,Exit rule,363
NESTLEIND.NS,2018-03-28,407.75,2019-03-11,504.9675,24,2311.31,23.59,Exit rule,348
COLPAL.NS,2018-12-20,1329.55,2019-04-26,1214.25,7,-824.91,-8.85,Exit rule,127
TORNTPHARM.NS,2018-06-18,744.5,2019-05-08,846.1,13,1300.12,13.42,Exit rule,324
DRREDDY.NS,2019-04-26,586.8,2019-05-21,518.8,17,-1174.8,-11.76,Exit rule,25
HINDUNILVR.NS,2018-12-14,1837.0,2019-07-23,1683.0,5,-787.6,-8.57,Exit rule,221
HAVELLS.NS,2019-02-04,740.0,2019-07-25,695.8,13,-593.27,-6.16,Exit rule,171
LT.NS,2019-05-27,1543.7,2019-07-25,1395.1,6,-909.23,-9.81,Exit rule,59
