Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
ICICIBANK.NS,2017-07-14,299.4,2017-08-10,289.0,33,-362.62,-3.67,Trail,27
BPCL.NS,2017-08-07,260.0,2017-08-11,237.575,38,-871.06,-8.81,Trail,4
HCLTECH.NS,2017-07-20,449.5,2017-08-31,425.0,22,-558.24,-5.64,Trail,42
BHARTIARTL.NS,2017-08-24,390.2444,2017-09-07,362.8462,25,-703.78,-7.21,Trail,14
HEROMOTOCO.NS,2017-09-04,4084.0,2017-09-21,3856.1001,2,-471.68,-5.77,Trail,17
BAJAJHLDNG.NS,2017-07-17,2226.1001,2017-09-25,2675.0,4,1776.0,19.93,Trail,70
BPCL.NS,2017-09-01,266.0,2017-09-26,241.5,37,-925.28,-9.39,Trail,25
BPCL.NS,2017-11-01,271.0,2017-11-15,247.5,36,-864.67,-8.85,Trail,14
BHARTIARTL.NS,2017-10-17,410.9733,2017-11-16,440.7148,24,693.36,7.02,Trail,30
CIPLA.NS,2017-10-18,631.0,2017-11-16,595.35,15,-553.15,-5.84,Trail,29
WIPRO.NS,2017-10-27,112.275,2017-12-06,106.2375,88,-550.53,-5.57,Trail,40
BAJAJ-AUTO.NS,2017-10-04,3152.45,2017-12-07,3110.6499,3,-144.19,-1.52,Trail,64
ICICIBANK.NS,2017-11-02,313.45,2017-12-07,301.5,31,-389.51,-4.0,Trail,35
NTPC.NS,2017-10-26,152.7083,2018-01-10,146.8333,65,-401.35,-4.04,Trail,76
BAJAJHLDNG.NS,2017-10-30,2977.3999,2018-01-17,2751.05,3,-696.23,-7.79,Trail,79
GAIL.NS,2017-10-05,109.0,2018-01-19,117.125,91,718.8,7.24,Trail,106
UNITDSPR.NS,2017-12-06,679.2,2018-01-25,690.0,13,122.6,1.39,Trail,50
PIDILITIND.NS,2017-12-11,445.5,2018-01-25,445.75,20,-12.83,-0.14,Trail,45
TRENT.NS,2017-08-02,273.8,2018-01-31,314.05,36,1427.84,14.47,Trail,182
AXISBANK.NS,2017-11-15,546.5,2018-02-05,551.1,18,63.04,0.64,Trail,82
DLF.NS,2017-12-08,240.0,2018-02-05,218.4,41,-904.39,-9.18,Trail,59
ICICIBANK.NS,2018-01-17,334.05,2018-02-05,327.6,25,-177.79,-2.13,Trail,19
GODREJCP.NS,2018-01-23,733.3333,2018-02-07,679.9333,13,-712.57,-7.47,Trail,15
TCS.NS,2018-01-11,1405.0,2018-02-08,1489.875,7,573.86,5.83,Trail,28
HCLTECH.NS,2018-01-25,509.4,2018-02-08,472.875,17,-637.62,-7.36,Trail,14
M&M.NS,2018-02-02,798.75,2018-02-19,744.0,12,-675.51,-7.04,Trail,17
VBL.NS,2018-01-25,42.963,2018-03-06,38.08,232,-1151.65,-11.54,Trail,40
ADANIENT.NS,2017-11-20,85.5222,2018-03-07,99.6624,114,1590.87,16.3,Trail,107
INDIGO.NS,2018-02-27,1346.95,2018-03-20,1191.1,7,-1108.72,-11.75,Trail,21
INDIGO.NS,2018-04-04,1371.3,2018-05-03,1285.0,7,-622.69,-6.48,Trail,29
HCLTECH.NS,2018-04-20,510.0,2018-05-04,461.475,19,-940.43,-9.7,Trail,14
CHOLAFIN.NS,2017-11-17,263.06,2018-05-11,316.22,37,1945.49,19.97,Trail,175
TRENT.NS,2018-04-09,367.5,2018-05-11,336.85,27,-846.57,-8.52,Trail,32
COLPAL.NS,2018-05-21,1225.0,2018-06-22,1179.5,8,-383.24,-3.91,Trail,32
DABUR.NS,2018-05-17,376.5,2018-07-09,371.2,26,-157.24,-1.6,Trail,53
INDUSINDBK.NS,2018-04-02,1801.6,2018-08-27,1932.55,5,636.08,7.05,Trail,147
BAJFINANCE.NS,2018-05-18,206.99,2018-09-04,272.4,48,3116.67,31.34,Trail,109
BAJAJFINSV.NS,2018-05-23,594.9,2018-09-04,666.0,16,1117.43,11.73,Trail,104
DABUR.NS,2018-08-01,423.8,2018-09-05,445.8,16,338.09,4.98,Trail,35
NESTLEIND.NS,2018-03-28,407.75,2018-09-06,522.9,24,2741.26,27.98,Trail,162
HAVELLS.NS,2018-07-24,613.2,2018-09-06,665.7,16,819.54,8.34,Trail,44
MARICO.NS,2018-07-26,356.5,2018-09-06,354.8,28,-67.52,-0.68,Trail,42
ADANIENT.NS,2018-09-07,165.25,2018-09-24,138.45,60,-1626.22,-16.39,Trail,17
M&M.NS,2018-04-17,816.0,2018-09-25,896.0,12,939.46,9.58,Trail,161
AXISBANK.NS,2018-08-27,643.0,2018-09-25,598.8,15,-681.63,-7.06,Trail,29
NAUKRI.NS,2018-09-04,333.33,2018-10-01,286.34,29,-1380.68,-14.27,Trail,27
TORNTPHARM.NS,2018-06-04,727.475,2018-10-04,823.925,13,1233.68,13.03,Trail,122
TCS.NS,2018-04-23,1712.0,2018-10-05,2050.0,5,1671.19,19.5,Trail,165
HCLTECH.NS,2018-09-07,543.475,2018-10-12,501.65,18,-771.66,-7.88,Trail,35
HINDUNILVR.NS,2018-12-14,1837.0,2019-01-18,1750.0,5,-452.93,-4.93,Trail,35
NESTLEIND.NS,2019-02-06,582.7,2019-02-12,541.75,17,-715.27,-7.21,Trail,6
COLPAL.NS,2018-12-20,1329.55,2019-02-15,1255.0,7,-539.94,-5.8,Trail,57
HAVELLS.NS,2019-02-04,740.0,2019-02-18,690.0,13,-668.59,-6.94,Trail,14
INFY.NS,2019-02-04,757.0,2019-03-11,713.3,13,-587.21,-5.96,Trail,35
ASIANPAINT.NS,2019-02-07,1467.05,2019-03-11,1389.2,6,-484.24,-5.5,Trail,32
TECHM.NS,2019-02-07,809.0,2019-03-27,771.0,12,-474.96,-4.89,Trail,48
TRENT.NS,2019-03-18,387.65,2019-04-09,343.8,25,-1114.54,-11.49,Trail,22
ASIANPAINT.NS,2019-03-27,1494.0,2019-04-11,1409.7,6,-523.22,-5.83,Trail,15
VBL.NS,2019-01-16,48.8296,2019-04-18,50.1896,204,257.24,2.58,Trail,92
BAJAJHLDNG.NS,2019-03-07,3220.0,2019-04-18,3307.0,3,241.42,2.5,Trail,42
INFY.NS,2019-04-09,770.0,2019-04-18,722.5,12,-587.91,-6.36,Trail,9
PIDILITIND.NS,2019-03-27,615.0,2019-04-24,606.5,16,-155.54,-1.58,Trail,28
TITAN.NS,2019-02-05,1026.95,2019-05-07,1097.8,9,618.53,6.69,Trail,91
AXISBANK.NS,2019-01-10,668.9,2019-05-10,734.4,14,897.35,9.57,Trail,120
HCLTECH.NS,2019-04-25,570.5,2019-05-13,544.15,17,-466.9,-4.81,Trail,18
TCS.NS,2019-05-02,2255.0,2019-05-15,2097.0,4,-649.41,-7.19,Trail,13
NAUKRI.NS,2019-01-16,335.0,2019-05-20,365.0,29,849.7,8.74,Trail,124
DRREDDY.NS,2019-04-18,565.59,2019-05-20,555.6,17,-188.89,-1.96,Trail,32
VBL.NS,2019-05-17,55.4015,2019-06-18,52.6222,180,-519.71,-5.21,Trail,32
ICICIGI.NS,2019-02-22,925.0,2019-07-02,1108.85,10,1818.16,19.64,Trail,130
BAJAJFINSV.NS,2019-04-11,741.95,2019-07-09,759.0,12,186.59,2.09,Trail,89
