Date,Cash,Holdings,Equity,OpenPositions
2016-06-23,100000.0,0.0,100000.0,0
2016-06-24,100000.0,0.0,100000.0,0
2016-06-27,100000.0,0.0,100000.0,0
2016-06-28,100000.0,0.0,100000.0,0
2016-06-29,100000.0,0.0,100000.0,0
2016-06-30,100000.0,0.0,100000.0,0
2016-07-01,100000.0,0.0,100000.0,0
2016-07-04,100000.0,0.0,100000.0,0
2016-07-05,100000.0,0.0,100000.0,0
2016-07-07,100000.0,0.0,100000.0,0
2016-07-08,100000.0,0.0,100000.0,0
2016-07-11,100000.0,0.0,100000.0,0
2016-07-12,100000.0,0.0,100000.0,0
2016-07-13,100000.0,0.0,100000.0,0
2016-07-14,100000.0,0.0,100000.0,0
2016-07-15,100000.0,0.0,100000.0,0
2016-07-18,100000.0,0.0,100000.0,0
2016-07-19,100000.0,0.0,100000.0,0
2016-07-20,100000.0,0.0,100000.0,0
2016-07-21,100000.0,0.0,100000.0,0
2016-07-22,100000.0,0.0,100000.0,0
2016-07-25,100000.0,0.0,100000.0,0
2016-07-26,100000.0,0.0,100000.0,0
2016-07-27,80248.48,20431.11,100679.6,2
2016-07-28,81104.08,19487.01,100591.09,2
2016-07-29,81104.08,18994.52,100098.6,2
2016-08-01,100136.15,0.0,100136.15,0
2016-08-02,100136.15,0.0,100136.15,0
2016-08-03,100136.15,0.0,100136.15,0
2016-08-04,100136.15,0.0,100136.15,0
2016-08-05,90480.51,9791.6,100272.11,1
2016-08-08,70830.92,29380.33,100211.25,3
2016-08-09,70830.92,29508.31,100339.23,3
2016-08-10,80672.7,19308.1,99980.8,2
2016-08-11,90255.36,9681.1,99936.46,1
2016-08-12,90255.36,9607.0,99862.36,1
2016-08-16,90255.36,9464.0,99719.36,1
2016-08-17,90255.36,9724.0,99979.36,1
2016-08-18,90255.36,9566.7,99822.06,1
2016-08-19,80310.02,19889.9,100199.92,2
2016-08-22,80310.02,19556.5,99866.52,2
2016-08-23,80310.02,19808.5,100118.52,2
2016-08-24,80310.02,19935.1,100245.12,2
2016-08-25,70352.48,29933.7,100286.18,3
2016-08-26,70352.48,29633.8,99986.27,3
2016-08-29,60656.79,39497.05,100153.84,4
2016-08-30,60656.79,40633.1,101289.89,4
2016-08-31,21556.93,79602.45,101159.38,8
2016-09-01,30847.63,69373.0,100220.63,7
2016-09-02,11416.71,88946.32,100363.03,9
2016-09-06,31622.57,69486.2,101108.77,7
2016-09-07,21853.14,79321.01,101174.15,8
2016-09-08,31488.26,70197.4,101685.66,7
2016-09-09,31488.26,69324.37,100812.63,7
2016-09-12,40893.84,57887.53,98781.37,6
2016-09-14,59712.68,38918.9,98631.58,4
2016-09-15,59273.12,39473.35,98746.47,4
2016-09-16,59273.12,39404.4,98677.52,4
2016-09-19,39405.32,59626.7,99032.02,6
2016-09-20,39405.32,59465.2,98870.52,6
2016-09-21,39405.32,59586.8,98992.12,6
2016-09-22,39405.32,60650.6,100055.92,6
2016-09-23,29501.03,70104.8,99605.82,7
2016-09-26,39111.41,59953.65,99065.06,6
2016-09-27,39146.79,60000.5,99147.29,6
2016-09-28,48539.19,50920.7,99459.89,5
2016-09-29,29645.03,66681.5,96326.53,7
2016-09-30,57604.69,39109.0,96713.69,4
2016-10-03,37689.59,60116.04,97805.63,6
2016-10-04,1248.18,98114.85,99363.04,10
2016-10-05,31488.01,68178.29,99666.3,7
2016-10-06,31488.01,68354.57,99842.59,7
2016-10-07,41650.64,58292.22,99942.86,6
2016-10-10,32965.96,67119.47,100085.44,7
2016-10-13,32965.96,66644.52,99610.49,7
2016-10-14,41471.45,58540.73,100012.17,6
2016-10-17,41471.45,58089.58,99561.03,6
2016-10-18,38354.44,61991.62,100346.06,6
2016-10-19,29637.54,70723.21,100360.75,7
2016-10-20,19676.59,81727.7,101404.28,8
2016-10-21,19676.59,82457.89,102134.47,8
2016-10-24,51309.28,51109.41,102418.69,5
2016-10-25,62340.42,41691.95,104032.37,4
2016-10-26,83768.12,19659.3,103427.42,2
2016-10-27,93250.48,10272.6,103523.08,1
2016-10-28,93250.48,10996.7,104247.18,1
2016-11-01,65050.39,39042.48,104092.87,4
2016-11-02,26661.72,76708.01,103369.72,8
2016-11-03,26661.72,76578.71,103240.43,8
2016-11-04,36211.36,66314.84,102526.2,7
2016-11-07,33876.05,69055.81,102931.86,7
2016-11-08,44777.99,58195.48,102973.47,6
2016-11-09,54068.69,48108.37,102177.06,5
2016-11-10,53464.25,50226.49,103690.74,5
2016-11-11,3674.85,97817.98,101492.83,10
2016-11-15,41978.61,57944.31,99922.93,6
2016-11-16,69854.57,30095.89,99950.47,3
2016-11-17,69854.57,30370.82,100225.39,3
2016-11-18,69854.57,30844.45,100699.02,3
2016-11-21,69854.57,28806.12,98660.7,3
2016-11-22,79695.97,19228.92,98924.89,2
2016-11-23,89491.98,9786.53,99278.51,1
2016-11-24,89491.98,9735.08,99227.06,1
2016-11-25,71185.03,28140.93,99325.96,3
2016-11-28,61186.24,38288.66,99474.89,4
2016-11-29,61186.24,38563.83,99750.07,4
2016-11-30,51414.97,48398.35,99813.33,5
2016-12-01,21832.62,76898.87,98731.49,8
2016-12-02,50606.59,46815.93,97422.52,5
2016-12-05,77315.35,20063.7,97379.06,2
2016-12-06,67407.45,29851.93,97259.38,3
2016-12-07,67407.45,29597.83,97005.28,3
2016-12-08,67407.45,30085.43,97492.88,3
2016-12-09,77393.46,20226.91,97620.36,2
2016-12-12,77393.46,20018.78,97412.24,2
2016-12-13,77393.46,19980.46,97373.91,2
2016-12-14,77393.46,19635.46,97028.91,2
2016-12-15,87395.05,9635.85,97030.9,1
2016-12-16,87395.05,9474.15,96869.2,1
2016-12-19,96867.07,0.0,96867.07,0
2016-12-20,96867.07,0.0,96867.07,0
2016-12-21,96867.07,0.0,96867.07,0
2016-12-22,96867.07,0.0,96867.07,0
2016-12-23,96867.07,0.0,96867.07,0
2016-12-26,96867.07,0.0,96867.07,0
2016-12-27,86877.89,10185.84,97063.73,1
2016-12-28,86877.89,10289.44,97167.33,1
2016-12-29,86877.89,10188.08,97065.97,1
2016-12-30,66914.92,29900.43,96815.35,3
2017-01-02,66914.92,29957.98,96872.9,3
2017-01-03,46940.62,49745.83,96686.45,5
2017-01-04,27167.77,69550.05,96717.82,7
2017-01-05,47021.41,50769.39,97790.8,5
2017-01-06,27376.29,70663.16,98039.45,7
2017-01-09,27376.29,70810.33,98186.61,7
2017-01-10,27376.29,71600.6,98976.88,7
2017-01-11,7682.84,93129.96,100812.79,9
2017-01-12,40752.66,60672.71,101425.37,6
2017-01-13,61233.4,39916.95,101150.35,4
2017-01-16,91120.88,9951.5,101072.38,1
2017-01-17,101068.92,0.0,101068.92,0
2017-01-18,101068.92,0.0,101068.92,0
2017-01-19,101068.92,0.0,101068.92,0
2017-01-20,101068.92,0.0,101068.92,0
