Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
MUTHOOTFIN.NS,2016-07-27,287.35,2016-07-28,313.0,34,851.69,8.71,Exit rule,1
ADANIENT.NS,2016-07-27,45.2813,2016-08-01,44.1915,220,-259.44,-2.6,Exit rule,5
UNITDSPR.NS,2016-07-28,514.0,2016-08-01,491.0,19,-456.09,-4.67,Exit rule,4
GAIL.NS,2016-08-08,71.7,2016-08-10,70.875,139,-134.49,-1.35,Exit rule,2
AXISBANK.NS,2016-08-08,568.45,2016-08-11,564.25,17,-90.66,-0.94,Exit rule,3
DLF.NS,2016-08-31,164.25,2016-09-01,155.0,60,-574.15,-5.82,Exit rule,1
MARUTI.NS,2016-08-25,4973.7998,2016-09-06,5201.0,2,434.05,4.36,Exit rule,12
NAUKRI.NS,2016-09-02,167.89,2016-09-06,166.51,59,-101.15,-1.02,Exit rule,4
INDUSINDBK.NS,2016-08-31,1168.0,2016-09-07,1238.9,8,547.94,5.86,Exit rule,7
SHRIRAMFIN.NS,2016-09-07,241.2498,2016-09-08,235.2381,41,-266.02,-2.69,Exit rule,1
APOLLOHOSP.NS,2016-09-02,1358.0,2016-09-12,1345.0,7,-109.92,-1.16,Exit rule,10
AMBUJACEM.NS,2016-08-31,275.05,2016-09-14,260.0,36,-561.06,-5.66,Exit rule,14
PIDILITIND.NS,2016-09-07,361.475,2016-09-14,351.025,27,-301.39,-3.08,Exit rule,7
CGPOWER.NS,2016-08-31,83.0,2016-09-15,79.75,120,-409.53,-4.11,Exit rule,15
NHPC.NS,2016-09-15,27.0,2016-09-26,26.0,370,-389.61,-3.9,Exit rule,11
CGPOWER.NS,2016-09-19,81.3,2016-09-27,80.2,122,-153.9,-1.55,Exit rule,8
JINDALSTEL.NS,2016-08-19,85.65,2016-09-28,81.05,116,-552.94,-5.56,Exit rule,40
COALINDIA.NS,2016-09-27,335.5,2016-09-29,330.3,29,-170.11,-1.75,Exit rule,2
MUTHOOTFIN.NS,2016-08-29,334.0,2016-09-30,334.15,29,-15.03,-0.15,Exit rule,32
TATACONSUM.NS,2016-09-19,139.85,2016-09-30,136.95,71,-225.55,-2.27,Exit rule,11
BAJAJ-AUTO.NS,2016-09-29,2941.0,2016-09-30,2857.95,3,-266.55,-3.02,Exit rule,1
VEDL.NS,2016-09-29,176.5,2016-10-05,188.3,56,640.37,6.47,Exit rule,6
HAVELLS.NS,2016-09-29,422.95,2016-10-05,454.65,23,708.91,7.28,Exit rule,6
M&M.NS,2016-10-04,725.25,2016-10-05,712.95,13,-178.6,-1.89,Exit rule,1
HINDALCO.NS,2016-09-23,154.6,2016-10-07,158.95,64,258.33,2.61,Exit rule,14
BAJAJ-AUTO.NS,2016-10-10,2892.0,2016-10-14,2838.0,3,-179.19,-2.06,Exit rule,4
HEROMOTOCO.NS,2016-10-04,3594.0,2016-10-18,3404.8999,2,-392.2,-5.45,Exit rule,14
GAIL.NS,2016-10-04,72.375,2016-10-19,80.8125,138,1143.24,11.43,Exit rule,15
PFC.NS,2016-10-03,96.4,2016-10-24,103.12,103,671.61,6.76,Exit rule,21
TATAPOWER.NS,2016-10-03,75.5,2016-10-24,83.65,132,1054.79,10.57,Exit rule,21
BAJFINANCE.NS,2016-10-19,112.33,2016-10-24,113.65,88,96.27,0.97,Exit rule,5
ICICIBANK.NS,2016-10-18,235.9545,2016-10-25,262.9091,42,1111.14,11.2,Exit rule,7
ADANIPORTS.NS,2016-10-19,269.0,2016-10-26,312.95,37,1604.62,16.11,Exit rule,7
BRITANNIA.NS,2016-10-20,1658.5,2016-10-26,1645.0,6,-100.82,-1.01,Exit rule,6
PIDILITIND.NS,2016-10-04,363.0,2016-10-27,351.55,27,-328.44,-3.35,Exit rule,23
BAJAJ-AUTO.NS,2016-11-01,2830.3999,2016-11-02,2818.7,3,-52.05,-0.61,Exit rule,1
CHOLAFIN.NS,2016-11-01,237.16,2016-11-04,227.6,42,-421.04,-4.22,Exit rule,3
EICHERMOT.NS,2016-11-02,2506.7749,2016-11-07,2427.1899,3,-253.56,-3.37,Exit rule,5
ZYDUSLIFE.NS,2016-08-05,371.0,2016-11-08,384.2,26,323.57,3.35,Exit rule,95
HINDALCO.NS,2016-11-02,154.8,2016-11-08,170.0,64,952.01,9.6,Exit rule,6
BRITANNIA.NS,2016-11-02,1639.0,2016-11-09,1550.0,6,-553.13,-5.62,Exit rule,7
INDUSINDBK.NS,2016-11-02,1204.25,2016-11-10,1209.7,8,24.29,0.25,Exit rule,8
HCLTECH.NS,2016-11-07,400.0,2016-11-10,395.025,24,-138.48,-1.44,Exit rule,3
COLPAL.NS,2016-11-01,972.0,2016-11-15,949.1,10,-248.21,-2.55,Exit rule,14
BHARATFORG.NS,2016-11-10,444.25,2016-11-15,431.425,22,-301.42,-3.08,Exit rule,5
PFC.NS,2016-11-11,95.92,2016-11-15,95.68,104,-44.89,-0.45,Exit rule,4
MOTHERSON.NS,2016-11-11,38.8575,2016-11-15,36.611,257,-596.73,-5.97,Exit rule,4
NAUKRI.NS,2016-11-02,194.0,2016-11-16,175.59,51,-957.76,-9.67,Exit rule,14
TATASTEEL.NS,2016-11-11,41.2059,2016-11-16,37.8236,242,-837.62,-8.39,Exit rule,5
JSWSTEEL.NS,2016-11-11,173.52,2016-11-16,171.85,57,-114.88,-1.16,Exit rule,5
PNB.NS,2016-11-08,139.95,2016-11-22,138.75,71,-104.99,-1.06,Exit rule,14
CANBK.NS,2016-11-10,60.3046,2016-11-23,59.4292,165,-164.2,-1.65,Exit rule,13
BPCL.NS,2016-11-25,213.6667,2016-12-02,206.6667,46,-341.34,-3.47,Exit rule,7
CGPOWER.NS,2016-12-01,78.1,2016-12-02,76.4,127,-235.52,-2.37,Exit rule,1
IOC.NS,2016-12-01,102.3,2016-12-02,98.9,97,-349.32,-3.52,Exit rule,1
BAJAJHLDNG.NS,2016-11-25,2115.0,2016-12-05,2025.0,4,-376.56,-4.45,Exit rule,10
ADANIPORTS.NS,2016-11-30,278.9,2016-12-05,266.5,35,-453.09,-4.64,Exit rule,5
TVSMOTOR.NS,2016-12-01,373.5,2016-12-05,358.0,26,-422.02,-4.34,Exit rule,4
TRENT.NS,2016-12-06,202.0,2016-12-09,204.0,49,78.11,0.79,Exit rule,3
GAIL.NS,2016-11-28,78.0375,2016-12-15,78.2157,128,2.8,0.03,Exit rule,17
RECLTD.NS,2016-11-11,101.175,2016-12-19,96.75,98,-453.05,-4.56,Exit rule,38
NAUKRI.NS,2016-12-27,178.2,2017-01-05,171.78,56,-379.12,-3.8,Exit rule,9
BPCL.NS,2016-12-30,211.85,2017-01-05,218.1667,47,276.67,2.78,Exit rule,6
