Date,Cash,Holdings,Equity,OpenPositions
2016-06-23,100000.0,0.0,100000.0,0
2016-06-24,100000.0,0.0,100000.0,0
2016-06-27,100000.0,0.0,100000.0,0
2016-06-28,100000.0,0.0,100000.0,0
2016-06-29,100000.0,0.0,100000.0,0
2016-06-30,100000.0,0.0,100000.0,0
2016-07-01,100000.0,0.0,100000.0,0
2016-07-04,100000.0,0.0,100000.0,0
2016-07-05,100000.0,0.0,100000.0,0
2016-07-07,100000.0,0.0,100000.0,0
2016-07-08,100000.0,0.0,100000.0,0
2016-07-11,100000.0,0.0,100000.0,0
2016-07-12,100000.0,0.0,100000.0,0
2016-07-13,100000.0,0.0,100000.0,0
2016-07-14,100000.0,0.0,100000.0,0
2016-07-15,100000.0,0.0,100000.0,0
2016-07-18,100000.0,0.0,100000.0,0
2016-07-19,100000.0,0.0,100000.0,0
2016-07-20,100000.0,0.0,100000.0,0
2016-07-21,100000.0,0.0,100000.0,0
2016-07-22,100000.0,0.0,100000.0,0
2016-07-25,100000.0,0.0,100000.0,0
2016-07-26,100000.0,0.0,100000.0,0
2016-07-27,100000.0,0.0,100000.0,0
2016-07-28,100000.0,0.0,100000.0,0
2016-07-29,100000.0,0.0,100000.0,0
2016-08-01,100000.0,0.0,100000.0,0
2016-08-02,90110.94,9756.06,99867.0,1
2016-08-03,90110.94,9421.28,99532.22,1
2016-08-04,90110.94,9601.02,99711.96,1
2016-08-05,90110.94,9875.38,99986.32,1
2016-08-08,90110.94,9798.62,99909.56,1
2016-08-09,90110.94,9793.68,99904.62,1
2016-08-10,90110.94,9704.0,99814.94,1
2016-08-11,90110.94,9718.82,99829.76,1
2016-08-12,90110.94,9849.54,99960.48,1
2016-08-16,90110.94,9666.0,99776.94,1
2016-08-17,90110.94,9708.56,99819.5,1
2016-08-18,80367.21,19419.96,99787.17,2
2016-08-19,80367.21,19321.89,99689.1,2
2016-08-22,80367.21,19180.32,99547.53,2
2016-08-23,80367.21,19115.23,99482.44,2
2016-08-24,80367.21,19110.82,99478.03,2
2016-08-25,80367.21,18988.43,99355.64,2
2016-08-26,80367.21,18966.52,99333.73,2
2016-08-29,80367.21,19216.89,99584.1,2
2016-08-30,80367.21,19753.41,100120.62,2
2016-08-31,80367.21,19509.07,99876.28,2
2016-09-01,80367.21,19278.02,99645.23,2
2016-09-02,80367.21,19546.64,99913.85,2
2016-09-06,80367.21,19727.88,100095.09,2
2016-09-07,80367.21,19424.43,99791.64,2
2016-09-08,80367.21,19718.31,100085.52,2
2016-09-09,70625.47,29085.28,99710.76,3
2016-09-12,70625.47,28345.67,98971.14,3
2016-09-14,70625.47,28253.29,98878.76,3
2016-09-15,79401.48,19424.4,98825.88,2
2016-09-16,79401.48,19894.45,99295.93,2
2016-09-19,79401.48,19849.4,99250.88,2
2016-09-20,79401.48,19654.05,99055.53,2
2016-09-21,79401.48,19694.0,99095.48,2
2016-09-22,79401.48,20264.65,99666.13,2
2016-09-23,79401.48,20226.1,99627.58,2
2016-09-26,79401.48,19989.55,99391.03,2
2016-09-27,79401.48,20025.15,99426.63,2
2016-09-28,79401.48,20055.5,99456.98,2
2016-09-29,79401.48,19661.6,99063.08,2
2016-09-30,88272.0,11341.35,99613.35,1
2016-10-03,88272.0,11705.6,99977.6,1
2016-10-04,88272.0,11700.95,99972.95,1
2016-10-05,88272.0,11761.4,100033.4,1
2016-10-06,88272.0,11925.7,100197.7,1
2016-10-07,88272.0,11972.2,100244.2,1
2016-10-10,88272.0,12045.05,100317.05,1
2016-10-13,88272.0,11936.55,100208.55,1
2016-10-14,88272.0,12103.95,100375.95,1
2016-10-17,88272.0,12066.75,100338.75,1
2016-10-18,88272.0,12246.55,100518.55,1
2016-10-19,88272.0,12133.4,100405.4,1
2016-10-20,88272.0,12184.55,100456.55,1
2016-10-21,88272.0,12272.9,100544.9,1
2016-10-24,88272.0,12268.25,100540.25,1
2016-10-25,88272.0,12638.7,100910.7,1
2016-10-26,88272.0,12398.45,100670.45,1
2016-10-27,88272.0,12775.1,101047.1,1
2016-10-28,88272.0,12555.0,100827.0,1
2016-11-01,88272.0,12516.25,100788.25,1
2016-11-02,88272.0,12424.8,100696.8,1
2016-11-03,88272.0,12167.5,100439.5,1
2016-11-04,88272.0,12173.7,100445.7,1
2016-11-07,88272.0,12079.15,100351.15,1
2016-11-08,68425.16,31503.55,99928.71,3
2016-11-09,68425.16,30787.35,99212.51,3
2016-11-10,68425.16,30841.74,99266.9,3
2016-11-11,29225.31,68149.08,97374.39,7
2016-11-15,40405.12,56548.29,96953.41,6
2016-11-16,40405.12,55878.02,96283.14,6
2016-11-17,57806.07,38678.01,96484.08,4
2016-11-18,57806.07,39364.02,97170.09,4
2016-11-21,47812.93,46827.12,94640.04,5
2016-11-22,47812.93,47857.04,95669.96,5
2016-11-23,47812.93,48376.69,96189.62,5
2016-11-24,47812.93,48456.36,96269.29,5
2016-11-25,38122.77,59448.54,97571.31,6
2016-11-28,38122.77,59111.52,97234.29,6
2016-11-29,38122.77,58942.86,97065.62,6
2016-11-30,38122.77,59514.04,97636.81,6
2016-12-01,38122.77,58892.57,97015.33,6
2016-12-02,38122.77,58123.85,96246.61,6
2016-12-05,38122.77,58122.64,96245.41,6
2016-12-06,38122.77,58360.94,96483.71,6
2016-12-07,38122.77,58002.27,96125.04,6
2016-12-08,28653.31,68569.89,97223.2,7
2016-12-09,18851.52,78535.45,97386.96,8
2016-12-12,18851.52,77331.14,96182.66,8
2016-12-13,18851.52,78052.01,96903.53,8
2016-12-14,18851.52,76593.87,95445.39,8
2016-12-15,8978.66,86452.32,95430.97,9
2016-12-16,8978.66,86166.39,95145.05,9
2016-12-19,8978.66,86265.99,95244.65,9
2016-12-20,8978.66,85408.75,94387.41,9
2016-12-21,8978.66,85355.44,94334.09,9
2016-12-22,8978.66,84261.99,93240.64,9
2016-12-23,8978.66,83787.71,92766.36,9
2016-12-26,18354.47,72229.92,90584.39,8
2016-12-27,61880.17,29157.92,91038.09,3
2016-12-28,61880.17,29065.69,90945.86,3
2016-12-29,61880.17,29214.15,91094.32,3
2016-12-30,61880.17,29432.95,91313.12,3
2017-01-02,61880.17,29477.86,91358.03,3
2017-01-03,52135.43,39564.75,91700.19,4
2017-01-04,52135.43,39027.49,91162.92,4
2017-01-05,52135.43,39532.43,91667.86,4
2017-01-06,52135.43,39412.0,91547.43,4
2017-01-09,52135.43,39401.35,91536.78,4
2017-01-10,52135.43,39465.57,91601.0,4
2017-01-11,52135.43,39501.96,91637.39,4
2017-01-12,52135.43,39533.82,91669.25,4
2017-01-13,42171.48,50256.51,92427.99,5
2017-01-16,42171.48,50431.4,92602.88,5
2017-01-17,42171.48,50153.31,92324.79,5
2017-01-18,42869.81,49675.85,92545.65,5
2017-01-19,32883.93,60092.71,92976.64,6
2017-01-20,32883.93,58638.27,91522.2,6
