Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
SHRIRAMFIN.NS,2016-08-02,253.3123,2016-09-15,225.2509,39,-1113.06,-11.26,Exit rule,44
SUNPHARMA.NS,2016-09-09,811.0,2016-09-30,739.95,12,-871.21,-8.94,Exit rule,21
TVSMOTOR.NS,2016-08-18,314.0,2016-11-15,361.0,31,1436.08,14.74,Exit rule,89
CGPOWER.NS,2016-11-08,86.5,2016-11-17,74.95,115,-1346.82,-13.53,Exit rule,9
ITC.NS,2016-11-08,246.9878,2016-11-17,219.978,40,-1099.07,-11.11,Exit rule,9
PFC.NS,2016-11-21,100.84,2016-12-26,94.8,99,-617.33,-6.18,Exit rule,35
RECLTD.NS,2016-11-11,101.175,2016-12-27,87.9375,98,-1315.81,-13.26,Exit rule,46
BANKBARODA.NS,2016-11-11,164.0,2016-12-27,147.7,60,-996.7,-10.12,Exit rule,46
JSWSTEEL.NS,2016-11-11,173.52,2016-12-27,153.87,57,-1138.71,-11.5,Exit rule,46
BHARATFORG.NS,2016-11-25,460.975,2016-12-27,438.0,21,-501.35,-5.17,Exit rule,32
EICHERMOT.NS,2016-12-08,2365.0,2016-12-27,2030.2,4,-1356.78,-14.33,Exit rule,19
RELIANCE.NS,2016-12-15,240.5609,2017-01-18,238.3208,41,-111.48,-1.13,Exit rule,34
BRITANNIA.NS,2017-01-18,1509.0,2017-03-08,1532.5,6,122.75,1.35,Exit rule,49
PNB.NS,2017-01-13,126.0,2017-03-23,136.55,79,812.71,8.16,Exit rule,69
CIPLA.NS,2016-11-11,559.7,2017-04-24,565.0,17,70.98,0.75,Exit rule,164
NHPC.NS,2017-02-03,31.1,2017-05-19,30.4,321,-244.44,-2.45,Exit rule,105
ONGC.NS,2017-05-03,193.95,2017-05-19,181.9,51,-633.72,-6.4,Exit rule,16
TRENT.NS,2016-12-09,204.0,2017-05-22,247.0,48,2042.35,20.84,Exit rule,164
BAJAJFINSV.NS,2017-01-03,295.0,2017-05-22,420.05,33,4103.05,42.11,Exit rule,139
CANBK.NS,2017-01-19,56.0444,2017-05-25,70.42,178,2536.35,25.4,Exit rule,126
BRITANNIA.NS,2017-03-22,1631.0,2017-05-29,1704.2,6,419.19,4.28,Exit rule,68
GAIL.NS,2017-06-01,103.5,2017-06-16,94.6625,96,-867.42,-8.72,Exit rule,15
HAVELLS.NS,2017-06-07,504.7,2017-06-30,445.0,19,-1152.34,-12.0,Exit rule,23
PNB.NS,2017-07-11,154.35,2017-08-04,149.05,64,-358.62,-3.63,Exit rule,24
TATAPOWER.NS,2017-06-23,82.7,2017-08-09,78.3,120,-547.32,-5.51,Exit rule,47
TATACONSUM.NS,2017-06-08,155.1,2017-08-11,155.1,64,-19.85,-0.2,Exit rule,64
BPCL.NS,2017-07-12,228.0,2017-08-11,237.575,43,391.71,3.99,Exit rule,30
