Date,Cash,Holdings,Equity,OpenPositions
2016-06-23,100000.0,0.0,100000.0,0
2016-06-24,100000.0,0.0,100000.0,0
2016-06-27,100000.0,0.0,100000.0,0
2016-06-28,100000.0,0.0,100000.0,0
2016-06-29,100000.0,0.0,100000.0,0
2016-06-30,100000.0,0.0,100000.0,0
2016-07-01,100000.0,0.0,100000.0,0
2016-07-04,100000.0,0.0,100000.0,0
2016-07-05,100000.0,0.0,100000.0,0
2016-07-07,100000.0,0.0,100000.0,0
2016-07-08,100000.0,0.0,100000.0,0
2016-07-11,100000.0,0.0,100000.0,0
2016-07-12,100000.0,0.0,100000.0,0
2016-07-13,100000.0,0.0,100000.0,0
2016-07-14,100000.0,0.0,100000.0,0
2016-07-15,100000.0,0.0,100000.0,0
2016-07-18,100000.0,0.0,100000.0,0
2016-07-19,100000.0,0.0,100000.0,0
2016-07-20,100000.0,0.0,100000.0,0
2016-07-21,100000.0,0.0,100000.0,0
2016-07-22,100000.0,0.0,100000.0,0
2016-07-25,81224.24,18575.5,99799.74,2
2016-07-26,81224.24,18425.0,99649.24,2
2016-07-27,41629.39,58476.19,100105.58,6
2016-07-28,22001.89,77881.08,99882.97,8
2016-07-29,3461.37,97055.03,100516.4,10
2016-08-01,3461.37,100475.96,103937.32,10
2016-08-02,3461.37,99008.29,102469.66,10
2016-08-03,3461.37,96608.55,100069.92,10
2016-08-04,12724.1,88485.09,101209.19,9
2016-08-05,12724.1,88923.66,101647.76,9
2016-08-08,2933.12,100429.45,103362.56,10
2016-08-09,2933.12,99561.32,102494.43,10
2016-08-10,2933.12,99195.55,102128.66,10
2016-08-11,2933.12,98657.78,101590.9,10
2016-08-12,2933.12,99207.39,102140.51,10
2016-08-16,2933.12,99505.77,102438.89,10
2016-08-17,2933.12,99538.89,102472.01,10
2016-08-18,2933.12,99680.68,102613.8,10
2016-08-19,10801.39,91865.85,102667.24,9
2016-08-22,10801.39,90951.72,101753.11,9
2016-08-23,21440.79,80157.6,101598.39,8
2016-08-24,60397.22,41340.81,101738.03,4
2016-08-25,60397.22,41256.53,101653.75,4
2016-08-26,60397.22,41118.93,101516.16,4
2016-08-29,60397.22,41256.06,101653.28,4
2016-08-30,60397.22,41817.66,102214.88,4
2016-08-31,50556.39,50928.12,101484.51,5
2016-09-01,30635.89,70994.24,101630.13,7
2016-09-02,30635.89,71189.08,101824.96,7
2016-09-06,31228.83,71258.4,102487.23,7
2016-09-07,31228.83,70825.67,102054.5,7
2016-09-08,21272.91,81201.58,102474.49,8
2016-09-09,21272.91,80453.54,101726.45,8
2016-09-12,11429.74,88424.35,99854.09,9
2016-09-14,41728.81,58490.38,100219.19,6
2016-09-15,41728.81,58375.11,100103.92,6
2016-09-16,41728.81,58568.61,100297.42,6
2016-09-19,50899.63,49701.36,100600.99,5
2016-09-20,50899.63,49590.13,100489.76,5
2016-09-21,60577.96,39830.74,100408.7,4
2016-09-22,60577.96,40759.18,101337.14,4
2016-09-23,60577.96,40706.71,101284.67,4
2016-09-26,60577.96,40136.41,100714.37,4
2016-09-27,60577.96,40008.8,100586.76,4
2016-09-28,70322.87,30653.25,100976.12,3
2016-09-29,70322.87,29986.31,100309.18,3
2016-09-30,89759.41,10975.5,100734.91,1
2016-10-03,80089.75,21030.2,101119.95,2
2016-10-04,80089.75,21515.7,101605.45,2
2016-10-05,60889.92,40572.85,101462.77,4
2016-10-06,41035.29,59845.45,100880.74,6
2016-10-07,41035.29,59449.3,100484.59,6
2016-10-10,41035.29,59880.9,100916.19,6
2016-10-13,41035.29,58968.7,100003.99,6
2016-10-14,41035.29,59786.75,100822.04,6
2016-10-17,41035.29,59138.45,100173.74,6
2016-10-18,59507.9,41018.8,100526.7,4
2016-10-19,59507.9,40938.3,100446.2,4
2016-10-20,59507.9,40865.35,100373.25,4
2016-10-21,59507.9,40963.7,100471.6,4
2016-10-24,59507.9,41136.75,100644.65,4
2016-10-25,59507.9,41096.1,100604.0,4
2016-10-26,49268.42,50015.0,99283.42,5
2016-10-27,67622.05,31754.0,99376.05,3
2016-10-28,67622.05,32074.5,99696.55,3
2016-11-01,48033.63,52055.99,100089.63,5
2016-11-02,38133.74,60848.9,98982.64,6
2016-11-03,38133.74,60131.15,98264.89,6
2016-11-04,40062.11,57411.88,97473.99,6
2016-11-07,39286.1,59318.28,98604.39,6
2016-11-08,29328.66,69004.31,98332.96,7
2016-11-09,29328.66,67651.07,96979.73,7
2016-11-10,28278.7,71084.54,99363.24,7
2016-11-11,46.9,97004.68,97051.59,10
2016-11-15,9356.68,86685.27,96041.94,9
2016-11-16,47941.04,48040.2,95981.24,5
2016-11-17,47941.04,48611.15,96552.19,5
2016-11-18,47941.04,48574.95,96515.99,5
2016-11-21,37993.6,55095.75,93089.35,6
2016-11-22,65366.45,28040.15,93406.6,3
2016-11-23,65366.45,28228.93,93595.37,3
2016-11-24,55368.46,38603.0,93971.46,4
2016-11-25,55368.46,40407.65,95776.11,4
2016-11-28,55368.46,39958.28,95326.74,4
2016-11-29,45389.86,49679.08,95068.95,5
2016-11-30,35393.48,59651.54,95045.01,6
2016-12-01,35393.48,58773.1,94166.58,6
2016-12-02,53726.73,40164.24,93890.97,4
2016-12-05,53726.73,40959.42,94686.15,4
2016-12-06,53726.73,42542.73,96269.46,4
2016-12-07,53726.73,42092.28,95819.01,4
2016-12-08,53726.73,42355.4,96082.13,4
2016-12-09,44047.06,52110.95,96158.01,5
2016-12-12,44047.06,51945.19,95992.25,5
2016-12-13,44047.06,52020.19,96067.25,5
2016-12-14,34094.71,60623.97,94718.69,6
2016-12-15,43501.3,51303.14,94804.44,5
2016-12-16,53519.39,41015.78,94535.17,4
2016-12-19,53519.39,40740.04,94259.44,4
2016-12-20,53519.39,39823.45,93342.84,4
2016-12-21,63620.69,29657.82,93278.51,3
2016-12-22,72821.48,19830.14,92651.62,2
2016-12-23,83147.95,9636.9,92784.85,1
2016-12-26,83147.95,9531.6,92679.55,1
2016-12-27,92551.83,0.0,92551.83,0
2016-12-28,92551.83,0.0,92551.83,0
2016-12-29,82616.71,9824.22,92440.93,1
2016-12-30,62736.1,29600.09,92336.18,3
2017-01-02,52763.7,39544.59,92308.29,4
2017-01-03,52763.7,40132.96,92896.67,4
2017-01-04,52763.7,40041.14,92804.84,4
2017-01-05,62030.55,31485.8,93516.35,3
2017-01-06,62030.55,31108.66,93139.2,3
2017-01-09,62030.55,30828.51,92859.06,3
2017-01-10,62030.55,31246.59,93277.13,3
2017-01-11,52061.22,41273.11,93334.33,4
2017-01-12,13262.77,79808.7,93071.47,8
2017-01-13,53.07,91939.36,91992.43,10
2017-01-16,53.07,92992.1,93045.17,10
2017-01-17,53.07,92361.96,92415.03,10
2017-01-18,53.07,92975.79,93028.87,10
2017-01-19,53.07,92960.35,93013.42,10
2017-01-20,53.07,91014.04,91067.12,10
