Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
ADANIENSOL.NS,2016-07-27,40.8,2016-08-04,38.0,244,-702.43,-7.05,Exit rule,8
BAJAJHLDNG.NS,2016-07-25,1818.9,2016-08-19,1800.9,5,-108.1,-1.19,Exit rule,25
ASIANPAINT.NS,2016-07-29,1127.5,2016-08-19,1101.35,8,-227.03,-2.51,Exit rule,21
MUTHOOTFIN.NS,2016-07-28,313.0,2016-08-23,343.55,31,926.7,9.54,Exit rule,26
BAJFINANCE.NS,2016-07-27,99.0,2016-08-24,101.29,100,208.97,2.11,Exit rule,28
BAJAJFINSV.NS,2016-07-27,271.5,2016-08-24,269.27,36,-99.75,-1.02,Exit rule,28
MARUTI.NS,2016-07-29,4751.0,2016-08-24,4890.0,2,258.72,2.72,Exit rule,26
NTPC.NS,2016-08-19,139.7083,2016-08-24,132.2917,71,-545.89,-5.5,Exit rule,5
JINDALSTEL.NS,2016-07-27,80.7,2016-09-06,82.0,123,139.89,1.41,Exit rule,41
HAVELLS.NS,2016-07-25,386.5,2016-09-14,408.0,25,517.64,5.35,Exit rule,51
JSWSTEEL.NS,2016-07-28,173.77,2016-09-14,175.0,57,50.23,0.51,Exit rule,48
BHARATFORG.NS,2016-08-08,407.55,2016-09-14,423.1,24,353.26,3.61,Exit rule,37
BAJAJHLDNG.NS,2016-09-06,1894.7,2016-09-19,1836.0,5,-312.15,-3.29,Exit rule,13
KOTAKBANK.NS,2016-09-01,162.6,2016-09-21,158.82,61,-250.19,-2.52,Exit rule,20
ONGC.NS,2016-09-12,166.6667,2016-09-28,165.3333,59,-98.26,-1.0,Exit rule,16
HDFCBANK.NS,2016-09-01,322.0,2016-09-30,319.275,31,-104.35,-1.04,Exit rule,29
CANBK.NS,2016-09-08,59.9155,2016-09-30,57.5812,166,-407.01,-4.09,Exit rule,22
UNITDSPR.NS,2016-10-03,483.0,2016-10-18,478.2,20,-115.22,-1.19,Exit rule,15
HAVELLS.NS,2016-10-05,454.65,2016-10-18,425.1,21,-639.02,-6.69,Exit rule,13
PIDILITIND.NS,2016-10-05,370.5,2016-10-26,358.0,26,-343.94,-3.57,Exit rule,21
TATACONSUM.NS,2016-10-06,153.95,2016-10-27,139.5,64,-943.58,-9.57,Exit rule,21
ZYDUSLIFE.NS,2016-10-26,409.05,2016-10-27,393.5,24,-392.46,-3.99,Exit rule,1
TVSMOTOR.NS,2016-08-31,327.7,2016-11-04,393.0,30,1937.38,19.69,Exit rule,65
ZYDUSLIFE.NS,2016-11-01,418.0,2016-11-07,392.1,23,-614.33,-6.38,Exit rule,6
ADANIPORTS.NS,2016-10-26,312.95,2016-11-10,289.0,31,-761.11,-7.84,Exit rule,15
ITC.NS,2016-11-07,244.3879,2016-11-15,232.9773,40,-475.52,-4.86,Exit rule,8
ADANIENSOL.NS,2016-10-06,43.4,2016-11-16,44.0,230,117.9,1.18,Exit rule,41
BEL.NS,2016-11-01,40.303,2016-11-16,39.6364,247,-184.41,-1.85,Exit rule,15
VEDL.NS,2016-11-02,215.0,2016-11-16,215.55,46,5.49,0.06,Exit rule,14
CGPOWER.NS,2016-11-08,86.5,2016-11-16,76.5,115,-1168.74,-11.74,Exit rule,8
HINDALCO.NS,2016-11-04,164.0,2016-11-22,158.85,60,-328.37,-3.33,Exit rule,18
PNB.NS,2016-11-11,157.45,2016-11-22,138.75,63,-1196.76,-12.05,Exit rule,11
SBIN.NS,2016-11-11,278.75,2016-11-22,260.8,35,-647.13,-6.63,Exit rule,11
POWERGRID.NS,2016-11-10,104.0625,2016-12-02,104.0625,96,-19.98,-0.2,Exit rule,22
BANKBARODA.NS,2016-11-11,164.0,2016-12-02,160.8,52,-183.29,-2.15,Exit rule,21
ADANIENSOL.NS,2016-11-24,56.75,2016-12-15,53.5,176,-591.4,-5.92,Exit rule,21
NTPC.NS,2016-11-21,132.5,2016-12-16,133.7083,75,70.66,0.71,Exit rule,25
BEL.NS,2016-11-29,42.4197,2016-12-21,43.0273,235,122.7,1.23,Exit rule,22
BHARATFORG.NS,2016-12-09,483.5,2016-12-22,460.5,20,-478.88,-4.95,Exit rule,13
ADANIPOWER.NS,2016-11-30,5.7,2016-12-23,5.9,1752,330.08,3.3,Exit rule,23
TVSMOTOR.NS,2016-12-14,382.4,2016-12-27,362.05,26,-548.46,-5.51,Exit rule,13
NAUKRI.NS,2016-12-29,183.8,2017-01-05,171.78,54,-668.28,-6.73,Exit rule,7
COALINDIA.NS,2017-01-12,318.0,2017-01-23,303.9,31,-456.38,-4.62,Exit rule,11
NHPC.NS,2017-01-13,30.0,2017-01-23,27.1,333,-984.71,-9.85,Exit rule,10
NTPC.NS,2017-01-13,145.75,2017-02-09,143.25,22,-61.36,-1.91,Exit rule,27
TATASTEEL.NS,2017-01-12,42.7779,2017-02-10,44.4928,233,379.24,3.8,Exit rule,29
BEL.NS,2017-01-11,46.7576,2017-02-14,46.4545,213,-84.4,-0.85,Exit rule,34
IOC.NS,2016-12-30,107.65,2017-02-15,124.6667,92,1544.16,15.58,Exit rule,47
BPCL.NS,2016-12-30,211.85,2017-02-15,230.6667,47,863.59,8.66,Exit rule,47
TRENT.NS,2017-01-25,245.0,2017-02-23,249.0,35,122.71,1.43,Exit rule,29
BRITANNIA.NS,2017-01-12,1492.475,2017-03-01,1616.0,6,722.5,8.06,Exit rule,48
ADANIENT.NS,2017-01-02,42.3933,2017-03-03,50.7848,235,1950.1,19.55,Exit rule,60
UNITDSPR.NS,2017-01-24,446.0,2017-03-03,460.9,22,307.85,3.13,Exit rule,38
APOLLOHOSP.NS,2017-02-23,1330.9,2017-03-06,1255.9,7,-543.11,-5.82,Exit rule,11
BHARATFORG.NS,2017-02-10,512.975,2017-03-09,521.25,19,137.58,1.41,Exit rule,27
TECHM.NS,2017-02-13,500.0,2017-03-09,493.0,7,-55.95,-1.6,Exit rule,24
M&M.NS,2017-03-02,677.45,2017-03-09,651.0,14,-388.9,-4.1,Exit rule,7
AXISBANK.NS,2017-02-23,525.0,2017-03-21,498.75,19,-518.2,-5.19,Exit rule,26
ZYDUSLIFE.NS,2017-02-17,447.0,2017-03-23,437.95,22,-218.57,-2.22,Exit rule,34
JINDALSTEL.NS,2017-01-12,81.8,2017-03-27,121.0,122,4757.66,47.63,Exit rule,74
BAJAJ-AUTO.NS,2017-03-03,2835.0,2017-03-27,2845.7,3,15.06,0.18,Exit rule,24
HINDALCO.NS,2017-03-06,198.7,2017-03-28,189.5,50,-479.41,-4.82,Exit rule,22
