Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
ADANIENSOL.NS,2022-07-15,2970.3999,2022-11-25,2790.8501,33,-6017.24,-6.04,Below 220EMA,133
MARUTI.NS,2022-08-02,8985.0,2022-12-22,8356.6504,11,-7003.77,-6.99,Below 220EMA,142
ADANIENT.NS,2022-07-18,2424.0,2023-01-30,2850.0,41,17349.15,17.57,Below 220EMA,196
SBILIFE.NS,2022-08-02,1310.0,2023-02-01,1219.55,76,-6966.88,-6.9,Below 220EMA,183
HINDUNILVR.NS,2022-12-08,2695.05,2023-02-20,2518.0,36,-6464.45,-6.57,Below 220EMA,74
M&M.NS,2022-06-27,1089.8,2023-03-14,1192.3,91,9219.0,9.41,Below 220EMA,260
COALINDIA.NS,2022-08-01,212.5,2023-03-27,208.5,470,-1977.99,-1.88,Below 220EMA,238
HDFCBANK.NS,2023-05-05,819.5,2023-08-18,793.775,121,-3208.77,-3.14,Below 220EMA,105
GODREJCP.NS,2023-03-21,961.15,2023-09-26,975.0,103,1326.12,1.44,Below 220EMA,189
SIEMENS.NS,2022-07-11,1567.2886,2023-10-23,2020.3348,63,28414.63,28.91,Below 220EMA,469
ITC.NS,2022-07-04,275.0567,2024-02-09,394.8915,363,43356.69,43.57,Below 220EMA,585
CHOLAFIN.NS,2023-04-10,847.8,2024-02-22,1088.7,117,28057.92,28.41,Below 220EMA,318
BANKBARODA.NS,2022-08-03,121.5,2024-08-06,241.55,822,98482.55,98.81,Below 220EMA,734
ONGC.NS,2023-10-03,189.3,2024-10-23,270.0,527,42386.61,42.63,Below 220EMA,386
IOC.NS,2023-11-08,105.4,2024-10-23,154.9,947,46729.8,46.96,Below 220EMA,350
DLF.NS,2023-05-09,437.0,2024-10-28,794.0,228,81214.97,81.69,Below 220EMA,538
ICICIPRULI.NS,2024-08-09,741.1,2024-12-20,664.5,134,-10353.44,-10.34,Below 220EMA,133
TVSMOTOR.NS,2022-06-27,810.85,2024-12-31,2359.8999,123,190242.87,191.04,Below 220EMA,918
SBIN.NS,2024-02-09,703.65,2025-01-07,779.85,141,10634.23,10.83,Below 220EMA,333
BOSCHLTD.NS,2023-02-17,18100.0,2025-01-13,31500.0,5,66842.5,74.03,Below 220EMA,696
ULTRACEMCO.NS,2023-03-28,7484.0,2025-01-14,10570.0,13,39980.59,41.23,Below 220EMA,658
APOLLOHOSP.NS,2024-02-22,6765.0,2025-02-12,6349.6001,14,-5904.49,-6.14,Below 220EMA,356
MANKIND.NS,2024-12-19,2775.1001,2025-02-13,2448.0,35,-11534.18,-11.79,Below 220EMA,56
M&M.NS,2023-08-18,1568.75,2025-02-24,2669.0,63,69147.6,70.14,Below 220EMA,556
JSWSTEEL.NS,2025-03-25,1061.35,2025-04-08,949.35,94,-10617.24,-10.55,Below 220EMA,14
KOTAKBANK.NS,2025-02-11,392.92,2025-07-29,393.4,254,21.99,0.12,Below 220EMA,168
CHOLAFIN.NS,2025-04-22,1648.9,2025-08-01,1442.5,60,-12470.55,-12.52,Below 220EMA,101
ICICIBANK.NS,2025-04-21,1436.0,2025-09-30,1353.7,69,-5772.11,-5.73,Below 220EMA,162
BAJAJHLDNG.NS,2025-05-19,13150.0,2025-10-01,12100.0,7,-7434.7,-7.98,Below 220EMA,135
INDIGO.NS,2025-03-28,5149.8999,2025-12-08,5110.0,19,-855.19,-0.77,Below 220EMA,255
HDFCBANK.NS,2025-04-17,941.0,2026-01-08,944.7,106,292.06,0.39,Below 220EMA,266
BAJAJFINSV.NS,2025-04-21,2037.1,2026-01-21,1964.9,49,-3634.08,-3.54,Below 220EMA,275
ADANIPORTS.NS,2025-10-17,1479.5,2026-01-21,1371.7,67,-7314.51,-7.29,Below 220EMA,96
TVSMOTOR.NS,2025-08-06,2980.0,2026-03-16,3329.8999,33,11436.81,11.74,Below 220EMA,222
EICHERMOT.NS,2025-04-16,5549.0,2026-03-24,6800.0,18,22395.6,22.54,Below 220EMA,342
MARICO.NS,2025-05-06,722.65,2026-03-24,732.0,138,1189.28,1.29,Below 220EMA,322
MOTHERSON.NS,2025-12-12,120.49,2026-03-24,110.5,829,-8373.31,-8.29,Below 220EMA,102
VEDL.NS,2026-01-08,619.0,2026-05-01,271.55,161,-55983.17,-56.13,Below 220EMA,113
BEL.NS,2025-05-14,339.0,2026-06-02,405.8,294,19519.89,19.71,Below 220EMA,384
