Symbol,Name
RELIANCE.NS,RELIANCE
HDFCBANK.NS,HDFCBANK
ICICIBANK.NS,ICICIBANK
INFY.NS,INFY
TCS.NS,TCS
BHARTIARTL.NS,BHARTIARTL
SBIN.NS,SBIN
LT.NS,LT
ITC.NS,ITC
HINDUNILVR.NS,HINDUNILVR
KOTAKBANK.NS,KOTAKBANK
AXISBANK.NS,AXISBANK
BAJFINANCE.NS,BAJFINANCE
M&M.NS,M&M
MARUTI.NS,MARUTI
SUNPHARMA.NS,SUNPHARMA
NTPC.NS,NTPC
TATAMOTORS.NS,TATAMOTORS
HCLTECH.NS,HCLTECH
TITAN.NS,TITAN
POWERGRID.NS,POWERGRID
ULTRACEMCO.NS,ULTRACEMCO
ASIANPAINT.NS,ASIANPAINT
TATASTEEL.NS,TATASTEEL
BAJAJFINSV.NS,BAJAJFINSV
NESTLEIND.NS,NESTLEIND
WIPRO.NS,WIPRO
ADANIENT.NS,ADANIENT
ADANIPORTS.NS,ADANIPORTS
ONGC.NS,ONGC
COALINDIA.NS,COALINDIA
JSWSTEEL.NS,JSWSTEEL
GRASIM.NS,GRASIM
HINDALCO.NS,HINDALCO
TECHM.NS,TECHM
BAJAJ-AUTO.NS,BAJAJ-AUTO
INDUSINDBK.NS,INDUSINDBK
BPCL.NS,BPCL
DRREDDY.NS,DRREDDY
CIPLA.NS,CIPLA
BRITANNIA.NS,BRITANNIA
EICHERMOT.NS,EICHERMOT
APOLLOHOSP.NS,APOLLOHOSP
HEROMOTOCO.NS,HEROMOTOCO
TATACONSUM.NS,TATACONSUM
SBILIFE.NS,SBILIFE
HDFCLIFE.NS,HDFCLIFE
SHRIRAMFIN.NS,SHRIRAMFIN
LTIM.NS,LTIM
TRENT.NS,TRENT
BEL.NS,BEL
JIOFIN.NS,JIOFIN
LICI.NS,LICI
HAL.NS,HAL
ADANIGREEN.NS,ADANIGREEN
ADANIPOWER.NS,ADANIPOWER
ADANIENSOL.NS,ADANIENSOL
AMBUJACEM.NS,AMBUJACEM
DLF.NS,DLF
BANKBARODA.NS,BANKBARODA
GAIL.NS,GAIL
VEDL.NS,VEDL
PNB.NS,PNB
IOC.NS,IOC
ETERNAL.NS,ETERNAL
BAJAJHLDNG.NS,BAJAJHLDNG
SIEMENS.NS,SIEMENS
PIDILITIND.NS,PIDILITIND
GODREJCP.NS,GODREJCP
HAVELLS.NS,HAVELLS
DABUR.NS,DABUR
MARICO.NS,MARICO
COLPAL.NS,COLPAL
ICICIPRULI.NS,ICICIPRULI
ICICIGI.NS,ICICIGI
SBICARD.NS,SBICARD
CHOLAFIN.NS,CHOLAFIN
HDFCAMC.NS,HDFCAMC
NAUKRI.NS,NAUKRI
DMART.NS,DMART
PFC.NS,PFC
RECLTD.NS,RECLTD
IRFC.NS,IRFC
INDIGO.NS,INDIGO
TVSMOTOR.NS,TVSMOTOR
VBL.NS,VBL
TATAPOWER.NS,TATAPOWER
JINDALSTEL.NS,JINDALSTEL
CANBK.NS,CANBK
MOTHERSON.NS,MOTHERSON
BOSCHLTD.NS,BOSCHLTD
MUTHOOTFIN.NS,MUTHOOTFIN
LODHA.NS,LODHA
TORNTPHARM.NS,TORNTPHARM
MANKIND.NS,MANKIND
ZYDUSLIFE.NS,ZYDUSLIFE
NHPC.NS,NHPC
UNITDSPR.NS,UNITDSPR
CGPOWER.NS,CGPOWER
BHARATFORG.NS,BHARATFORG
PERSISTENT.NS,PERSISTENT
COFORGE.NS,COFORGE
MPHASIS.NS,MPHASIS
OFSS.NS,OFSS
LTTS.NS,LTTS
KPITTECH.NS,KPITTECH
TATAELXSI.NS,TATAELXSI
CYIENT.NS,CYIENT
BSOFT.NS,BSOFT
TATATECH.NS,TATATECH
SONACOMS.NS,SONACOMS
AUBANK.NS,AUBANK
FEDERALBNK.NS,FEDERALBNK
IDFCFIRSTB.NS,IDFCFIRSTB
BANDHANBNK.NS,BANDHANBNK
INDIANB.NS,INDIANB
UNIONBANK.NS,UNIONBANK
BANKINDIA.NS,BANKINDIA
YESBANK.NS,YESBANK
RBLBANK.NS,RBLBANK
LICHSGFIN.NS,LICHSGFIN
M&MFIN.NS,M&MFIN
SUNDARMFIN.NS,SUNDARMFIN
MANAPPURAM.NS,MANAPPURAM
PNBHOUSING.NS,PNBHOUSING
IIFL.NS,IIFL
ABCAPITAL.NS,ABCAPITAL
POONAWALLA.NS,POONAWALLA
LTF.NS,LTF
MFSL.NS,MFSL
BAJAJHFL.NS,BAJAJHFL
CREDITACC.NS,CREDITACC
KARURVYSYA.NS,KARURVYSYA
CUB.NS,CUB
HUDCO.NS,HUDCO
IREDA.NS,IREDA
BSE.NS,BSE
CDSL.NS,CDSL
CAMS.NS,CAMS
MCX.NS,MCX
ANGELONE.NS,ANGELONE
360ONE.NS,360ONE
KFINTECH.NS,KFINTECH
PAYTM.NS,PAYTM
POLICYBZR.NS,POLICYBZR
NYKAA.NS,NYKAA
AUROPHARMA.NS,AUROPHARMA
LUPIN.NS,LUPIN
ALKEM.NS,ALKEM
IPCALAB.NS,IPCALAB
BIOCON.NS,BIOCON
GLENMARK.NS,GLENMARK
ABBOTINDIA.NS,ABBOTINDIA
AJANTPHARM.NS,AJANTPHARM
LAURUSLABS.NS,LAURUSLABS
NATCOPHARM.NS,NATCOPHARM
PEL.NS,PEL
GRANULES.NS,GRANULES
JBCHEPHARM.NS,JBCHEPHARM
ERIS.NS,ERIS
MAXHEALTH.NS,MAXHEALTH
FORTIS.NS,FORTIS
LALPATHLAB.NS,LALPATHLAB
METROPOLIS.NS,METROPOLIS
GLAND.NS,GLAND
SYNGENE.NS,SYNGENE
ASHOKLEY.NS,ASHOKLEY
MRF.NS,MRF
BALKRISIND.NS,BALKRISIND
APOLLOTYRE.NS,APOLLOTYRE
CEATLTD.NS,CEATLTD
EXIDEIND.NS,EXIDEIND
ENDURANCE.NS,ENDURANCE
SCHAEFFLER.NS,SCHAEFFLER
TIMKEN.NS,TIMKEN
SKFINDIA.NS,SKFINDIA
SUNDRMFAST.NS,SUNDRMFAST
UNOMINDA.NS,UNOMINDA
ESCORTS.NS,ESCORTS
ACC.NS,ACC
DALBHARAT.NS,DALBHARAT
JKCEMENT.NS,JKCEMENT
RAMCOCEM.NS,RAMCOCEM
SHREECEM.NS,SHREECEM
GODREJPROP.NS,GODREJPROP
OBEROIRLTY.NS,OBEROIRLTY
PHOENIXLTD.NS,PHOENIXLTD
PRESTIGE.NS,PRESTIGE
BRIGADE.NS,BRIGADE
NCC.NS,NCC
NBCC.NS,NBCC
KEC.NS,KEC
RVNL.NS,RVNL
IRCON.NS,IRCON
CONCOR.NS,CONCOR
GMRAIRPORT.NS,GMRAIRPORT
IRCTC.NS,IRCTC
NMDC.NS,NMDC
SAIL.NS,SAIL
HINDZINC.NS,HINDZINC
NATIONALUM.NS,NATIONALUM
APLAPOLLO.NS,APLAPOLLO
JSL.NS,JSL
LLOYDSME.NS,LLOYDSME
ABB.NS,ABB
THERMAX.NS,THERMAX
HONAUT.NS,HONAUT
CUMMINSIND.NS,CUMMINSIND
KIRLOSENG.NS,KIRLOSENG
BHEL.NS,BHEL
BDL.NS,BDL
MAZDOCK.NS,MAZDOCK
COCHINSHIP.NS,COCHINSHIP
SOLARINDS.NS,SOLARINDS
SUZLON.NS,SUZLON
INOXWIND.NS,INOXWIND
PIIND.NS,PIIND
SRF.NS,SRF
DEEPAKNTR.NS,DEEPAKNTR
AARTIIND.NS,AARTIIND
NAVINFLUOR.NS,NAVINFLUOR
ATUL.NS,ATUL
VINATIORGA.NS,VINATIORGA
FINEORG.NS,FINEORG
TATACHEM.NS,TATACHEM
GNFC.NS,GNFC
COROMANDEL.NS,COROMANDEL
UPL.NS,UPL
PAGEIND.NS,PAGEIND
ABFRL.NS,ABFRL
RELAXO.NS,RELAXO
BATAINDIA.NS,BATAINDIA
METROBRAND.NS,METROBRAND
JUBLFOOD.NS,JUBLFOOD
DEVYANI.NS,DEVYANI
UBL.NS,UBL
RADICO.NS,RADICO
PATANJALI.NS,PATANJALI
EMAMILTD.NS,EMAMILTD
GODREJIND.NS,GODREJIND
HONASA.NS,HONASA
KALYANKJIL.NS,KALYANKJIL
KPRMILL.NS,KPRMILL
TRIDENT.NS,TRIDENT
TORNTPOWER.NS,TORNTPOWER
JSWENERGY.NS,JSWENERGY
SJVN.NS,SJVN
NLCINDIA.NS,NLCINDIA
CESC.NS,CESC
PETRONET.NS,PETRONET
GUJGASLTD.NS,GUJGASLTD
IGL.NS,IGL
MGL.NS,MGL
GSPL.NS,GSPL
OIL.NS,OIL
TATACOMM.NS,TATACOMM
INDUSTOWER.NS,INDUSTOWER
IDEA.NS,IDEA
SUNTV.NS,SUNTV
PVRINOX.NS,PVRINOX
DELHIVERY.NS,DELHIVERY
ASTRAL.NS,ASTRAL
SUPREMEIND.NS,SUPREMEIND
POLYCAB.NS,POLYCAB
KEI.NS,KEI
DIXON.NS,DIXON
AMBER.NS,AMBER
VOLTAS.NS,VOLTAS
BLUESTARCO.NS,BLUESTARCO
CROMPTON.NS,CROMPTON
WHIRLPOOL.NS,WHIRLPOOL
KAJARIACER.NS,KAJARIACER
INDHOTEL.NS,INDHOTEL
3MINDIA.NS,3MINDIA
AAVAS.NS,AAVAS
ADANITRANS.NS,ADANITRANS
ADVENZYMES.NS,ADVENZYMES
AEGISCHEM.NS,AEGISCHEM
AIAENG.NS,AIAENG
AKZOINDIA.NS,AKZOINDIA
ALLCARGO.NS,ALLCARGO
AMARAJABAT.NS,AMARAJABAT
APLLTD.NS,APLLTD
ASHOKA.NS,ASHOKA
ASTERDM.NS,ASTERDM
ASTRAZEN.NS,ASTRAZEN
AVANTIFEED.NS,AVANTIFEED
BAJAJCON.NS,BAJAJCON
BAJAJELEC.NS,BAJAJELEC
BALMLAWRIE.NS,BALMLAWRIE
BALRAMCHIN.NS,BALRAMCHIN
BASF.NS,BASF
BBTC.NS,BBTC
BEML.NS,BEML
BERGEPAINT.NS,BERGEPAINT
BIRLACORPN.NS,BIRLACORPN
BLUEDART.NS,BLUEDART
BOMDYEING.NS,BOMDYEING
CANFINHOME.NS,CANFINHOME
CAPLIPOINT.NS,CAPLIPOINT
CARBORUNIV.NS,CARBORUNIV
CARERATING.NS,CARERATING
CASTROLIND.NS,CASTROLIND
CCL.NS,CCL
CENTRALBK.NS,CENTRALBK
CENTURYPLY.NS,CENTURYPLY
CERA.NS,CERA
CHAMBLFERT.NS,CHAMBLFERT
CHENNPETRO.NS,CHENNPETRO
CHOLAHLDNG.NS,CHOLAHLDNG
CRISIL.NS,CRISIL
DBCORP.NS,DBCORP
DBL.NS,DBL
DCBBANK.NS,DCBBANK
DCMSHRIRAM.NS,DCMSHRIRAM
DEEPAKFERT.NS,DEEPAKFERT
DELTACORP.NS,DELTACORP
DISHTV.NS,DISHTV
DIVISLAB.NS,DIVISLAB
ECLERX.NS,ECLERX
EDELWEISS.NS,EDELWEISS
EIDPARRY.NS,EIDPARRY
EIHOTEL.NS,EIHOTEL
ELGIEQUIP.NS,ELGIEQUIP
ENGINERSIN.NS,ENGINERSIN
EQUITAS.NS,EQUITAS
FDC.NS,FDC
FINCABLES.NS,FINCABLES
FINPIPE.NS,FINPIPE
FSL.NS,FSL
GALAXYSURF.NS,GALAXYSURF
GESHIP.NS,GESHIP
GHCL.NS,GHCL
GICRE.NS,GICRE
GILLETTE.NS,GILLETTE
GLAXO.NS,GLAXO
GMDCLTD.NS,GMDCLTD
GMRINFRA.NS,GMRINFRA
GODFRYPHLP.NS,GODFRYPHLP
GODREJAGRO.NS,GODREJAGRO
GRAPHITE.NS,GRAPHITE
GREAVESCOT.NS,GREAVESCOT
GRINDWELL.NS,GRINDWELL
GSFC.NS,GSFC
GSKCONS.NS,GSKCONS
GUJALKALI.NS,GUJALKALI
GULFOILLUB.NS,GULFOILLUB
HATHWAY.NS,HATHWAY
HATSUN.NS,HATSUN
HEG.NS,HEG
HEIDELBERG.NS,HEIDELBERG
HERITGFOOD.NS,HERITGFOOD
HEXAWARE.NS,HEXAWARE
HFCL.NS,HFCL
HINDCOPPER.NS,HINDCOPPER
HINDPETRO.NS,HINDPETRO
HSCL.NS,HSCL
IBREALEST.NS,IBREALEST
IBULHSGFIN.NS,IBULHSGFIN
ICRA.NS,ICRA
IDBI.NS,IDBI
IDFC.NS,IDFC
IEX.NS,IEX
IFBIND.NS,IFBIND
IFCI.NS,IFCI
INDIACEM.NS,INDIACEM
INDOCO.NS,INDOCO
INOXLEISUR.NS,INOXLEISUR
INTELLECT.NS,INTELLECT
IOB.NS,IOB
IRB.NS,IRB
ISEC.NS,ISEC
ITDCEM.NS,ITDCEM
ITI.NS,ITI
J&KBANK.NS,J&KBANK
JAGRAN.NS,JAGRAN
JAICORPLTD.NS,JAICORPLTD
JAMNAAUTO.NS,JAMNAAUTO
JINDALSAW.NS,JINDALSAW
JISLJALEQS.NS,JISLJALEQS
JKLAKSHMI.NS,JKLAKSHMI
JKPAPER.NS,JKPAPER
JKTYRE.NS,JKTYRE
JMFINANCIL.NS,JMFINANCIL
JPASSOCIAT.NS,JPASSOCIAT
